scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-03,pumpkin/seq-03/frame-000364.color.png,0.0577067,-0.7758009,0.7783019,0.9527989,0.1881474,0.2170782,-0.0982443
pumpkin,train,seq-03,pumpkin/seq-03/frame-000164.color.png,-0.2108683,-0.6844127,0.3457196,0.9958589,0.0581838,-0.0369954,-0.059254
pumpkin,train,seq-06,pumpkin/seq-06/frame-000331.color.png,0.3262755,-0.8129865,0.4633959,0.9840544,0.168288,0.0560424,-0.0132387
pumpkin,train,seq-06,pumpkin/seq-06/frame-000306.color.png,0.3885093,-0.9105666,0.5417234000000001,0.977435,0.204972,0.046512,-0.0210687
pumpkin,train,seq-02,pumpkin/seq-02/frame-000064.color.png,-0.3016829,-0.8838739,-0.3711493,0.9740421,-0.1677203,-0.1432936,-0.0507816
pumpkin,train,seq-08,pumpkin/seq-08/frame-000124.color.png,-0.2993442999999999,-1.0217644,0.2123777,0.9938729,-0.0199435,0.0727319,0.0808018
pumpkin,train,seq-08,pumpkin/seq-08/frame-000443.color.png,-0.5501578,-0.543304,0.325245,0.9943753,0.0006281,0.0833011,0.0654086
pumpkin,train,seq-08,pumpkin/seq-08/frame-000713.color.png,1.0839152,-0.77249,0.6063206,0.9621613,-0.0475638,-0.1788329,-0.2000053
pumpkin,train,seq-06,pumpkin/seq-06/frame-000017.color.png,0.7348251,-0.8052431999999999,0.3443975,0.9837445,-0.1699924,-0.0405411,-0.0413007
pumpkin,train,seq-08,pumpkin/seq-08/frame-000000.color.png,0.0324075999999999,-0.4354923,0.5612691999999999,0.9776329,-0.0163448,-0.2084407,-0.0227849
pumpkin,train,seq-03,pumpkin/seq-03/frame-000092.color.png,-0.171273,-0.9631965,0.8034403,0.9446537,-0.2388634,0.216679,-0.0601982
pumpkin,train,seq-02,pumpkin/seq-02/frame-000551.color.png,-0.7796596,-0.6470289,0.4444373,0.9178365,0.2234297,0.1628136,0.2848634
pumpkin,train,seq-02,pumpkin/seq-02/frame-000636.color.png,-0.5827720000000001,-0.7843358,0.8596950999999999,0.8870832000000001,0.1722392,0.2515351,0.3466225999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000264.color.png,0.5059695,-0.9805314,-0.5017975,0.9825698,0.1414568,-0.054796,-0.1074432
pumpkin,train,seq-06,pumpkin/seq-06/frame-000710.color.png,-0.7529056,-0.9282541,1.0152483,0.8967404,-0.2235674,0.3143823,0.2168827
pumpkin,train,seq-08,pumpkin/seq-08/frame-000980.color.png,-0.4576786,-0.9482483,0.1405377,0.9763128,0.2112008,0.0012345,-0.0469672
pumpkin,train,seq-08,pumpkin/seq-08/frame-000797.color.png,0.3789212,-0.942655,0.4629481,0.9490623,0.0884653,-0.3010844,-0.0283325
pumpkin,train,seq-08,pumpkin/seq-08/frame-000546.color.png,-0.3111031,-1.0343663,0.2291912,0.9776175,0.1723848999999999,0.1016804,-0.064873
pumpkin,train,seq-02,pumpkin/seq-02/frame-000885.color.png,-0.4958245,-0.5998747,0.2163644,0.9719755,0.1163293,0.0867363999999999,0.184954
pumpkin,train,seq-03,pumpkin/seq-03/frame-000210.color.png,0.0516345,-0.5478099,0.3200674000000001,0.8901933000000001,-0.0281614,-0.4407178,-0.1119408
pumpkin,train,seq-02,pumpkin/seq-02/frame-000940.color.png,-0.2918952,-0.6424948,0.2380153,0.9903008,0.0511935,0.1205634,0.0463468
pumpkin,train,seq-02,pumpkin/seq-02/frame-000294.color.png,0.6262559,-0.9883208,-0.4606665,0.933484,0.1055051,-0.3040268,-0.1582531
pumpkin,train,seq-06,pumpkin/seq-06/frame-000855.color.png,0.0583786,-1.0591855,0.884048,0.9487751,0.1571737,0.2699027,-0.0476943
pumpkin,train,seq-02,pumpkin/seq-02/frame-000610.color.png,-0.5597696,-0.7018914,0.6721675,0.9039176,0.1605432,0.2056243,0.3389357999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000661.color.png,-0.582217,-0.8417911,1.02376,0.8757768,0.1789154,0.2782947,0.3515057
pumpkin,train,seq-02,pumpkin/seq-02/frame-000367.color.png,-0.082764,-0.8275115,-0.5304840999999999,0.9920143,0.0667074,0.0613825,-0.0876919
pumpkin,train,seq-02,pumpkin/seq-02/frame-000807.color.png,-0.5893944000000001,-0.7932174,0.8381594000000001,0.9287336,0.164014,0.2370707,0.2331325
pumpkin,train,seq-08,pumpkin/seq-08/frame-000873.color.png,-0.5093850999999999,-0.4149441,0.2610812,0.9783576,-0.1413191,-0.0330388,0.1474917
pumpkin,train,seq-08,pumpkin/seq-08/frame-000921.color.png,-0.9716704,-0.5451348000000001,0.022768,0.9644664,-0.1233153,0.2082356,0.1059994
pumpkin,train,seq-03,pumpkin/seq-03/frame-000257.color.png,0.071725,-0.6951601,0.718028,0.9715456,0.0720919999999999,-0.2109415,-0.0800342
pumpkin,train,seq-08,pumpkin/seq-08/frame-000705.color.png,1.0943432,-0.6953449,0.6312445,0.965431,-0.0722259,-0.185682,-0.1680733999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000749.color.png,-0.7249416,-0.9713101,1.0098895,0.8869790000000001,-0.2003715,0.3484579,0.2273688
pumpkin,train,seq-08,pumpkin/seq-08/frame-000764.color.png,0.8855299000000001,-1.1310604,0.49538,0.8588855,0.2106402,-0.3675864,-0.2877962
pumpkin,train,seq-08,pumpkin/seq-08/frame-000600.color.png,0.3232071,-0.7898904999999999,0.4377007000000001,0.9923447,0.0149853999999999,-0.1134629,-0.0464079
pumpkin,train,seq-08,pumpkin/seq-08/frame-000311.color.png,1.148617,-0.9832994,0.5518335999999999,0.9588345,-0.0638559,-0.2333215,-0.1487272999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000265.color.png,0.5169923,-0.978409,-0.4980362,0.9812841,0.1428325,-0.0607065,-0.1139962
pumpkin,train,seq-03,pumpkin/seq-03/frame-000272.color.png,-0.0587723,-0.7635751000000001,0.8097916999999999,0.9859531,0.1409713,-0.0742621,-0.0500879
pumpkin,train,seq-06,pumpkin/seq-06/frame-000405.color.png,-0.2210767,-0.5561238000000001,0.2475847,0.9942354,-0.0028479,0.0916155,0.0556280999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000884.color.png,0.0501616,-1.0628289,0.8336584999999999,0.9866046,0.1382565,0.0210671,-0.0839801
pumpkin,train,seq-08,pumpkin/seq-08/frame-000941.color.png,-0.9527625,-0.6602866999999999,-0.0078501,0.9526945,-0.0167037,0.2852623,0.1035355
pumpkin,train,seq-06,pumpkin/seq-06/frame-000784.color.png,-0.335298,-0.9434635,0.9100825,0.9100536,-0.1348946,0.3614165,0.1516052
pumpkin,train,seq-08,pumpkin/seq-08/frame-000866.color.png,-0.4410716,-0.4338085,0.3064776,0.9790366,-0.1076324,-0.0428219,0.1675377
pumpkin,train,seq-08,pumpkin/seq-08/frame-000548.color.png,-0.2736747,-1.0282547,0.2436165,0.9779448,0.168121,0.0994146,-0.0739999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000228.color.png,0.9155219,-0.5609729999999999,0.5991510999999999,0.9821996,-0.1834944,0.0369891,0.0156715
pumpkin,train,seq-03,pumpkin/seq-03/frame-000652.color.png,0.7171099,-0.6856934,1.0435046,0.9205945,0.1403991,-0.3593708,-0.0603863
pumpkin,train,seq-03,pumpkin/seq-03/frame-000816.color.png,-0.7236206999999999,-0.3002655,-0.1360183,0.9802316,-0.027631,-0.1937703,-0.0289059
pumpkin,train,seq-02,pumpkin/seq-02/frame-000952.color.png,-0.2550738,-0.6626368,0.3044208,0.9909928,0.0418188,0.1227961,0.0332513
pumpkin,train,seq-06,pumpkin/seq-06/frame-000286.color.png,0.4096943,-1.049952,0.5477845,0.9880138,0.1461444,0.0400713,-0.0294074
pumpkin,train,seq-03,pumpkin/seq-03/frame-000732.color.png,-0.0036516,-0.4395762,0.7675228000000001,0.9385717,0.0616264,-0.337653,-0.0357175
pumpkin,train,seq-06,pumpkin/seq-06/frame-000203.color.png,0.5849078000000001,-1.1671559,0.8773528,0.9636805,0.2596075,0.0425421,-0.0459783
pumpkin,train,seq-03,pumpkin/seq-03/frame-000656.color.png,0.6677195,-0.6783486999999999,1.0375454,0.9167196,0.1371943,-0.37005,-0.0621762
pumpkin,train,seq-08,pumpkin/seq-08/frame-000547.color.png,-0.2910632,-1.0331863,0.2360558,0.9783719,0.16955,0.0973892,-0.0675026
pumpkin,train,seq-06,pumpkin/seq-06/frame-000020.color.png,0.7329583000000001,-0.7989957,0.3577495,0.9856508,-0.1590744,-0.043101,-0.0364715
pumpkin,train,seq-08,pumpkin/seq-08/frame-000128.color.png,-0.2527513,-1.0157651,0.2537151,0.9919074,-0.0381832,0.0829745,0.0881877
pumpkin,train,seq-03,pumpkin/seq-03/frame-000561.color.png,1.2155073,-0.8637469000000001,0.9277034,0.8834351999999999,0.1378893,-0.4322191,-0.117113
pumpkin,train,seq-08,pumpkin/seq-08/frame-000970.color.png,-0.5312533,-0.9139045,0.1061008,0.9717702,0.2023362,0.1130864,-0.0439791
pumpkin,train,seq-03,pumpkin/seq-03/frame-000723.color.png,0.1120585,-0.4593933,0.8081351999999999,0.928446,0.067896,-0.3639021,-0.030878
pumpkin,train,seq-08,pumpkin/seq-08/frame-000617.color.png,0.4101976,-0.6770916,0.5056395,0.9959788,-0.0205772,-0.0836062,-0.0247561
pumpkin,train,seq-03,pumpkin/seq-03/frame-000435.color.png,0.3444534,-0.7264463000000001,0.4856892,0.9888132,-0.0658898,-0.0631048999999999,-0.118003
pumpkin,train,seq-06,pumpkin/seq-06/frame-000074.color.png,0.5421725000000001,-0.8454851999999999,0.5832245,0.9998613,0.0038676,0.0119431,-0.0109432
pumpkin,train,seq-02,pumpkin/seq-02/frame-000544.color.png,-0.7840543000000001,-0.6497655,0.4307213,0.928573,0.2116985,0.1550234,0.262495
pumpkin,train,seq-08,pumpkin/seq-08/frame-000575.color.png,0.0876883,-0.9357027,0.3794565,0.9944297,0.0966481,-0.0315358,-0.0278254
pumpkin,train,seq-03,pumpkin/seq-03/frame-000938.color.png,-1.2969711000000002,-0.2202496,0.1573013,0.9637244,0.1137741,0.2396444,0.0293489
pumpkin,train,seq-03,pumpkin/seq-03/frame-000977.color.png,-1.3021233,-0.420765,0.4282128,0.9685498,0.1695358,0.1795427,0.0305491
pumpkin,train,seq-02,pumpkin/seq-02/frame-000832.color.png,-0.5860076,-0.7587634,0.680603,0.941443,0.1533223,0.1931645,0.2299236
pumpkin,train,seq-02,pumpkin/seq-02/frame-000760.color.png,-0.6458925999999999,-0.9086915,1.1675953,0.8709879,0.1698984999999999,0.3441446,0.306723
pumpkin,train,seq-02,pumpkin/seq-02/frame-000614.color.png,-0.5563104999999999,-0.7129888000000001,0.6915958999999999,0.904507,0.1570981,0.2087424,0.3370665
pumpkin,train,seq-03,pumpkin/seq-03/frame-000993.color.png,-1.2956787,-0.4914404000000001,0.5325948,0.9745011,0.1734494,0.1384402,0.033126
pumpkin,train,seq-02,pumpkin/seq-02/frame-000732.color.png,-0.5711185000000001,-0.9564483,1.325992,0.8320764,0.1962178,0.3738167,0.3597339
pumpkin,train,seq-06,pumpkin/seq-06/frame-000653.color.png,-0.6935604000000001,-0.8680091999999999,1.0905812,0.9568706,-0.0820863,0.263192,0.0916
pumpkin,train,seq-02,pumpkin/seq-02/frame-000849.color.png,-0.6211313,-0.6979957,0.5178928,0.9515695,0.1331499,0.1669277,0.2211827
pumpkin,train,seq-03,pumpkin/seq-03/frame-000155.color.png,-0.1902172,-0.7262724,0.4034975,0.9969841,0.0234525,-0.013071,-0.0728138
pumpkin,train,seq-03,pumpkin/seq-03/frame-000600.color.png,0.9025244,-0.8573912,0.8067835999999999,0.9370631,0.0944363,-0.3106815,-0.1283416
pumpkin,train,seq-06,pumpkin/seq-06/frame-000511.color.png,-0.5524404,-0.6088074,0.2576061,0.9689848,-0.0051218,-0.2364079,-0.0717882
pumpkin,train,seq-03,pumpkin/seq-03/frame-000331.color.png,-0.1873343,-0.7582401999999999,0.7003406999999999,0.9235543,0.3289469,0.1932528,-0.0386611
pumpkin,train,seq-02,pumpkin/seq-02/frame-000597.color.png,-0.6005159999999999,-0.6734296,0.6305310000000001,0.8988235000000001,0.1600529,0.2201847,0.3435377
pumpkin,train,seq-02,pumpkin/seq-02/frame-000787.color.png,-0.6737873999999999,-0.8212767,1.0103415999999998,0.8990995,0.1816049,0.2990715,0.2630513
pumpkin,train,seq-02,pumpkin/seq-02/frame-000204.color.png,0.5502773,-1.0101485,-0.4375698,0.9847786,-0.0825547,-0.1324025,-0.0765858
pumpkin,train,seq-08,pumpkin/seq-08/frame-000002.color.png,0.0294137,-0.4294713,0.5622765000000001,0.9774565,-0.0168095,-0.2094112,-0.0210533
pumpkin,train,seq-02,pumpkin/seq-02/frame-000215.color.png,0.5159808,-1.0078663,-0.4334811,0.9915444,-0.0894536,-0.0692196,-0.0636117
pumpkin,train,seq-08,pumpkin/seq-08/frame-000281.color.png,1.2244312,-0.7301057,0.6129137,0.96743,-0.099073,-0.2192317,-0.0787473
pumpkin,train,seq-08,pumpkin/seq-08/frame-000415.color.png,-0.2596172,-0.742172,0.4903963,0.9940273,0.0238943,-0.0872826,0.0609959
pumpkin,train,seq-08,pumpkin/seq-08/frame-000507.color.png,-1.0294454,-0.7968423000000001,0.2101498,0.9502311,0.0980684,0.2908329,0.0534766
pumpkin,train,seq-02,pumpkin/seq-02/frame-000234.color.png,0.4174462000000001,-0.9776017,-0.4536771,0.996584,0.0185873,0.0315002,-0.0740448
pumpkin,train,seq-02,pumpkin/seq-02/frame-000221.color.png,0.4919692,-1.0048392,-0.4359724,0.9955487,-0.0635739,-0.0404449,-0.0566159
pumpkin,train,seq-02,pumpkin/seq-02/frame-000718.color.png,-0.5194829000000001,-0.9490076,1.2670989,0.8428821,0.1948081,0.3513495,0.3579848
pumpkin,train,seq-08,pumpkin/seq-08/frame-000214.color.png,0.8088409000000001,-0.57498,0.5681676,0.9807175,-0.181374,0.0718101,0.0118318
pumpkin,train,seq-03,pumpkin/seq-03/frame-000695.color.png,0.4114721,-0.5581567,0.9048369,0.9085858,0.1027708,-0.398573,-0.0710604
pumpkin,train,seq-03,pumpkin/seq-03/frame-000449.color.png,0.5095342,-0.7020270000000001,0.4057164,0.9839681,-0.0602921,-0.1018363,-0.1334203
