scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-06,pumpkin/seq-06/frame-000403.color.png,-0.2055068,-0.5605534000000001,0.2594539,0.9941733,0.0018641,0.0929044,0.0546329
pumpkin,train,seq-06,pumpkin/seq-06/frame-000746.color.png,-0.74197,-0.9736975,1.0003232,0.8865021999999999,-0.215503,0.3422794,0.2247602
pumpkin,train,seq-06,pumpkin/seq-06/frame-000419.color.png,-0.3398484,-0.5359229,0.1860752,0.9947764,-0.0116517,0.0851248,0.0551169
pumpkin,train,seq-06,pumpkin/seq-06/frame-000142.color.png,0.4663747,-1.0699637,0.4976103,0.9706207,0.2242469,0.0575593,-0.0655413
pumpkin,train,seq-03,pumpkin/seq-03/frame-000101.color.png,-0.2173635,-1.004324,0.8385436,0.9412004,-0.2655509,0.1935401,-0.0785293
pumpkin,train,seq-06,pumpkin/seq-06/frame-000723.color.png,-0.7626312,-0.9565616,0.9845588,0.8812074000000001,-0.2720928,0.3161611,0.2224437
pumpkin,train,seq-06,pumpkin/seq-06/frame-000708.color.png,-0.7529026,-0.9204352,1.0206139,0.8990276,-0.2156103,0.3147177,0.2149751
pumpkin,train,seq-06,pumpkin/seq-06/frame-000584.color.png,-0.6576234000000001,-0.9117211,1.2286105,0.9988946,-0.0043799999999999,0.0443577,0.0149256
pumpkin,train,seq-03,pumpkin/seq-03/frame-000954.color.png,-1.3091511,-0.2732813,0.2947679,0.9611338,0.1452987999999999,0.2310348,0.0416299
pumpkin,train,seq-06,pumpkin/seq-06/frame-000433.color.png,-0.5141259,-0.5159471999999999,0.1406227,0.9967916,0.0013950999999999,0.0640297,0.0480089
pumpkin,train,seq-03,pumpkin/seq-03/frame-000852.color.png,-0.949357,-0.1872549,-0.3304324,0.9965675,0.0655401999999999,-0.0172901,0.0475262
pumpkin,train,seq-06,pumpkin/seq-06/frame-000815.color.png,-0.056538,-0.9460797,0.8741857,0.9325963,-0.0469436,0.346946,0.0876864
pumpkin,train,seq-06,pumpkin/seq-06/frame-000853.color.png,0.0635892,-1.0494123,0.8838590000000001,0.9471289,0.1500015,0.2811601,-0.0373545
pumpkin,train,seq-03,pumpkin/seq-03/frame-000634.color.png,0.8221499,-0.724112,1.0474997,0.9185119,0.1281606,-0.3665372,-0.0745729
pumpkin,train,seq-08,pumpkin/seq-08/frame-000298.color.png,1.2161733,-0.8579851000000001,0.5959871,0.9603559000000002,-0.0859766999999999,-0.2479761,-0.0939813
pumpkin,train,seq-02,pumpkin/seq-02/frame-000403.color.png,-0.3180035,-0.8164629,-0.3880525,0.9892659,0.0699853999999999,0.0894713,-0.0919234
pumpkin,train,seq-03,pumpkin/seq-03/frame-000318.color.png,-0.1706695,-0.7538269000000001,0.7400701,0.9406756,0.2775444,0.1905938,-0.0421005
pumpkin,train,seq-02,pumpkin/seq-02/frame-000637.color.png,-0.5856053000000001,-0.7879801,0.8671414000000001,0.8869482,0.1729133,0.2518812,0.3463809
pumpkin,train,seq-06,pumpkin/seq-06/frame-000166.color.png,0.491049,-1.1046344,0.6385940999999999,0.965478,0.2521864,0.0456014,-0.0466343
