scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000562.color.png,-0.7686068,-0.6032289000000001,0.5036678,0.9003295,0.2126161,0.2085088,0.3173724
pumpkin,train,seq-03,pumpkin/seq-03/frame-000362.color.png,0.0375709,-0.7630316999999999,0.7714539,0.949209,0.2009036,0.2217459,-0.097308
pumpkin,train,seq-02,pumpkin/seq-02/frame-000511.color.png,-0.7278659000000001,-0.6805064000000001,0.3993455,0.9683255,0.0217618,0.1977211,0.1509256
pumpkin,train,seq-02,pumpkin/seq-02/frame-000450.color.png,-0.6163301999999999,-0.7669092,0.006426,0.9950159,0.0190508,0.0903336,0.0376866
pumpkin,train,seq-02,pumpkin/seq-02/frame-000736.color.png,-0.5773661,-0.9574993,1.3275329,0.8315912,0.1892446,0.3814624,0.3565516
pumpkin,train,seq-03,pumpkin/seq-03/frame-000659.color.png,0.6349073000000001,-0.6709555,1.0341489,0.9156957,0.1347526,-0.3732283,-0.0635909
pumpkin,train,seq-03,pumpkin/seq-03/frame-000344.color.png,-0.1641604,-0.7366756,0.6762676,0.9159294,0.3252385,0.2344848,-0.0176127
pumpkin,train,seq-03,pumpkin/seq-03/frame-000961.color.png,-1.30512,-0.3158055,0.3367945,0.9661288,0.14927,0.2074085,0.0359913
pumpkin,train,seq-03,pumpkin/seq-03/frame-000070.color.png,-0.0631795999999999,-0.7514468000000001,0.6181645,0.9633468,-0.1702139,0.2073361,-0.0013752
pumpkin,train,seq-02,pumpkin/seq-02/frame-000504.color.png,-0.7207795,-0.6898611,0.3831716,0.9729296,0.017486,0.2056364,0.1039997
pumpkin,train,seq-02,pumpkin/seq-02/frame-000718.color.png,-0.5194829000000001,-0.9490076,1.2670989,0.8428821,0.1948081,0.3513495,0.3579848
pumpkin,train,seq-02,pumpkin/seq-02/frame-000578.color.png,-0.7191441,-0.6234255999999999,0.5626671,0.885467,0.191899,0.2198893,0.3616236
pumpkin,train,seq-02,pumpkin/seq-02/frame-000489.color.png,-0.6653069,-0.7000529999999999,0.2915501,0.983231,0.0451202,0.1686771,0.0526208
pumpkin,train,seq-02,pumpkin/seq-02/frame-000035.color.png,-0.2063252,-0.6251686,-0.3036857,0.9713626,-0.0848081,-0.2135709,0.0604129
pumpkin,train,seq-03,pumpkin/seq-03/frame-000340.color.png,-0.1866963,-0.7479737,0.6736867,0.9131554,0.3379308,0.2264684,-0.0257326
pumpkin,train,seq-02,pumpkin/seq-02/frame-000159.color.png,0.5587979999999999,-0.9482481,-0.7132901,0.9773832,-0.0640068999999999,-0.1497916,-0.1348617
pumpkin,train,seq-02,pumpkin/seq-02/frame-000279.color.png,0.5825551,-0.9970486,-0.4787392,0.9613322,0.1027083,-0.2001732,-0.1588147
pumpkin,train,seq-02,pumpkin/seq-02/frame-000262.color.png,0.4926989000000001,-0.9789553,-0.5026701,0.9822152,0.1480525,-0.0399465,-0.1083425
pumpkin,train,seq-03,pumpkin/seq-03/frame-000024.color.png,-0.1624784,-0.3492804,0.1084155,0.995769,-0.0250069,0.0852253,0.0235653
pumpkin,train,seq-03,pumpkin/seq-03/frame-000881.color.png,-1.0847176,-0.1857877,-0.2676217,0.9896828,0.0566565,0.1208807,0.0520184
pumpkin,train,seq-02,pumpkin/seq-02/frame-000741.color.png,-0.5826154,-0.9591325,1.3187286,0.8367146000000001,0.1871228,0.3787985,0.3484329
pumpkin,train,seq-02,pumpkin/seq-02/frame-000094.color.png,-0.2553748,-1.0056788,-0.5155711,0.985438,-0.1001988,-0.109357,-0.0831452
pumpkin,train,seq-03,pumpkin/seq-03/frame-000423.color.png,0.2968342,-0.7204111,0.5438485,0.99264,-0.0437604,-0.0413498,-0.1050765
pumpkin,train,seq-02,pumpkin/seq-02/frame-000148.color.png,0.407675,-0.9483485,-0.7003623999999999,0.9835635,-0.047812,-0.1296003,-0.1162783
pumpkin,train,seq-03,pumpkin/seq-03/frame-000884.color.png,-1.0900863,-0.1896776,-0.2524255,0.9880097,0.0567823,0.1334847,0.0528624
pumpkin,train,seq-02,pumpkin/seq-02/frame-000825.color.png,-0.572792,-0.7735472,0.7408968,0.9351207,0.1679418,0.2035904,0.2364228
pumpkin,train,seq-03,pumpkin/seq-03/frame-000369.color.png,0.0985374,-0.7887404,0.7855501,0.9591729,0.165605,0.2067341,-0.0991128
pumpkin,train,seq-02,pumpkin/seq-02/frame-000443.color.png,-0.6319558000000001,-0.7810089,-0.0392317,0.9916782,0.0136249,0.1234508,0.0338912
pumpkin,train,seq-02,pumpkin/seq-02/frame-000626.color.png,-0.5603626,-0.7485666,0.7706069999999999,0.8961200999999999,0.1587925,0.2342635,0.341869
pumpkin,train,seq-03,pumpkin/seq-03/frame-000550.color.png,1.2526246,-0.8560982,0.9386433,0.8693268,0.1058293,-0.4637867,-0.1340637
pumpkin,train,seq-02,pumpkin/seq-02/frame-000194.color.png,0.6352688,-1.01949,-0.4495733,0.9725349,-0.0286494,-0.1995916,-0.1162682
pumpkin,train,seq-03,pumpkin/seq-03/frame-000352.color.png,-0.0840932,-0.7377547,0.7188614999999999,0.9287878,0.2841855,0.2330561,-0.0477154
pumpkin,train,seq-02,pumpkin/seq-02/frame-000275.color.png,0.5594688,-0.9995389,-0.4871893,0.9692092,0.1083076,-0.1632223,-0.1492026
pumpkin,train,seq-03,pumpkin/seq-03/frame-000084.color.png,-0.1185485,-0.8926665000000001,0.7417444999999999,0.9485134,-0.2235966,0.221917,-0.0328603
pumpkin,train,seq-02,pumpkin/seq-02/frame-000814.color.png,-0.5709071,-0.7830419,0.7940093,0.9287526,0.1709982,0.2261408,0.2388276
pumpkin,train,seq-02,pumpkin/seq-02/frame-000759.color.png,-0.6423408,-0.912044,1.1725293,0.8705325,0.1686267,0.3446128,0.3081888
pumpkin,train,seq-02,pumpkin/seq-02/frame-000411.color.png,-0.388136,-0.8170853,-0.3123473,0.9910175,0.048255,0.0947102,-0.081152
pumpkin,train,seq-03,pumpkin/seq-03/frame-000867.color.png,-1.042347,-0.1712558,-0.3220081,0.9954071,0.061283,0.0520562,0.0519536
pumpkin,train,seq-03,pumpkin/seq-03/frame-000887.color.png,-1.0959405,-0.1925071,-0.2357859,0.9866736,0.0604271999999999,0.1417152,0.0523512
pumpkin,train,seq-02,pumpkin/seq-02/frame-000816.color.png,-0.568163,-0.781746,0.7864642,0.9306602,0.170306,0.2193765,0.2382044
pumpkin,train,seq-02,pumpkin/seq-02/frame-000212.color.png,0.5352238,-1.0180831,-0.4292598,0.9888674,-0.0972021,-0.0948795,-0.0607531999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000276.color.png,0.5618576999999999,-0.9937269,-0.4848266,0.9670876,0.1075387,-0.1702995,-0.1554832
pumpkin,train,seq-02,pumpkin/seq-02/frame-000749.color.png,-0.6020306,-0.9464069,1.270591,0.8506187,0.1740533,0.3679109,0.3328584
pumpkin,train,seq-02,pumpkin/seq-02/frame-000308.color.png,0.6236520000000001,-0.9315466999999998,-0.4879367,0.966393,0.0884973999999999,-0.2138871,-0.111826
pumpkin,train,seq-02,pumpkin/seq-02/frame-000688.color.png,-0.4565724,-0.9015645,1.1253635,0.8646961999999999,0.1835274,0.3042312,0.3550515
pumpkin,train,seq-03,pumpkin/seq-03/frame-000218.color.png,0.0618876,-0.5377021,0.3993927,0.8846982,-0.1027626,-0.4394742999999999,-0.1166676
pumpkin,train,seq-02,pumpkin/seq-02/frame-000963.color.png,-0.2279236,-0.6858335999999999,0.3297539,0.9905976,0.0352735,0.1303719,0.0218024
pumpkin,train,seq-03,pumpkin/seq-03/frame-000415.color.png,0.302307,-0.7295285,0.5853953000000001,0.9934363000000002,-0.0176935,-0.0177,-0.1116156
pumpkin,train,seq-02,pumpkin/seq-02/frame-000251.color.png,0.4398026,-0.9468353,-0.4847025,0.9874537,0.1251279,0.0073624,-0.0960417
pumpkin,train,seq-02,pumpkin/seq-02/frame-000307.color.png,0.6352382,-0.9212103,-0.4778674,0.9653389,0.0833831,-0.2238548,-0.1051529
pumpkin,train,seq-02,pumpkin/seq-02/frame-000245.color.png,0.4355350000000001,-0.9465176,-0.4745228,0.9918577,0.0894381,0.0205225,-0.0883062
pumpkin,train,seq-02,pumpkin/seq-02/frame-000584.color.png,-0.6888864,-0.6298151,0.5862735,0.8916214,0.1831205,0.2031319,0.3608541
pumpkin,train,seq-02,pumpkin/seq-02/frame-000102.color.png,-0.1716486,-0.9874269,-0.5809593000000001,0.9834961,-0.0722862,-0.1300525,-0.1029388
