scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
heads,train,seq-02,heads/seq-02/frame-000541.color.png,-0.344495,0.3518886,-0.0890009,0.9695826,-0.2166067,0.1132001,-0.0132972999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000863.color.png,0.0630795,-1.0720193,0.8864635000000001,0.9614223,0.1723411,0.2059599,-0.0595495
pumpkin,train,seq-08,pumpkin/seq-08/frame-000781.color.png,0.6147404000000001,-1.0162620999999998,0.5005809,0.9206403,0.1554421,-0.327968,-0.1438617
heads,train,seq-02,heads/seq-02/frame-000431.color.png,-0.7608252,-0.2568028,0.232855,0.9610069,-0.1499922999999999,0.2122849,0.0943564
pumpkin,train,seq-08,pumpkin/seq-08/frame-000320.color.png,1.0176879,-1.0915091,0.5137032,0.9564377,-0.0451113,-0.2094394,-0.1983106
pumpkin,train,seq-03,pumpkin/seq-03/frame-000193.color.png,-0.1100401,-0.5837475000000001,0.2331726,0.9719145,0.0356955,-0.2224234,-0.0680865
stairs,train,seq-06,stairs/seq-06/frame-000343.color.png,-0.7347594,-0.5998055999999999,0.4406576,0.9615011,-0.1234069,0.2451335,-0.0139948999999999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000444.color.png,-0.5601322,-0.5337639,0.3202014,0.9936591,-0.0059646,0.0904593,0.0665066
stairs,train,seq-05,stairs/seq-05/frame-000410.color.png,-0.0287518,-1.6941513,1.6440928,0.9781003,-0.1924808,0.0759211,0.0225132
pumpkin,train,seq-02,pumpkin/seq-02/frame-000590.color.png,-0.6475031,-0.6438904000000001,0.6087607,0.8933796,0.1708405,0.2060527,0.3608722
pumpkin,train,seq-08,pumpkin/seq-08/frame-000933.color.png,-0.9708225,-0.6093959,0.000481,0.9544703,-0.0813286999999999,0.2641467,0.1122433
heads,train,seq-02,heads/seq-02/frame-000781.color.png,-0.1489969,-0.3909333,0.0751702,0.9592552,-0.2639344,0.0762965,0.0659309999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000294.color.png,0.6262559,-0.9883208,-0.4606665,0.933484,0.1055051,-0.3040268,-0.1582531
pumpkin,train,seq-02,pumpkin/seq-02/frame-000718.color.png,-0.5194829000000001,-0.9490076,1.2670989,0.8428821,0.1948081,0.3513495,0.3579848
heads,train,seq-02,heads/seq-02/frame-000012.color.png,0.097555,-0.0533853,0.1178432,0.9973961,-0.0571589,0.0350505,-0.0265575
pumpkin,train,seq-08,pumpkin/seq-08/frame-000560.color.png,-0.0728606,-0.9715536,0.332081,0.9904771,0.1275268,0.0313445,-0.0413463
pumpkin,train,seq-08,pumpkin/seq-08/frame-000945.color.png,-0.9458461,-0.6736925,0.0046436,0.9456356,0.0142837,0.3122397,0.0898645
heads,train,seq-02,heads/seq-02/frame-000585.color.png,0.0070239,0.2525808,-0.0949631,0.9537395,-0.1806651,0.2378892,0.0339086
stairs,train,seq-02,stairs/seq-02/frame-000033.color.png,-0.0393839,-0.8712466,-0.0746524,0.9297578,-0.2450326,-0.2378545,-0.1376035
stairs,train,seq-03,stairs/seq-03/frame-000204.color.png,0.2691298,-1.1056559,0.2666814,0.825259,-0.4012393,0.3882687,0.084865
heads,train,seq-02,heads/seq-02/frame-000965.color.png,-0.0449615,-0.138756,0.1847803,0.9385446,-0.1189869,-0.2595583,-0.1939219
stairs,train,seq-05,stairs/seq-05/frame-000180.color.png,-0.024444,-1.0243566,0.7342259,0.972269,-0.2333966,0.0076524,-0.0126679
stairs,train,seq-05,stairs/seq-05/frame-000157.color.png,-0.0514561,-0.9778592,0.591125,0.9669937,-0.2540622,0.0176726,0.0079545
stairs,train,seq-02,stairs/seq-02/frame-000411.color.png,0.21066,-1.0152653,0.8101608,0.9693512,-0.0242143,-0.1633744,-0.181881
heads,train,seq-02,heads/seq-02/frame-000497.color.png,-0.4029528,0.0736548,-0.0482286,0.9953895,-0.0839913,0.0444689,0.0129528
pumpkin,train,seq-02,pumpkin/seq-02/frame-000629.color.png,-0.5639478,-0.7577881,0.7936333000000001,0.8920644,0.1619755,0.2425892,0.3451602
pumpkin,train,seq-03,pumpkin/seq-03/frame-000847.color.png,-0.9053049,-0.202239,-0.3226007,0.9966453000000002,0.0470272,-0.0508796,0.0435634
pumpkin,train,seq-03,pumpkin/seq-03/frame-000260.color.png,0.0509228,-0.7087278,0.7362741999999999,0.9741228,0.0870031,-0.1933071,-0.0784069
pumpkin,train,seq-06,pumpkin/seq-06/frame-000094.color.png,0.497396,-0.9242168,0.5967922,0.9951042,0.0814266999999999,0.0479056,-0.0290254
pumpkin,train,seq-08,pumpkin/seq-08/frame-000411.color.png,-0.2045154,-0.7636954,0.5174840999999999,0.990942,0.021188,-0.1190597,0.058394
heads,train,seq-02,heads/seq-02/frame-000968.color.png,-0.034154,-0.1327774,0.1736169,0.9373174,-0.1217318,-0.2611962,-0.195944
heads,train,seq-02,heads/seq-02/frame-000223.color.png,0.4093192,-0.3778692,0.0609708,0.9320851,-0.2211634,0.2202266,0.1838595
heads,train,seq-02,heads/seq-02/frame-000984.color.png,0.0216998,-0.0892613,0.110549,0.9412723,-0.1342497999999999,-0.2526502,-0.1793078
pumpkin,train,seq-02,pumpkin/seq-02/frame-000317.color.png,0.4213314,-0.9176287,-0.5400543000000001,0.9817215,0.1038436,-0.1228797,-0.1016855
pumpkin,train,seq-03,pumpkin/seq-03/frame-000052.color.png,-0.1026827,-0.6056286999999999,0.4574997,0.9806985,-0.1104915,0.1607617,0.0133333
pumpkin,train,seq-03,pumpkin/seq-03/frame-000915.color.png,-1.2238922,-0.1767932,-0.0221453,0.9637014000000002,0.0859021,0.2502319,0.0358376999999999
