scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000312.color.png,0.5957235,-0.9329098,-0.4926496,0.9675934000000002,0.1058536,-0.1999042,-0.112233
pumpkin,train,seq-02,pumpkin/seq-02/frame-000460.color.png,-0.5673170999999999,-0.7425215000000001,0.0711633999999999,0.9940678,0.0458454,0.0926144,0.03391
pumpkin,train,seq-02,pumpkin/seq-02/frame-000960.color.png,-0.2348324,-0.6811548000000001,0.3280033,0.990504,0.035444,0.1302418,0.0261266
pumpkin,train,seq-02,pumpkin/seq-02/frame-000268.color.png,0.5364992,-0.9759978,-0.4938134,0.9785394,0.1372712999999999,-0.0901421,-0.1244652
pumpkin,train,seq-02,pumpkin/seq-02/frame-000164.color.png,0.6154987,-0.9575527,-0.7031215000000001,0.9745965,-0.0526387,-0.1726257999999999,-0.132632
pumpkin,train,seq-02,pumpkin/seq-02/frame-000109.color.png,-0.0871707,-0.9587572,-0.6744658,0.9847334,-0.045711,-0.1294677,-0.1069989
pumpkin,train,seq-02,pumpkin/seq-02/frame-000073.color.png,-0.2707685,-0.9450951,-0.4291311,0.9825315999999998,-0.1292069,-0.122251,-0.0546979
pumpkin,train,seq-02,pumpkin/seq-02/frame-000487.color.png,-0.6564644000000001,-0.697108,0.2752288,0.9845046,0.0469102,0.1607553,0.0520376999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000051.color.png,-0.3005571,-0.7548478,-0.3098493,0.9790287,-0.1028255,-0.1714529,-0.0391618
pumpkin,train,seq-02,pumpkin/seq-02/frame-000610.color.png,-0.5597696,-0.7018914,0.6721675,0.9039176,0.1605432,0.2056243,0.3389357999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000551.color.png,-0.7796596,-0.6470289,0.4444373,0.9178365,0.2234297,0.1628136,0.2848634
pumpkin,train,seq-02,pumpkin/seq-02/frame-000491.color.png,-0.680488,-0.6988342,0.3150436,0.9814448,0.0422696,0.1782533999999999,0.0566136
pumpkin,train,seq-02,pumpkin/seq-02/frame-000726.color.png,-0.5518814000000001,-0.9543615,1.3023018999999998,0.8354108,0.1990669,0.3650941,0.3593988
pumpkin,train,seq-02,pumpkin/seq-02/frame-000734.color.png,-0.5742548000000001,-0.9570043,1.3277669,0.8309257999999999,0.1903959,0.379694,0.3593663
pumpkin,train,seq-02,pumpkin/seq-02/frame-000088.color.png,-0.293377,-1.0001779,-0.4950227,0.9895951,-0.1040158,-0.0777789,-0.0619081
pumpkin,train,seq-02,pumpkin/seq-02/frame-000189.color.png,0.6452036999999999,-1.0152726,-0.4783472,0.9702551,-0.0253825,-0.1980739,-0.1368482
pumpkin,train,seq-02,pumpkin/seq-02/frame-000337.color.png,0.3535954,-0.8770389999999999,-0.5643958,0.9915557,0.0812683999999999,-0.0581622,-0.0826428
pumpkin,train,seq-02,pumpkin/seq-02/frame-000334.color.png,0.3340159,-0.888423,-0.5699494,0.9914721,0.0855667,-0.0444424,-0.0876716
pumpkin,train,seq-02,pumpkin/seq-02/frame-000234.color.png,0.4174462000000001,-0.9776017,-0.4536771,0.996584,0.0185873,0.0315002,-0.0740448
pumpkin,train,seq-02,pumpkin/seq-02/frame-000165.color.png,0.6246590999999999,-0.9576261,-0.6969711,0.9733434,-0.0490372,-0.1771081,-0.1372247999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000287.color.png,0.6230905,-0.9794288,-0.4532021,0.940972,0.0992331,-0.2816839,-0.1593066
pumpkin,train,seq-02,pumpkin/seq-02/frame-000049.color.png,-0.2994319,-0.7434089,-0.3098973,0.9803346,-0.0971676,-0.1658066,-0.0448418
pumpkin,train,seq-02,pumpkin/seq-02/frame-000977.color.png,-0.1960695,-0.6963557,0.3222032,0.9920434,0.0385189,0.1198184,-0.003137
pumpkin,train,seq-02,pumpkin/seq-02/frame-000693.color.png,-0.4565026,-0.9095362,1.1414081,0.8599757,0.1808036,0.3135293,0.3597932
pumpkin,train,seq-02,pumpkin/seq-02/frame-000931.color.png,-0.3326762,-0.6115615,0.1692132999999999,0.9891263,0.0516779,0.1196865,0.068071
pumpkin,train,seq-02,pumpkin/seq-02/frame-000690.color.png,-0.4566963,-0.9033403,1.1311672,0.8621641,0.1824702,0.3094208,0.3572625
pumpkin,train,seq-02,pumpkin/seq-02/frame-000620.color.png,-0.5573284000000001,-0.7279937,0.7303271,0.9025119,0.1558934,0.2155904,0.3386595999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000262.color.png,0.4926989000000001,-0.9789553,-0.5026701,0.9822152,0.1480525,-0.0399465,-0.1083425
pumpkin,train,seq-02,pumpkin/seq-02/frame-000357.color.png,0.1136012,-0.860784,-0.5570514,0.9929631,0.0774121,0.0042543999999999,-0.0895184
pumpkin,train,seq-02,pumpkin/seq-02/frame-000028.color.png,-0.1554871,-0.5613371,-0.3276671,0.9648053,-0.0703922,-0.2264345,0.1136794
pumpkin,train,seq-02,pumpkin/seq-02/frame-000050.color.png,-0.3019548,-0.7515255,-0.3107793,0.9799528,-0.101065,-0.1664569,-0.0420778
