scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
heads,train,seq-02,heads/seq-02/frame-000001.color.png,0.0962454,-0.0414636999999999,0.1316716,0.996255,-0.0812886,0.0260122,-0.0138364,0.1100505515933036,-0.0269145257771015,0.1157814711332321,0.9973623752593994,-0.0693359375,0.0173351243138313,-0.0126631073653697
heads,train,seq-02,heads/seq-02/frame-000002.color.png,0.095965,-0.0424779,0.1306571,0.9963054,-0.0806866,0.0264873,-0.0127895,0.1154073700308799,-0.0457535721361637,0.1315656155347824,0.9978399276733398,-0.0604517459869384,0.0201986879110336,-0.0159114450216293
heads,train,seq-02,heads/seq-02/frame-000004.color.png,0.0959595,-0.0437774,0.1279806,0.9964397,-0.0779661999999999,0.0286793,-0.0143751,0.1248768046498298,-0.0348817929625511,0.1173841059207916,0.997781217098236,-0.0596339590847492,0.026236142963171,-0.0137173291295766
heads,train,seq-02,heads/seq-02/frame-000006.color.png,0.0970526,-0.0472695,0.1254234,0.9963869,-0.0752768,0.0336392,-0.0203718,0.1277560740709304,-0.0292491689324378,0.0973594263195991,0.996338963508606,-0.0754097253084182,0.0370900370180606,-0.0157028827816247
heads,train,seq-02,heads/seq-02/frame-000007.color.png,0.0967133,-0.0494818,0.1237513,0.996607,-0.0715609,0.0347009,-0.0211986,0.1271117925643921,-0.0151848467066884,0.1028465405106544,0.998447597026825,-0.0504004806280136,0.0129304947331547,-0.0198729801923036
heads,train,seq-02,heads/seq-02/frame-000008.color.png,0.0966795,-0.0509367,0.1218889,0.9970357,-0.0661395,0.0329215,-0.0214847,0.1423975080251693,-0.0163684710860252,0.1149102598428726,0.9985604286193848,-0.0470955036580562,0.0172300282865762,-0.0190279074013233
heads,train,seq-02,heads/seq-02/frame-000010.color.png,0.0967739,-0.0513595,0.1195035,0.9974706,-0.0591299,0.0317070999999999,-0.023467,0.1486327201128006,-0.0173794440925121,0.0897671282291412,0.997788906097412,-0.0602755323052406,0.02005579136312,-0.0195430945605039
heads,train,seq-02,heads/seq-02/frame-000012.color.png,0.097555,-0.0533853,0.1178432,0.9973961,-0.0571589,0.0350505,-0.0265575,0.1397001147270202,-0.0261068530380725,0.0898349434137344,0.9982122778892516,-0.0495525263249874,0.0135923847556114,-0.0305315498262643
heads,train,seq-02,heads/seq-02/frame-000014.color.png,0.0981294,-0.0534524,0.1162685,0.9975229,-0.0532605,0.0371937,-0.0269834,0.1377755552530288,-0.0432992428541183,0.0883803516626358,0.9988685250282288,-0.0375352799892425,0.0208704005926847,-0.0204311460256576
heads,train,seq-02,heads/seq-02/frame-000015.color.png,0.0992265,-0.0548238,0.1144462,0.9977167,-0.0522531,0.0370714,-0.0213723,0.144540399312973,-0.02364032715559,0.0772690698504448,0.9987555146217346,-0.0411385260522365,0.0159349795430898,-0.0232606790959835
heads,train,seq-02,heads/seq-02/frame-000016.color.png,0.1001525,-0.0576662,0.1114998,0.998021,-0.0504053,0.0347015,-0.0144625,0.1562290638685226,-0.0205689817667007,0.0767690017819404,0.9983824491500854,-0.05194828286767,0.0205417368561029,-0.0105808014050126
