scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
office,train,seq-01,office/seq-01/frame-000007.color.png,-0.9501228,-0.567561,0.7219375,0.9830679,0.0023807,0.1590426,0.0909795,-0.9950321316719056,-0.5225829482078552,0.7351247072219849,0.9823151230812072,0.0054543553851544,0.1613882333040237,0.0947688296437263
office,train,seq-01,office/seq-01/frame-000009.color.png,-0.9505354,-0.5713775999999999,0.7284154,0.9825237,-0.0023124,0.1601493,0.0948371,-0.9992457628250122,-0.5052149295806885,0.7165963053703308,0.984454870223999,-0.0003776662051677,0.1449663788080215,0.0991624593734741
office,train,seq-01,office/seq-01/frame-000013.color.png,-0.9531072,-0.5801446,0.7436366,0.9810841,-0.006325,0.1640027,0.1026501,-0.9891999363899232,-0.526478111743927,0.7367947697639465,0.9808996319770812,0.0013685065787285,0.1643906682729721,0.1039700135588646
office,train,seq-01,office/seq-01/frame-000014.color.png,-0.9541741,-0.5835564,0.7485433000000001,0.9806013,-0.0075747,0.1652235,0.1051898,-0.9879198670387268,-0.5430516600608826,0.7286654710769653,0.981015682220459,-0.0037162823136895,0.1605087667703628,0.1087723076343536
office,train,seq-01,office/seq-01/frame-000015.color.png,-0.955384,-0.5869139,0.7532125,0.9801393,-0.0084021,0.1660622,0.1080728,-0.9984337091445924,-0.537122368812561,0.7314444780349731,0.980161190032959,-0.0074616796337068,0.1663320958614349,0.107526808977127
office,train,seq-01,office/seq-01/frame-000020.color.png,-0.9567964,-0.6043677,0.7769399,0.9789376,-0.0113441,0.1668665,0.1170818,-1.0225008726119995,-0.5883604884147644,0.7743580937385559,0.9802992343902588,-0.0058377156965434,0.1614785343408584,0.1135958209633827
office,train,seq-01,office/seq-01/frame-000021.color.png,-0.9579654,-0.6088831,0.7819043999999999,0.9785555,-0.0121941,0.1673841,0.1194281,-1.0302433967590332,-0.5854179263114929,0.79365473985672,0.9814812541007996,-0.0106560532003641,0.1528895944356918,0.1149161830544471
office,train,seq-01,office/seq-01/frame-000025.color.png,-0.9578152,-0.6268031999999999,0.8060946999999999,0.9760794,-0.0227366,0.174039,0.1283058,-1.027606964111328,-0.6342916488647461,0.7848017811775208,0.9770153164863586,-0.0181297194212675,0.1722021102905273,0.1243336498737335
office,train,seq-01,office/seq-01/frame-000027.color.png,-0.9559192,-0.6329509,0.8179014,0.9762887,-0.0266068,0.1698767999999999,0.1315076,-1.021020531654358,-0.6387048959732056,0.7912814617156982,0.9758771657943726,-0.0292539782822132,0.169069617986679,0.1349942982196808
office,train,seq-01,office/seq-01/frame-000028.color.png,-0.9527904,-0.6393549,0.8239815999999999,0.9761063,-0.0315837999999999,0.1680011,0.134144,-1.0362597703933716,-0.6307274699211121,0.8248624205589294,0.9760674834251404,-0.0457811616361141,0.1680879592895507,0.1301644593477249
office,train,seq-01,office/seq-01/frame-000029.color.png,-0.9501339,-0.6459088000000001,0.8307629000000001,0.9753453,-0.0357599,0.1693756,0.136875,-1.0249513387680054,-0.6438445448875427,0.8256537914276123,0.9764314293861388,-0.0330339781939983,0.1643932461738586,0.1358872503042221
office,train,seq-01,office/seq-01/frame-000038.color.png,-0.9356268,-0.6923451,0.8865113000000001,0.9705053,-0.0377395,0.1897754,0.1438071,-1.0073052644729614,-0.6332486867904663,0.8693220615386963,0.9709579348564148,-0.0401441305875778,0.1891733109951019,0.1408637464046478
office,train,seq-01,office/seq-01/frame-000042.color.png,-0.9290791,-0.7106413,0.9105893,0.9682586,-0.0415191,0.1979528,0.1468541,-1.004058003425598,-0.6664369106292725,0.9063282012939452,0.9690752029418944,-0.0469991452991962,0.196717619895935,0.1413735300302505
office,train,seq-01,office/seq-01/frame-000047.color.png,-0.9192163,-0.7327060999999999,0.9427275,0.9651868,-0.0480799,0.2059001,0.1539736,-0.9939627647399902,-0.7179288268089294,0.9295433163642884,0.966882586479187,-0.0539485476911067,0.198824942111969,0.1506527215242386
office,train,seq-01,office/seq-01/frame-000048.color.png,-0.9198395,-0.7366255,0.950054,0.9641549,-0.0508765,0.2087515,0.155691,-0.9857571125030518,-0.7128558158874512,0.9314568042755128,0.9661829471588136,-0.06147001683712,0.1966267079114914,0.1550802588462829
office,train,seq-01,office/seq-01/frame-000049.color.png,-0.9177372,-0.7444010999999999,0.9577036,0.9636993,-0.0515818,0.2105547,0.1558516,-0.9644548296928406,-0.739168643951416,0.9403825402259828,0.9678449034690856,-0.055828858166933,0.1959200948476791,0.1475623846054077
office,train,seq-01,office/seq-01/frame-000057.color.png,-0.8874572000000001,-0.7903944,0.9995924,0.9652237,-0.0473855,0.2107622,0.1472315,-0.907470405101776,-0.7619231343269348,0.9727854132652284,0.9673639535903932,-0.0405736975371837,0.2060258537530899,0.141823872923851
office,train,seq-01,office/seq-01/frame-000061.color.png,-0.86703,-0.806651,1.0102788,0.9656036,-0.0469207,0.2133637,0.1410112,-0.8931137323379517,-0.8381624221801758,1.0071998834609983,0.9668441414833068,-0.0592446960508823,0.2060359865427017,0.1387506127357483
office,train,seq-01,office/seq-01/frame-000062.color.png,-0.8606625,-0.8120147,1.0120311,0.9669987,-0.0480066,0.2092241,0.1372376,-0.8942767977714539,-0.8376482725143433,1.0177139043807983,0.9682161211967468,-0.0625220835208892,0.1998696327209472,0.1367506384849548
office,train,seq-01,office/seq-01/frame-000063.color.png,-0.852318,-0.8195319,1.0138843000000002,0.9685169,-0.0502493,0.2044909,0.132791,-0.8887588977813721,-0.8259690403938293,1.0153592824935913,0.9692798256874084,-0.0568650960922241,0.2017188668251037,0.1287341564893722
office,train,seq-01,office/seq-01/frame-000064.color.png,-0.8421568000000001,-0.8260656999999999,1.0144179,0.9693006,-0.0529843,0.2022215,0.1294434,-0.8861586451530457,-0.8301799893379211,0.98953777551651,0.9672524333000184,-0.0630166307091713,0.2081859558820724,0.1308060884475708
office,train,seq-01,office/seq-01/frame-000066.color.png,-0.8257325000000001,-0.8361584000000001,1.0143825,0.9692512,-0.0607186,0.2014676,0.1275779,-0.8345105648040771,-0.8506758809089661,1.0104957818984983,0.966209888458252,-0.0753169879317283,0.2091362029314041,0.1304908096790313
office,train,seq-01,office/seq-01/frame-000067.color.png,-0.8138576,-0.8418818000000001,1.0133302,0.9694741,-0.0619496,0.2014978,0.1252233999999999,-0.8304736614227295,-0.8477686047554016,0.992567241191864,0.9665129780769348,-0.0712164938449859,0.2108985185623169,0.1276815235614776
office,train,seq-01,office/seq-01/frame-000072.color.png,-0.764199,-0.8568486999999999,0.992978,0.9727683,-0.0631260999999999,0.1913828,0.1144971,-0.8109510540962219,-0.8270257711410522,0.9474269151687622,0.969910442829132,-0.073159210383892,0.1990216374397277,0.1196323558688163
office,train,seq-01,office/seq-01/frame-000074.color.png,-0.737535,-0.8620048,0.9780289,0.9734213,-0.0679751,0.184304,0.1177386,-0.7560531497001648,-0.845937967300415,0.9572665095329284,0.973388135433197,-0.078664094209671,0.1795445680618286,0.1187065094709396
office,train,seq-01,office/seq-01/frame-000075.color.png,-0.7258629,-0.8640344999999999,0.970714,0.9733071,-0.0700097,0.1837321,0.1183826,-0.7466992735862732,-0.85777747631073,0.9461878538131714,0.9727402329444884,-0.0803707763552665,0.1830600947141647,0.1174987331032753
office,train,seq-01,office/seq-01/frame-000076.color.png,-0.7157658,-0.8658985999999999,0.9626715,0.9736061,-0.0719271,0.1813045,0.118517,-0.7423689365386963,-0.8643602728843689,0.9504625797271729,0.972064733505249,-0.0771068036556243,0.1896957904100418,0.1147177591919899
office,train,seq-01,office/seq-01/frame-000077.color.png,-0.7027479,-0.8676370000000001,0.9539425,0.9738304,-0.07484,0.1783736,0.119315,-0.7144643068313599,-0.8823320269584656,0.972481906414032,0.9745975732803344,-0.0721096023917198,0.1731527000665664,0.12238410115242
office,train,seq-01,office/seq-01/frame-000079.color.png,-0.6798701,-0.8724318000000001,0.9372414,0.9736696,-0.0814086,0.1784708,0.116139,-0.6959740519523621,-0.8788514137268066,0.9413421154022216,0.9747914671897888,-0.0724296197295188,0.1749137490987777,0.1180709600448608
office,train,seq-01,office/seq-01/frame-000081.color.png,-0.6553422,-0.8773386999999999,0.920867,0.9754564,-0.0842226,0.1694,0.1126722,-0.6741045117378235,-0.8810443878173828,0.9300996661186218,0.9759078025817872,-0.0753078088164329,0.1721963733434677,0.1108200997114181
office,train,seq-01,office/seq-01/frame-000082.color.png,-0.6395491,-0.8800549999999999,0.9135996,0.9764671,-0.0839039999999999,0.1657988,0.109466,-0.6876181960105896,-0.8726189732551575,0.9280790090560912,0.9767759442329408,-0.0812275558710098,0.1655734032392501,0.1090701669454574
office,train,seq-01,office/seq-01/frame-000086.color.png,-0.5871510999999999,-0.8878011999999998,0.8883633,0.9806267,-0.08484,0.1443568999999999,0.1016588,-0.6049483418464661,-0.8842735886573792,0.8930715918540955,0.9803572297096252,-0.0950009301304817,0.140497475862503,0.1006724685430526
office,train,seq-01,office/seq-01/frame-000087.color.png,-0.5719451,-0.8899085999999999,0.8829457,0.9820551,-0.0851922,0.1371041,0.0975319,-0.5863342881202698,-0.8810572028160095,0.8920195698738098,0.9827980995178224,-0.0866166651248931,0.1300684362649917,0.0984254628419876
office,train,seq-01,office/seq-01/frame-000090.color.png,-0.5333455,-0.8941966,0.8708292999999999,0.984713,-0.0850583,0.1235078,0.0886076,-0.5322394967079163,-0.8671002388000488,0.8398854732513428,0.9841466546058656,-0.088608406484127,0.123805359005928,0.0909742042422294
office,train,seq-01,office/seq-01/frame-000097.color.png,-0.4525143,-0.8879564,0.8472550999999999,0.9879412,-0.0865247,0.1052955,0.0734741,-0.4606468677520752,-0.8570374250411987,0.8303479552268982,0.9895711541175842,-0.0879156813025474,0.0861489474773407,0.0748212411999702
office,train,seq-01,office/seq-01/frame-000099.color.png,-0.4289024,-0.8793014000000001,0.8412271000000001,0.9882523,-0.088439,0.1004466,0.0738001,-0.4627141952514648,-0.8478062152862549,0.819519579410553,0.990617334842682,-0.0885524228215217,0.0764317438006401,0.0706684067845344
office,train,seq-01,office/seq-01/frame-000103.color.png,-0.3735781,-0.860014,0.8286644000000001,0.9900464,-0.0881968,0.083451,0.071171,-0.4183728396892547,-0.8393896222114563,0.8058264851570129,0.989967167377472,-0.0907365828752517,0.0830432847142219,0.0695398449897766
office,train,seq-01,office/seq-01/frame-000109.color.png,-0.3048962,-0.8297251,0.8076029,0.991736,-0.0925201,0.063869,0.0618106,-0.2918543815612793,-0.8280925154685974,0.7757611274719238,0.9914768934249878,-0.0993433594703674,0.057486206293106,0.0616408921778202
office,train,seq-01,office/seq-01/frame-000111.color.png,-0.2773482,-0.8209185999999999,0.7985909999999999,0.9925626,-0.0955013,0.0539914,0.0527623,-0.2304950952529907,-0.8294289708137512,0.7358624935150146,0.9911821484565736,-0.1156403496861457,0.0373729206621646,0.0528080835938453
office,train,seq-01,office/seq-01/frame-000112.color.png,-0.2647598,-0.8186722,0.7941179,0.9929684,-0.0974342,0.0465445,0.048518,-0.2296671718358993,-0.8192143440246582,0.7380717992782593,0.9920477271080016,-0.1136858984827995,0.0291091296821832,0.0454934760928154
office,train,seq-01,office/seq-01/frame-000114.color.png,-0.249704,-0.8178766,0.7898525,0.9937807,-0.0957333,0.0383531,0.0420021,-0.2177025377750396,-0.8281611204147339,0.7228170037269592,0.9929154515266418,-0.1088412776589393,0.020705334842205,0.0429389178752899
