scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
redkitchen,train,seq-01,redkitchen/seq-01/frame-000000.color.png,-0.3404563,0.0164697999999999,0.2965692,0.9770759,-0.0002122,-0.1608343,-0.139481,-0.3032498061656952,0.0350489765405654,0.3038609027862549,0.974573016166687,-0.0050006406381726,-0.1747022569179535,-0.1402190923690796
redkitchen,train,seq-01,redkitchen/seq-01/frame-000002.color.png,-0.3405364,0.0170052,0.2974445,0.9769388,-0.0003859,-0.1615331,-0.1396335,-0.31467005610466,0.0404562950134277,0.2874850034713745,0.9733556509017944,0.003321326104924,-0.1806816756725311,-0.1411452144384384
redkitchen,train,seq-01,redkitchen/seq-01/frame-000004.color.png,-0.3418136,0.0152382999999999,0.2979789,0.9769919,-0.0014874,-0.160642,-0.1402812,-0.309421956539154,0.0377009734511375,0.3075577020645141,0.973053514957428,-0.006178873591125,-0.1813410371541977,-0.1422823071479797
redkitchen,train,seq-01,redkitchen/seq-01/frame-000005.color.png,-0.3415571,0.0134123,0.2985037,0.9770119,-0.0018176,-0.1615829,-0.1390514,-0.3174540996551513,0.0442365072667598,0.2898891866207123,0.973849892616272,-0.0018097728025168,-0.1789720207452774,-0.1399364024400711
redkitchen,train,seq-01,redkitchen/seq-01/frame-000010.color.png,-0.344733,0.0100168,0.30107,0.9761089,-0.0012191,-0.164567,-0.1418717,-0.3203045129776001,0.0452781803905963,0.2732841074466705,0.9734103679656982,-0.000662321341224,-0.1777145713567733,-0.1445313543081283
redkitchen,train,seq-01,redkitchen/seq-01/frame-000011.color.png,-0.3482985,0.0116713,0.3007119,0.9758643,-0.0003444,-0.1651436,-0.142886,-0.323546439409256,0.0452489741146564,0.2665123641490936,0.972504198551178,-0.0060916715301573,-0.1828316748142242,-0.1441215723752975
redkitchen,train,seq-01,redkitchen/seq-01/frame-000012.color.png,-0.3492617,0.0098918,0.3013817,0.9755615,-0.000482,-0.1658209,-0.1441628999999999,-0.3262854516506195,0.0445022135972976,0.2667174041271209,0.972891628742218,-0.0036240678746253,-0.1800870299339294,-0.1450433135032653
redkitchen,train,seq-01,redkitchen/seq-01/frame-000016.color.png,-0.3532911,0.0064628999999999,0.3033595999999999,0.97462,0.0020038,-0.1686937,-0.1471539,-0.3628834187984466,0.0413553230464458,0.2793188989162445,0.9731205105781556,0.0006512767868116,-0.1788487583398819,-0.1450830250978469
redkitchen,train,seq-01,redkitchen/seq-01/frame-000018.color.png,-0.3547845,0.0057023,0.3042119,0.9743037,0.0030492,-0.1698591,-0.1478882999999999,-0.3872115015983581,0.0402345545589923,0.2647446990013122,0.9728371500968932,-0.0006795482477173,-0.1834510862827301,-0.1411846876144409
redkitchen,train,seq-01,redkitchen/seq-01/frame-000025.color.png,-0.370652,0.0042488,0.3094472,0.9728502,0.0004284,-0.1736648999999999,-0.1529797999999999,-0.3802978992462158,0.028057724237442,0.3072134554386139,0.9700718522071838,-0.0025840979069471,-0.1897951513528823,-0.1514317840337753
redkitchen,train,seq-01,redkitchen/seq-01/frame-000032.color.png,-0.3925758,0.0047768,0.3186308,0.9715818000000002,-0.0089259,-0.1786866,-0.1549846,-0.3979312181472778,0.0166261382400989,0.314977616071701,0.97020822763443,-0.0085796127095818,-0.185880497097969,-0.1551473885774612
redkitchen,train,seq-01,redkitchen/seq-01/frame-000034.color.png,-0.4004598,0.0084888,0.3229736,0.9707716,-0.0121841,-0.1805402,-0.1576685,-0.3879422545433044,0.0384227000176906,0.3154312670230865,0.9703441858291626,-0.0130659798160195,-0.1868843138217926,-0.1527604609727859
redkitchen,train,seq-01,redkitchen/seq-01/frame-000035.color.png,-0.4051392,0.0051262,0.3257984,0.9705205,-0.0146602,-0.1794657,-0.1602094,-0.4024612307548523,0.04187573492527,0.3390979468822479,0.9686214923858644,-0.0119697237387299,-0.1928393989801406,-0.1563399881124496
redkitchen,train,seq-01,redkitchen/seq-01/frame-000037.color.png,-0.4141986,0.0097627,0.3306426,0.9703704,-0.0138717,-0.1756713,-0.1653128999999999,-0.4231823682785034,0.0361997298896312,0.3390993177890777,0.9674743413925172,-0.0162110328674316,-0.1927542686462402,-0.1630226373672485
redkitchen,train,seq-01,redkitchen/seq-01/frame-000039.color.png,-0.4225155,0.0090927,0.3362249,0.9703845,-0.0203684,-0.1759967,-0.1642076,-0.4144893288612366,0.0555723570287227,0.3307942748069763,0.9686388969421388,-0.0161095671355724,-0.1851507425308227,-0.1649189740419387
redkitchen,train,seq-01,redkitchen/seq-01/frame-000042.color.png,-0.4386615,0.0161646,0.3451854,0.9698963,-0.0171629,-0.1775494,-0.1657792,-0.4540507793426513,0.0414003990590572,0.3435462713241577,0.9703353047370912,-0.0120449410751461,-0.1813331991434097,-0.1594445705413818
redkitchen,train,seq-01,redkitchen/seq-01/frame-000048.color.png,-0.4788300999999999,0.0166684,0.3609517,0.9689358,-0.00962,-0.1777813999999999,-0.1716527999999999,-0.5010015964508057,0.035064298659563,0.3638193309307098,0.96901273727417,-0.0059911459684371,-0.1810824126005172,-0.1678916364908218
