scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
heads,train,seq-02,heads/seq-02/frame-000001.color.png,0.0962454,-0.0414636999999999,0.1316716,0.996255,-0.0812886,0.0260122,-0.0138364,0.1076065450906753,-0.0593881830573082,0.1351906061172485,0.997878074645996,-0.0558352470397949,0.0308939777314662,-0.0129352239891886
heads,train,seq-02,heads/seq-02/frame-000002.color.png,0.095965,-0.0424779,0.1306571,0.9963054,-0.0806866,0.0264873,-0.0127895,0.110578179359436,-0.0533525571227073,0.1342928111553192,0.997944712638855,-0.0554332248866558,0.0286302603781223,-0.0146211050450801
heads,train,seq-02,heads/seq-02/frame-000003.color.png,0.0954895,-0.0432784,0.129332,0.9964048,-0.0792678,0.0270606,-0.0127217,0.1054243817925453,-0.0520977899432182,0.1262420862913131,0.9977602362632751,-0.0555381178855896,0.033948216587305,-0.015411109663546
heads,train,seq-02,heads/seq-02/frame-000004.color.png,0.0959595,-0.0437774,0.1279806,0.9964397,-0.0779661999999999,0.0286793,-0.0143751,0.1126544326543808,-0.0442466363310813,0.1223969459533691,0.9977269172668456,-0.0543158166110515,0.0373232662677764,-0.0140646006911993
heads,train,seq-02,heads/seq-02/frame-000008.color.png,0.0966795,-0.0509367,0.1218889,0.9970357,-0.0661395,0.0329215,-0.0214847,0.1365129649639129,-0.0542992874979972,0.1086874455213546,0.9983609914779664,-0.0488723516464233,0.0218147709965705,-0.0202740207314491
heads,train,seq-02,heads/seq-02/frame-000009.color.png,0.0971454,-0.0507547,0.1204743,0.9974068,-0.0610752,0.03099,-0.0221173,0.1205125600099563,-0.0509596541523933,0.1225141286849975,0.99832022190094,-0.0518709607422351,0.0202548038214445,-0.0159934163093566
heads,train,seq-02,heads/seq-02/frame-000015.color.png,0.0992265,-0.0548238,0.1144462,0.9977167,-0.0522531,0.0370714,-0.0213723,0.1313432157039642,-0.0484374687075614,0.1037606298923492,0.9982624650001526,-0.0515176393091678,0.0170810595154762,-0.0229380168020725
heads,train,seq-02,heads/seq-02/frame-000026.color.png,0.1114336,-0.0749169,0.0849958,0.9984914,-0.0474906,0.0271688,0.0046251,0.164141908288002,-0.0803925991058349,0.0910465121269226,0.9982457756996156,-0.0492234490811824,0.0328279323875904,-0.0021799723617732
heads,train,seq-02,heads/seq-02/frame-000028.color.png,0.1170187,-0.0811862,0.0747348,0.9986374,-0.0476609,0.0189744,0.0095822,0.1431104838848114,-0.0842653661966323,0.0951928049325943,0.997602641582489,-0.0607185252010822,0.0331919714808464,-0.0007233963697217
heads,train,seq-02,heads/seq-02/frame-000031.color.png,0.1228167,-0.087814,0.0658584,0.9983696,-0.0550814,0.0110229,0.0101297,0.1673310250043869,-0.0755592808127403,0.0757004171609878,0.9984036684036256,-0.0531799234449863,0.0183841343969106,0.0048998771235346
heads,train,seq-02,heads/seq-02/frame-000032.color.png,0.1227111,-0.0876507,0.0658953999999999,0.9983828,-0.0549351,0.0107559,0.0099071,0.1673310250043869,-0.0755592808127403,0.0757004171609878,0.9984036684036256,-0.0531799234449863,0.0183841343969106,0.0048998771235346
heads,train,seq-02,heads/seq-02/frame-000033.color.png,0.1272363,-0.089817,0.0616178,0.9982981,-0.0567783,0.0089861,0.0098133,0.1568416804075241,-0.0744827911257743,0.0684089437127113,0.998550534248352,-0.0521924011409282,0.0122151477262377,0.0048514404334127
heads,train,seq-02,heads/seq-02/frame-000036.color.png,0.1389772,-0.0948718,0.0533001,0.9976762,-0.0664235,0.0023194,0.0149907,0.1676822155714035,-0.0752775445580482,0.0746264532208442,0.9976280331611632,-0.0659698396921157,0.0177733302116394,0.0083925146609544
heads,train,seq-02,heads/seq-02/frame-000039.color.png,0.152842,-0.1008315,0.043524,0.9974846,-0.0682661,-0.0048095,0.0184675,0.1806484311819076,-0.0854488983750343,0.0501375943422317,0.9968838095664978,-0.0781392753124237,0.0088222445920109,0.0062556876800954
heads,train,seq-02,heads/seq-02/frame-000040.color.png,0.1613306,-0.1024473,0.0387315,0.9973849,-0.0703152,-0.0061563,0.0155325,0.2056513130664825,-0.0999498143792152,0.0320910140872001,0.9958719611167908,-0.0902810096740722,-0.0092916088178753,-0.0014260344905778
heads,train,seq-02,heads/seq-02/frame-000041.color.png,0.1709771,-0.1050896,0.0334753,0.9972563,-0.073098,-0.0036312,0.0111105,0.2246019840240478,-0.1040110662579536,0.022023944184184,0.9955237507820128,-0.0943174511194229,0.0015688834246248,-0.0058565335348248
heads,train,seq-02,heads/seq-02/frame-000042.color.png,0.170692,-0.1048625,0.0336029999999999,0.9972687,-0.072917,-0.0038574,0.0111056,0.2246019840240478,-0.1040110662579536,0.022023944184184,0.9955237507820128,-0.0943174511194229,0.0015688834246248,-0.0058565335348248
heads,train,seq-02,heads/seq-02/frame-000043.color.png,0.1829161,-0.1062855,0.0283991,0.9971642,-0.0746916,-0.0005405,0.0091907,0.2271524369716644,-0.0824241861701011,0.0212007854133844,0.9963600039482116,-0.084096685051918,0.006662483792752,-0.012250866740942
heads,train,seq-02,heads/seq-02/frame-000044.color.png,0.1971699,-0.1075414,0.0235528,0.9969266,-0.077541,0.0002375,0.0111626,0.2109142690896988,-0.0809554532170295,0.0298291575163602,0.9964795708656312,-0.08268753439188,0.0076291877776384,-0.0115265557542443
heads,train,seq-02,heads/seq-02/frame-000046.color.png,0.2101727,-0.1112066,0.01847,0.9966029,-0.0810745,0.0001012,0.0144763,0.2229513972997665,-0.0891335234045982,0.0109715070575475,0.997738778591156,-0.0647923871874809,0.0175558272749185,-0.0033317077904939
heads,train,seq-02,heads/seq-02/frame-000048.color.png,0.2229499,-0.1145523,0.0126357,0.9965278,-0.0815858999999999,-0.002365,0.0164478,0.2335318475961685,-0.0900433957576751,0.0213094856590032,0.9968554973602296,-0.0774801075458526,0.0154921067878603,0.0059856018051505
heads,train,seq-02,heads/seq-02/frame-000049.color.png,0.2344873,-0.1160469,0.0069608,0.9967408,-0.078832,-0.00317,0.016828,0.2492702156305313,-0.0915605947375297,0.0101430099457502,0.9953737258911132,-0.0949441492557525,0.0122578870505094,0.0081587499007582
heads,train,seq-02,heads/seq-02/frame-000051.color.png,0.2624127,-0.1159195,-0.0027485,0.9969802,-0.0758641,0.0070607,0.0150089,0.2585485279560089,-0.0793510824441909,0.0004509296268224,0.996416449546814,-0.0839869603514671,0.0099983159452676,0.0006907117785885
heads,train,seq-02,heads/seq-02/frame-000052.color.png,0.2638188,-0.1160107,-0.0027275,0.996972,-0.0759796,0.0068092,0.0150839,0.2585485279560089,-0.0793510824441909,0.0004509296268224,0.996416449546814,-0.0839869603514671,0.0099983159452676,0.0006907117785885
heads,train,seq-02,heads/seq-02/frame-000056.color.png,0.2963319,-0.1210631,-0.0159611,0.9963838,-0.0810602,0.0070792,0.0244641,0.2956621944904327,-0.0708604753017425,-0.0250612366944551,0.9964839816093444,-0.0835646167397499,0.0045341989025473,0.0040121083147823
heads,train,seq-02,heads/seq-02/frame-000058.color.png,0.3196425,-0.1235886,-0.0246488,0.9960755,-0.0841543,0.0173541,0.0212266,0.3109564185142517,-0.0971758216619491,-0.0031132418662309,0.9967480897903442,-0.0734085142612457,0.0307211726903915,0.012674699537456
heads,train,seq-02,heads/seq-02/frame-000059.color.png,0.3337733,-0.1282713,-0.029657,0.9956757,-0.0860433999999999,0.0296042,0.0187116,0.3468675911426544,-0.1004007309675216,0.0029394309967756,0.9950109720230104,-0.0888642817735672,0.0419373661279678,0.0172529909759759
heads,train,seq-02,heads/seq-02/frame-000060.color.png,0.3347678,-0.1282213,-0.0296372,0.9956806,-0.0861146,0.0291051,0.0189052,0.3468675911426544,-0.1004007309675216,0.0029394309967756,0.9950109720230104,-0.0888642817735672,0.0419373661279678,0.0172529909759759
heads,train,seq-02,heads/seq-02/frame-000061.color.png,0.346279,-0.1306433,-0.0346471,0.9955553,-0.082912,0.0402941,0.019276,0.3660582900047302,-0.1171055808663368,-0.0252045262604951,0.9951537251472472,-0.0919162854552269,0.0292518902570009,0.0190978739410638
heads,train,seq-02,heads/seq-02/frame-000065.color.png,0.3853887,-0.1323941,-0.04905,0.9945475,-0.0794986999999999,0.0599591,0.0309868,0.4197132289409637,-0.1471989005804062,-0.0655269473791122,0.9954133629798888,-0.0819670036435127,0.0445646569132804,0.0211566463112831
heads,train,seq-02,heads/seq-02/frame-000068.color.png,0.4072416,-0.1373945,-0.0579833,0.9927025,-0.0829083,0.0812595,0.0326336,0.464519053697586,-0.1607550680637359,-0.0936641991138458,0.9942675828933716,-0.0839820280671119,0.063755065202713,0.0177269093692302
heads,train,seq-02,heads/seq-02/frame-000069.color.png,0.4149689,-0.1374422,-0.0615966,0.991889,-0.0825679,0.0894156,0.0366539,0.4959974884986877,-0.1581465154886245,-0.0866935104131698,0.9932584762573242,-0.0828083530068397,0.0786651894450187,0.0198020637035369
heads,train,seq-02,heads/seq-02/frame-000070.color.png,0.4224361,-0.1375448,-0.0638288,0.9915352,-0.0849361,0.0898708,0.0395863,0.5019346475601196,-0.1513909697532653,-0.0963278263807296,0.990648627281189,-0.0922908633947372,0.093410700559616,0.0370399430394172
