scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000004.color.png,-0.1763059,-0.4251224,-0.3044553,0.989643,-0.0575093,-0.1310196,0.0115426,-0.2147021293640136,-0.4557624161243438,-0.3520322442054748,0.9871405363082886,-0.0784227550029754,-0.1385178118944168,0.0147010385990142
pumpkin,train,seq-02,pumpkin/seq-02/frame-000006.color.png,-0.1768462,-0.431097,-0.3210818,0.9900593,-0.0486676,-0.1290354,0.0276372,-0.1517339944839477,-0.475628137588501,-0.314063161611557,0.986782729625702,-0.0445553958415985,-0.1518506854772567,0.0348729155957698
pumpkin,train,seq-02,pumpkin/seq-02/frame-000008.color.png,-0.1673681,-0.4234181,-0.3241039,0.9890503,-0.04013,-0.1390678,0.0287963,-0.1668622493743896,-0.4523567855358124,-0.3546247780323028,0.986959993839264,-0.0503243021667003,-0.1487843245267868,0.0352229215204715
pumpkin,train,seq-02,pumpkin/seq-02/frame-000010.color.png,-0.1660997,-0.4358304,-0.3392707,0.9892282,-0.0391313,-0.1383211,0.0276313,-0.1737987250089645,-0.4678952395915985,-0.3995711505413055,0.987434148788452,-0.0572308152914047,-0.1438993364572525,0.0314868427813053
pumpkin,train,seq-02,pumpkin/seq-02/frame-000012.color.png,-0.1648998,-0.4529432,-0.350988,0.988591,-0.0391245,-0.1427412,0.0279643,-0.1563991755247116,-0.4553962647914886,-0.3571167886257171,0.9833454489707948,-0.0466251224279403,-0.1720062047243118,0.0356601178646087
pumpkin,train,seq-02,pumpkin/seq-02/frame-000015.color.png,-0.1518412,-0.4490319,-0.356666,0.9864569,-0.0230266,-0.1593581,0.0312645,-0.1010770350694656,-0.5118941068649292,-0.4618042707443237,0.9823299050331116,-0.0446689389646053,-0.1788239926099777,0.0324751511216163
pumpkin,train,seq-02,pumpkin/seq-02/frame-000016.color.png,-0.1509984,-0.4615974,-0.3612382,0.9867861,-0.0283552,-0.1575501,0.0250426,-0.094889797270298,-0.4978734254837036,-0.4359280467033386,0.9837526679039,-0.0456981621682643,-0.1716536432504654,0.0260244291275739
pumpkin,train,seq-02,pumpkin/seq-02/frame-000019.color.png,-0.1496638,-0.4851869,-0.371184,0.9859675,-0.0205523,-0.1624649,0.0324179,-0.1638747304677963,-0.4974421262741089,-0.4421008825302124,0.9850162267684937,-0.0343182571232318,-0.1663773506879806,0.0297316871583461
pumpkin,train,seq-02,pumpkin/seq-02/frame-000020.color.png,-0.1535928999999999,-0.4916441,-0.3743917,0.9865229,-0.0196251,-0.1590537999999999,0.033006,-0.157790407538414,-0.4946489036083221,-0.4599370062351227,0.9862412810325624,-0.030142979696393,-0.160559594631195,0.0252999402582645
pumpkin,train,seq-02,pumpkin/seq-02/frame-000022.color.png,-0.1646023999999999,-0.4941767,-0.3742699,0.987821,-0.010961,-0.1532898,0.0243271,-0.1582728177309036,-0.5486766695976257,-0.4950312674045563,0.98326313495636,-0.0335323475301265,-0.1773110926151275,0.02510049007833
pumpkin,train,seq-02,pumpkin/seq-02/frame-000023.color.png,-0.1657171,-0.4963401,-0.3737349,0.9884433,-0.0184394,-0.1486272,0.0234478,-0.1416362524032592,-0.5680474638938904,-0.4392888844013214,0.9874101281166076,-0.0265549086034297,-0.1552405208349228,0.0147161372005939
