scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
stairs,train,seq-02,stairs/seq-02/frame-000000.color.png,-0.0635736,-0.8734909,-0.1480201,0.9297232,-0.2467523,-0.2324045,-0.1439312999999999,-0.0359098352491855,-0.887569785118103,-0.1484173536300659,0.931080996990204,-0.2384253293275833,-0.2396271675825119,-0.1371877044439315
stairs,train,seq-02,stairs/seq-02/frame-000001.color.png,-0.0627091999999999,-0.8726276,-0.1487956,0.9299787,-0.2461187,-0.232474,-0.1432516,-0.0404167920351028,-0.8917704224586487,-0.1546292304992675,0.9307560920715332,-0.2378770560026168,-0.2411337047815323,-0.1377031803131103
stairs,train,seq-02,stairs/seq-02/frame-000002.color.png,-0.0631224,-0.8688132,-0.1509844,0.9300688,-0.2443385,-0.2337637,-0.1436148,-0.0406576246023178,-0.8860853910446167,-0.1453086286783218,0.9307748675346376,-0.2373447567224502,-0.241218164563179,-0.1383448541164398
stairs,train,seq-02,stairs/seq-02/frame-000003.color.png,-0.0640936,-0.8696536,-0.1509957,0.9299507,-0.2450606,-0.2331335,-0.1441731,-0.0365226864814758,-0.8870697617530823,-0.1594626307487487,0.9314528703689576,-0.236082836985588,-0.240073412656784,-0.1379314959049224
stairs,train,seq-02,stairs/seq-02/frame-000004.color.png,-0.062216,-0.8687925999999999,-0.1505104,0.9301032,-0.2443485,-0.2334006,-0.1439654,-0.0391709133982658,-0.8970663547515869,-0.1559838056564331,0.931174099445343,-0.2332474589347839,-0.2439995110034942,-0.1377481967210769
stairs,train,seq-02,stairs/seq-02/frame-000006.color.png,-0.0626197,-0.8664393,-0.1526249,0.9294465,-0.2444958,-0.2362069,-0.143378,-0.049323845654726,-0.8866531252861023,-0.1467683315277099,0.9310578107833862,-0.2362787872552871,-0.2398529797792434,-0.1406210958957672
stairs,train,seq-02,stairs/seq-02/frame-000007.color.png,-0.0619529,-0.8650171999999998,-0.1520469,0.9289516,-0.2443626,-0.2385499,-0.142933,-0.0590618997812271,-0.8951469659805298,-0.1506895273923874,0.9320577383041382,-0.2363529950380325,-0.2381802350282669,-0.1366591602563858
stairs,train,seq-02,stairs/seq-02/frame-000008.color.png,-0.0599036,-0.8663073,-0.1498348,0.9283022,-0.2442654,-0.2400367,-0.1448165,-0.055609293282032,-0.8904910087585449,-0.1496597230434417,0.9307076930999756,-0.2365191429853439,-0.2431237250566482,-0.1368675529956817
stairs,train,seq-02,stairs/seq-02/frame-000010.color.png,-0.0606654,-0.8637745000000001,-0.153017,0.9289773,-0.2432324,-0.239429,-0.1432235,-0.0553203299641609,-0.8943815231323242,-0.1496051102876663,0.9290261268615724,-0.2388616353273391,-0.2454949617385864,-0.1399560272693634
stairs,train,seq-02,stairs/seq-02/frame-000012.color.png,-0.0607358,-0.8644924999999999,-0.1539312,0.9287022,-0.2431526,-0.2405577,-0.1432516,-0.0599240586161613,-0.8837244510650635,-0.1555024832487106,0.9321072697639464,-0.2366794943809509,-0.2378773242235183,-0.1362837553024292
stairs,train,seq-02,stairs/seq-02/frame-000013.color.png,-0.0595609,-0.8649658000000001,-0.1519384,0.9290804,-0.2426521,-0.2395606,-0.143319,-0.065762847661972,-0.8838949203491211,-0.1429373025894165,0.9315861463546752,-0.2340577244758606,-0.241489976644516,-0.1380105763673782
stairs,train,seq-02,stairs/seq-02/frame-000017.color.png,-0.05869,-0.8669431999999999,-0.1495112,0.929835,-0.2393292,-0.2406837,-0.1421259,-0.056389108300209,-0.8836866021156311,-0.1641807109117508,0.9303097724914552,-0.2326043397188186,-0.247513860464096,-0.1384039223194122
stairs,train,seq-02,stairs/seq-02/frame-000018.color.png,-0.0646756,-0.8651519,-0.1548254,0.9309147,-0.2379984,-0.2387261,-0.1405862999999999,-0.0665799602866172,-0.8861247897148132,-0.1520573794841766,0.9307305216789246,-0.2312819361686706,-0.2490245103836059,-0.1350412964820861
stairs,train,seq-02,stairs/seq-02/frame-000019.color.png,-0.0571784,-0.8650370000000001,-0.1483139,0.9298607,-0.2368509,-0.2437243,-0.1409227,-0.0724686384201049,-0.8845750689506531,-0.1576839238405227,0.9290350079536438,-0.2346782833337783,-0.2488494962453842,-0.1410459727048874
stairs,train,seq-02,stairs/seq-02/frame-000022.color.png,-0.0567775,-0.8649030000000001,-0.141841,0.9308909,-0.2323806,-0.2452986,-0.1388162,-0.0814025327563285,-0.8736920952796936,-0.1448599994182586,0.9288206696510316,-0.2400102019309997,-0.2466147243976593,-0.1373629122972488
stairs,train,seq-02,stairs/seq-02/frame-000023.color.png,-0.0571054,-0.8637299999999999,-0.140071,0.9307165,-0.232539,-0.2455524,-0.139271,-0.0798074156045913,-0.8835183382034302,-0.1376168578863144,0.929786205291748,-0.2368707209825515,-0.2462449669837951,-0.1369429379701614
stairs,train,seq-02,stairs/seq-02/frame-000024.color.png,-0.0549825,-0.8632662,-0.1327352,0.9307812,-0.2335492,-0.2445977,-0.1388273,-0.0667514726519584,-0.8779561519622803,-0.1655652821063995,0.9302108883857728,-0.2339302003383636,-0.2473047524690628,-0.1372031420469284
stairs,train,seq-02,stairs/seq-02/frame-000029.color.png,-0.049427,-0.8623155999999998,-0.1045589,0.9296293,-0.2420127,-0.242171,-0.1362806,-0.0352968126535415,-0.8729264736175537,-0.1242068409919738,0.931170642375946,-0.2450222074985504,-0.2345701158046722,-0.1336492449045181
stairs,train,seq-02,stairs/seq-02/frame-000030.color.png,-0.047094,-0.8652537,-0.0977896,0.9295162,-0.2435288,-0.2411412,-0.1361771,-0.0316440276801586,-0.8755863308906555,-0.1046576201915741,0.9323036074638368,-0.2452611178159713,-0.2295918464660644,-0.1339574605226516
stairs,train,seq-02,stairs/seq-02/frame-000033.color.png,-0.0393839,-0.8712466,-0.0746524,0.9297578,-0.2450326,-0.2378545,-0.1376035,-0.0417328290641307,-0.8846279382705688,-0.1048932820558548,0.9315616488456726,-0.2463194578886032,-0.2321594208478927,-0.1327465921640396
stairs,train,seq-02,stairs/seq-02/frame-000034.color.png,-0.0353576,-0.8705181000000001,-0.0678582,0.929889,-0.2439822,-0.237939,-0.1384348,-0.0397378578782081,-0.8861928582191467,-0.1040126830339431,0.932363212108612,-0.2469252049922943,-0.2299764752388,-0.1297600716352462
stairs,train,seq-02,stairs/seq-02/frame-000043.color.png,-0.0187701,-0.8893337,0.004003,0.9318176,-0.236034,-0.2352539,-0.1437339,-0.0412470735609531,-0.8955619931221008,-0.0103872213512659,0.9359828233718872,-0.2394698709249496,-0.219524934887886,-0.1356437355279922
stairs,train,seq-02,stairs/seq-02/frame-000047.color.png,-0.0110992,-0.9037651,0.0414738,0.9358819,-0.2350735,-0.2239528,-0.1367867,-0.0137731377035379,-0.918698787689209,0.0261846557259559,0.937184512615204,-0.2322621941566467,-0.2255811989307403,-0.1298172771930694
stairs,train,seq-02,stairs/seq-02/frame-000049.color.png,-0.0112828,-0.9105537,0.0566795,0.9398383,-0.2314608,-0.215207,-0.1296758,-0.0202874634414911,-0.9313086867332458,0.056175373494625,0.9404138326644896,-0.2327472269535064,-0.2163196504116058,-0.1210636720061302
stairs,train,seq-02,stairs/seq-02/frame-000054.color.png,-0.0076027,-0.923061,0.0824628,0.9433564,-0.2284704,-0.2086229,-0.1198188999999999,-0.0305524040013551,-0.940122663974762,0.0425451807677745,0.942804753780365,-0.2385479360818863,-0.2019616812467575,-0.115868791937828
