scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
stairs,train,seq-06,stairs/seq-06/frame-000396.color.png,-0.9830359,-0.6030901,0.1765898,0.9722983,-0.1444578,0.1773351,0.0481696,-1.0373408794403076,-0.580843448638916,0.190500259399414,0.9685112237930298,-0.1479508727788925,0.1959263831377029,0.0413455292582511
stairs,test,seq-01,stairs/seq-01/frame-000000.color.png,-1.4903377,-0.497378,-0.0546947999999999,0.9665408,-0.1868507,0.1346589,0.112928,-1.06294584274292,-0.7148167490959167,-0.0014888700097799,0.9595069289207458,-0.2015300393104553,0.1914356052875518,0.0456576682627201
stairs,train,seq-03,stairs/seq-03/frame-000499.color.png,0.8410211999999999,-1.1506813,0.0162649,0.8764331,-0.4550075,0.1298118,-0.0893422,0.8407800793647766,-1.1626183986663818,0.0261968988925218,0.8725433349609375,-0.4621285200119018,0.1284050196409225,-0.0928305611014366
stairs,train,seq-05,stairs/seq-05/frame-000201.color.png,-0.0143771,-1.0786818,0.8928417,0.9733335,-0.2276799,0.0267593,-0.0082321,-0.0070652347058057,-1.087819218635559,0.8973702788352966,0.9731299877166748,-0.2287530303001403,0.0262525659054517,0.0009019708377309
stairs,test,seq-04,stairs/seq-04/frame-000187.color.png,0.2216,-1.1207385,0.2220967,0.9204696,-0.1010873,-0.3713989,-0.0676755,0.1095472872257232,-0.8346648812294006,0.1274131089448928,0.9592676162719728,-0.1114799529314041,-0.2414801120758056,-0.0952117294073104
stairs,test,seq-04,stairs/seq-04/frame-000361.color.png,0.1239253999999999,-1.2454811,0.8317044,0.9895279,-0.1426797,-0.011771,0.0183961,-0.023253459483385,-1.035132884979248,0.810588538646698,0.9792100191116332,-0.2019625604152679,0.0162676684558391,0.0097086541354656
stairs,test,seq-04,stairs/seq-04/frame-000286.color.png,-0.0018480999999999,-1.2071588,0.5208558,0.9839634,-0.1723384,0.0366978,0.0277265999999999,-0.1496080160140991,-0.9326592683792114,0.5109537839889526,0.9769936203956604,-0.2089853137731552,0.0371367037296295,0.0207254327833652
stairs,train,seq-06,stairs/seq-06/frame-000171.color.png,-0.0421276,-0.5727686,0.0952415,0.9467324,-0.0410518,-0.2628867,-0.1813923,-0.019263757392764,-0.561526894569397,0.0349277108907699,0.9341532588005066,-0.0284649431705474,-0.3146631717681885,-0.1659353375434875
stairs,train,seq-02,stairs/seq-02/frame-000003.color.png,-0.0640936,-0.8696536,-0.1509957,0.9299507,-0.2450606,-0.2331335,-0.1441731,-0.0365226864814758,-0.8870697617530823,-0.1594626307487487,0.9314528703689576,-0.236082836985588,-0.240073412656784,-0.1379314959049224
stairs,test,seq-04,stairs/seq-04/frame-000014.color.png,-0.2981094,-1.0721174,-0.0872478999999999,0.979679,-0.1618653,0.116806,0.0196206999999999,-0.3622411489486694,-0.7909813523292542,0.2625293433666229,0.9774836301803588,-0.185946837067604,0.0976911485195159,0.0201467536389827
stairs,test,seq-01,stairs/seq-01/frame-000224.color.png,-0.1929111,-0.8315729,0.3708451,0.9761491,-0.1354685,0.1160954,0.1237057,-0.222277745604515,-0.7533170580863953,0.5287778377532959,0.9666645526885986,-0.1557185649871826,0.1858171820640564,0.0823613554239273
stairs,train,seq-03,stairs/seq-03/frame-000418.color.png,0.4833325,-1.1206844,-0.0259354,0.8855064,-0.4404131,0.1414181,-0.0437693,0.5000962018966675,-1.138253927230835,-0.0422951281070709,0.8851483464241028,-0.443547248840332,0.1317304670810699,-0.0492487251758575
stairs,train,seq-03,stairs/seq-03/frame-000137.color.png,-0.1288242,-0.9944661,0.1070692,0.8552656999999999,-0.2956074,0.4215066,0.0588986,-0.1263684779405594,-1.0180824995040894,0.1198920458555221,0.8447897434234619,-0.2983466684818268,0.4395477175712585,0.064166359603405
stairs,train,seq-02,stairs/seq-02/frame-000006.color.png,-0.0626197,-0.8664393,-0.1526249,0.9294465,-0.2444958,-0.2362069,-0.143378,-0.049323845654726,-0.8866531252861023,-0.1467683315277099,0.9310578107833862,-0.2362787872552871,-0.2398529797792434,-0.1406210958957672
stairs,train,seq-02,stairs/seq-02/frame-000428.color.png,0.0968872,-1.0262408,0.8716386999999999,0.9804212,-0.0147018,-0.097582,-0.1703993999999999,0.0973884910345077,-1.0292795896530151,0.8775163292884827,0.9802497029304504,-0.0032729168888181,-0.1070818826556205,-0.1662326902151107
stairs,test,seq-04,stairs/seq-04/frame-000277.color.png,0.0291507,-1.2034254999999998,0.4746121,0.9826191,-0.183202,-0.0066549999999999,0.0291964,-0.18913234770298,-0.8742339015007019,0.4647652804851532,0.9763957262039183,-0.215406909584999,0.0112098678946495,0.0112083619460463
stairs,train,seq-05,stairs/seq-05/frame-000087.color.png,0.2849002,-0.8143132,0.0344275,0.9584856,-0.2512062,-0.1206644,-0.0603397,0.2894424498081207,-0.8253893852233887,0.0423125773668289,0.955707550048828,-0.2606256604194641,-0.1228170096874237,-0.0601111985743045
stairs,train,seq-02,stairs/seq-02/frame-000439.color.png,0.1196158999999999,-1.0380055,0.9306137,0.9771792,-0.0147989,-0.1116693,-0.1800881,0.1102316677570343,-1.046048641204834,0.9483485221862792,0.976996660232544,-0.0067104520276188,-0.1205423697829246,-0.1757899969816208
stairs,train,seq-02,stairs/seq-02/frame-000081.color.png,0.0655835,-0.9642856,0.1870565,0.9473239,-0.207764,-0.2114582,-0.1212309,0.0512418374419212,-0.9843751192092896,0.1854100674390792,0.944379985332489,-0.2199531644582748,-0.2143564224243164,-0.1175514459609985
stairs,train,seq-05,stairs/seq-05/frame-000075.color.png,0.4135867999999999,-0.7980206,-0.0037443,0.9554434000000002,-0.2415703,-0.150673,-0.0779062,0.4225314855575561,-0.7947182655334473,0.0008766781538724,0.9529648423194884,-0.2497163116931915,-0.1532875150442123,-0.0774769037961959
stairs,train,seq-02,stairs/seq-02/frame-000468.color.png,0.2581016,-1.2050103,1.1825313999999998,0.9587471,0.0173597999999999,-0.2199257,-0.1792636,0.2510983049869537,-1.2107224464416504,1.181304693222046,0.9600571990013124,0.0403654128313064,-0.2158862054347992,-0.1733602881431579
stairs,train,seq-06,stairs/seq-06/frame-000279.color.png,-0.1268996,-0.5692531,0.4521147,0.9914656,-0.1050289,-0.0520166,-0.0570889,-0.1016924306750297,-0.560793936252594,0.4186508357524872,0.991325616836548,-0.1085716113448143,-0.0474966391921043,-0.0568320043385028
stairs,test,seq-01,stairs/seq-01/frame-000135.color.png,-0.6150475000000001,-0.6592453,0.1005252,0.9362361,-0.165185,0.2429482999999999,0.1927484,-0.4029037356376648,-0.7683932185173035,0.3295005559921264,0.9120860695838928,-0.1427904814481735,0.3682658672332763,0.109955221414566
stairs,train,seq-02,stairs/seq-02/frame-000266.color.png,0.7956304,-0.8150427,-0.0031438,0.8734185999999999,-0.0523569,-0.4088059,-0.2593771,0.8492570519447327,-0.8478509187698364,-0.0263747628778219,0.86749267578125,-0.0581988096237182,-0.4200091361999511,-0.2601186633110046
stairs,test,seq-01,stairs/seq-01/frame-000193.color.png,-0.3620393,-0.7868550999999999,0.3550078,0.9591262,-0.1644281,0.1744197,0.1503933,-0.3571382761001587,-0.7609920501708984,0.457121878862381,0.946087658405304,-0.1550325900316238,0.2692693173885345,0.0915266498923301
stairs,test,seq-01,stairs/seq-01/frame-000088.color.png,-1.1366409,-0.5478217,-0.0665701,0.8821613000000001,-0.1282861,0.3987810999999999,0.2151922,-1.179905891418457,-0.7128086686134338,-0.0445902124047279,0.8578032851219177,-0.2000674158334732,0.45798459649086,0.1199856698513031
stairs,train,seq-06,stairs/seq-06/frame-000162.color.png,-0.0546505,-0.5778336,0.0564207,0.930675,-0.0191216,-0.3155974,-0.1840562,-0.0509211793541908,-0.5800560712814331,0.0191889833658933,0.9266574382781982,-0.0297477059066295,-0.3279750645160675,-0.181254968047142
stairs,test,seq-04,stairs/seq-04/frame-000123.color.png,0.1261381,-1.1793623,0.3261044,0.9938026,-0.1079933,-0.0262639,0.0020357,-0.1518951058387756,-0.7504253387451172,0.246496319770813,0.9839209318161012,-0.1763598024845123,-0.0224366281181573,-0.0171322338283061
