scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
OldHospital,train,seq1,OldHospital/seq1/frame00249.png,21.833695,0.760592,4.934379,0.123813,0.854341,-0.017357,-0.504451
ShopFacade,train,seq2,ShopFacade/seq2/frame00003.png,-11.538824,-8.112645,1.924713,0.6387189999999999,0.633004,-0.312232,0.306358
KingsCollege,train,seq4,KingsCollege/seq4/frame00183.png,39.206796,-27.7947,2.002536,0.677475,0.632113,0.223207,-0.30272
KingsCollege,train,seq6,KingsCollege/seq6/frame00071.png,60.59562800000001,-27.818163,1.506632,0.644779,0.603622,0.28543,-0.372062
KingsCollege,train,seq6,KingsCollege/seq6/frame00241.png,-38.114066,-15.79418,1.6494529999999998,0.6078399999999999,0.5701,-0.359226,0.420086
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00045.png,-18.475567,0.917355,-7.150086999999999,0.789222,-0.162054,-0.581354,0.113556
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00245.png,-13.81633,0.935479,21.876891,0.512307,-0.085543,-0.84109,0.150977
KingsCollege,train,seq4,KingsCollege/seq4/frame00047.png,85.950986,-33.947246,1.506894,0.6489149999999999,0.6209140000000001,0.263837,-0.351804
OldHospital,train,seq1,OldHospital/seq1/frame00015.png,10.574489,-1.45081,35.687589,0.103882,0.990284,0.013371,0.091476
OldHospital,train,seq5,OldHospital/seq5/frame00049.png,14.43459,-0.454972,21.109513,0.232189,0.972036,0.022071,0.027325
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00136.png,-6.480231,0.960863,46.983459,0.4179020000000001,-0.096271,-0.899028,0.088542
KingsCollege,train,seq4,KingsCollege/seq4/frame00194.png,36.37578900000001,-23.162538,2.196223,0.680089,0.622583,0.225916,-0.314375
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00012.png,-8.972527000000003,0.575178,-17.115607,0.919027,-0.119541,-0.371001,0.058813
OldHospital,train,seq6,OldHospital/seq6/frame00007.png,2.007523,-0.433598,25.274881,0.196909,0.96498,0.008776,0.173099
KingsCollege,train,seq1,KingsCollege/seq1/frame00236.png,45.220897,-33.562381,0.8864209999999999,0.701539,0.6310520000000001,0.210437,-0.255602
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00119.png,38.289107,-1.096498,27.14225,0.4769229999999999,-0.089686,0.8525860000000001,-0.193904
KingsCollege,train,seq4,KingsCollege/seq4/frame00484.png,-42.354732,-13.462049,1.566782,0.612224,0.550834,-0.386211,0.415457
KingsCollege,train,seq1,KingsCollege/seq1/frame00086.png,-1.397027,-15.373197,1.682377,0.702593,0.621211,-0.224501,0.264687
KingsCollege,train,seq5,KingsCollege/seq5/frame00087.png,21.802733,-23.020346,1.703591,0.763053,0.6361760000000001,0.055365,-0.099824
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00293.png,-13.133087,0.648727,2.125495,0.696783,-0.221706,-0.63902,0.238734
ShopFacade,train,seq2,ShopFacade/seq2/frame00095.png,-4.361398,13.328298,1.8176,0.23902,0.193245,-0.675121,0.670624
KingsCollege,train,seq6,KingsCollege/seq6/frame00039.png,76.69332800000002,-38.957821,0.681466,0.67791,0.598058,0.257001,-0.341637
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00342.png,20.334743,-0.590539,-16.234439000000002,0.977779,-0.151594,0.143519,-0.019264
ShopFacade,train,seq2,ShopFacade/seq2/frame00076.png,-5.95478,11.99505,1.729774,0.322634,0.396903,-0.5801310000000001,0.633895
KingsCollege,train,seq6,KingsCollege/seq6/frame00030.png,83.122422,-36.908007,1.365207,0.689188,0.615794,0.200836,-0.324781
KingsCollege,train,seq5,KingsCollege/seq5/frame00083.png,19.161617,-22.388324,1.744637,0.7869689999999999,0.604152,0.074878,-0.100367
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00141.png,35.577274,-1.092163,42.250571,0.282001,-0.027958,0.935016,-0.213168
OldHospital,train,seq9,OldHospital/seq9/frame00095.png,14.7065,-0.88034,27.870087,0.157013,0.986379,-0.007548,-0.048444
OldHospital,train,seq1,OldHospital/seq1/frame00205.png,29.531994,0.42589,17.275292999999998,0.248852,0.925064,-0.05662,-0.28129
KingsCollege,train,seq4,KingsCollege/seq4/frame00418.png,-19.993023,-11.355697,1.772389,0.666995,0.577476,-0.325575,0.34006
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00034.png,36.110163,-1.308894,20.039007,0.7014229999999999,-0.034114,0.711608,-0.021377
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00015.png,21.972506,-0.041646,58.109403,0.328296,0.019473,0.94262,-0.057558
KingsCollege,train,seq1,KingsCollege/seq1/frame00246.png,50.936232,-36.01263,1.609607,0.726697,0.6327729999999999,0.17085,-0.205718
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00280.png,-13.076462,0.6911579999999999,11.143354,0.572299,-0.236501,-0.7386020000000001,0.266472
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00078.png,-5.861638,0.433758,-11.43559,0.8871379999999999,-0.276641,-0.352152,0.111554
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00028.png,36.050719,-1.013289,15.949329999999998,0.713457,-0.059312,0.6963729999999999,-0.05025
OldHospital,train,seq7,OldHospital/seq7/frame00011.png,19.270245000000006,-1.157248,32.545331,0.127017,0.959159,-0.101302,-0.231557
KingsCollege,train,seq4,KingsCollege/seq4/frame00321.png,10.655775,-25.144906,1.945026,0.773828,0.628552,-0.069918,0.034997
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00025.png,35.936912,-1.122134,13.662966,0.696768,-0.04246,0.71519,-0.034843
KingsCollege,train,seq5,KingsCollege/seq5/frame00026.png,-18.960281,-14.12762,1.66277,0.674752,0.5152909999999999,-0.334144,0.409309
KingsCollege,train,seq4,KingsCollege/seq4/frame00362.png,-3.879252,-22.927425,1.634818,0.7549899999999999,0.585683,-0.182562,0.231597
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00261.png,-12.481406,0.88487,24.432459,0.3985800000000001,-0.153309,-0.8636969999999999,0.26769
KingsCollege,train,seq1,KingsCollege/seq1/frame00048.png,-23.361878,-19.2556,1.786485,0.655876,0.603087,-0.261929,0.370818
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00080.png,38.763504,-1.32976,-0.983554,0.678164,-0.173372,0.681351,-0.214002
OldHospital,train,seq7,OldHospital/seq7/frame00037.png,4.876441000000002,-2.606806,38.713177,0.1671349999999999,0.981078,0.003344,0.097671
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00128.png,35.397444,-0.784894,51.804738,0.350524,-0.107824,0.924855,-0.100754
OldHospital,train,seq5,OldHospital/seq5/frame00052.png,13.078064,-0.592968,22.765103,0.214712,0.974738,0.006566,0.061163
KingsCollege,train,seq5,KingsCollege/seq5/frame00084.png,19.764908,-22.596679,1.752638,0.776116,0.618394,0.0549299999999999,-0.110524
KingsCollege,train,seq4,KingsCollege/seq4/frame00172.png,39.10894,-34.828846,1.692476,0.7126560000000001,0.613603,0.215865,-0.262709
OldHospital,train,seq3,OldHospital/seq3/frame00040.png,16.599895,-0.705429,29.352361,0.195671,0.977858,-0.00434,-0.074082
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00009.png,36.032885,-1.129989,2.544555,0.776699,-0.047357,0.625911,-0.052268
