scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
KingsCollege,train,seq8,KingsCollege/seq8/frame00002.png,33.209591,-22.74987,1.436124,0.722427,0.62336,0.167775,-0.247735,33.493797302246094,-22.786657333374023,1.510589361190796,0.721828818321228,0.6231765151023865,0.1697333455085754,-0.2486056685447693
KingsCollege,train,seq8,KingsCollege/seq8/frame00003.png,33.200591,-22.653296,1.462828,0.724023,0.6216659999999999,0.163881,-0.249931,33.50587844848633,-22.758195877075195,1.5281295776367188,0.7232254147529602,0.6214199662208557,0.1653824150562286,-0.2518549561500549
KingsCollege,train,seq8,KingsCollege/seq8/frame00007.png,31.170279,-22.324362,1.622667,0.766569,0.582908,0.138504,-0.2311,31.399566650390625,-22.379663467407227,1.666021466255188,0.7661704421043396,0.5833849906921387,0.1388609558343887,-0.2310029715299606
KingsCollege,train,seq8,KingsCollege/seq8/frame00008.png,30.43578,-22.270689,1.583911,0.7797689999999999,0.582329,0.103285,-0.205391,30.784055709838867,-22.345428466796875,1.6005027294158936,0.7792952060699463,0.5828523635864258,0.1036563962697982,-0.2055172175168991
KingsCollege,train,seq8,KingsCollege/seq8/frame00010.png,29.145427,-22.165855,1.69152,0.800117,0.568469,0.062003,-0.181139,29.482576370239254,-22.225852966308597,1.6706182956695557,0.8001101613044739,0.5684329867362976,0.0616681724786758,-0.1813962012529373
KingsCollege,train,seq8,KingsCollege/seq8/frame00011.png,28.55481,-22.601437,1.674348,0.816734,0.533411,0.083745,-0.20348,28.531232833862305,-22.756101608276367,1.7013700008392334,0.8177894949913025,0.532262921333313,0.0827599763870239,-0.202651098370552
KingsCollege,train,seq8,KingsCollege/seq8/frame00012.png,27.545185,-22.556603,1.910587,0.7701720000000001,0.582782,0.119659,-0.229962,27.815454483032227,-22.63786125183105,1.9555522203445437,0.7692965269088745,0.5831855535507202,0.121553286910057,-0.2308727353811264
KingsCollege,train,seq8,KingsCollege/seq8/frame00015.png,25.450378,-22.302451,1.798709,0.7769020000000001,0.575874,0.1267319999999999,-0.220754,25.622636795043945,-22.27057456970215,1.843934416770935,0.7767511010169983,0.5753785371780396,0.1289108693599701,-0.2213129550218582
KingsCollege,train,seq8,KingsCollege/seq8/frame00016.png,24.761601,-21.844288,1.894519,0.75631,0.605454,0.146819,-0.199662,24.948110580444336,-21.9077091217041,1.9174320697784424,0.7560739517211914,0.6052011251449585,0.1478964537382125,-0.2005252242088318
KingsCollege,train,seq8,KingsCollege/seq8/frame00017.png,24.172555,-21.49329,1.8007,0.758582,0.605929,0.159436,-0.178839,24.368986129760746,-21.533546447753903,1.7779638767242432,0.7584149241447449,0.6052886247634888,0.1612695306539535,-0.1800683289766311
