scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
OldHospital,train,seq9,OldHospital/seq9/frame00003.png,-14.844808,0.197716,13.373710999999998,0.139977,0.839894,0.062822,0.520613,-15.084001541137695,0.0242694895714521,13.054166793823242,0.1415463536977768,0.840087890625,0.0657189860939979,0.5195170044898987
OldHospital,train,seq9,OldHospital/seq9/frame00006.png,-13.864563,-0.259767,14.141141,0.16114,0.871849,0.077046,0.456044,-13.672592163085938,-0.1595985144376754,14.93340015411377,0.1505538374185562,0.8717689514160156,0.0733889639377594,0.4603981971740722
OldHospital,train,seq9,OldHospital/seq9/frame00007.png,-13.494946,-0.069877,14.611868,0.173927,0.8826299999999999,0.091849,0.426941,-12.797626495361328,-0.0767371729016304,15.775390625,0.1733788847923278,0.8804630041122437,0.090362049639225,0.4319249987602234
OldHospital,train,seq9,OldHospital/seq9/frame00009.png,-13.134006,0.380947,16.132162,0.177196,0.884598,0.106723,0.417968,-13.081945419311523,-0.2160940170288086,15.70964241027832,0.1945013850927353,0.8772775530815125,0.1061979085206985,0.4257643222808838
OldHospital,train,seq9,OldHospital/seq9/frame00010.png,-13.001542,-0.643943,17.100811,0.186485,0.875934,0.079066,0.437848,-13.109505653381348,-0.4951926469802856,17.11285400390625,0.178161010146141,0.8678261041641235,0.0753033682703971,0.4576744437217712
OldHospital,train,seq9,OldHospital/seq9/frame00014.png,-12.724161,-0.566894,18.950602,0.188797,0.850799,0.095696,0.480977,-12.977499961853027,-0.5173463821411133,19.323471069335938,0.1825925856828689,0.8510814905166626,0.0945705994963646,0.4830907583236694
OldHospital,train,seq9,OldHospital/seq9/frame00018.png,-12.750779,-0.917825,21.812288,0.176369,0.888727,0.045446,0.420705,-13.077834129333496,-0.9486636519432068,22.05449485778809,0.1796346455812454,0.8881587982177734,0.041904155164957,0.420891135931015
OldHospital,train,seq9,OldHospital/seq9/frame00029.png,-12.798735,-1.653903,29.619792,0.155585,0.8446309999999999,0.066057,0.507965,-11.942477226257324,-1.5140591859817505,30.674182891845703,0.1474030166864395,0.8498777151107788,0.0666410773992538,0.5015369057655334
OldHospital,train,seq9,OldHospital/seq9/frame00030.png,-12.30118,-1.776405,30.015298,0.13939,0.8849229999999999,0.045581,0.442045,-12.66599941253662,-1.511411428451538,30.11355781555176,0.137793630361557,0.8750898838043213,0.0520644560456275,0.4609988629817962
OldHospital,train,seq9,OldHospital/seq9/frame00033.png,-12.074943,-1.40342,31.895694,0.125824,0.883491,0.032214,0.450083,-11.944947242736816,-1.6829077005386353,32.421409606933594,0.1316259950399398,0.8833351731300354,0.0368508473038673,0.448369950056076
OldHospital,train,seq9,OldHospital/seq9/frame00034.png,-11.487082,-2.876343,31.883914,0.140205,0.89915,0.019767,0.414103,-11.502863883972168,-1.735360622406006,32.84854888916016,0.1268830895423889,0.8922408819198608,0.0260101091116666,0.4325858354568481
OldHospital,train,seq9,OldHospital/seq9/frame00036.png,-10.855057,-1.6460849999999998,33.171332,0.127299,0.934685,0.033457,0.330213,-10.888508796691896,-2.3308639526367188,33.07675552368164,0.136802077293396,0.9352434873580932,0.0333209186792373,0.324799120426178
OldHospital,train,seq9,OldHospital/seq9/frame00040.png,-7.908253,-1.747485,34.440088,0.155251,0.936837,0.023609,0.312531,-8.864887237548828,-2.459332227706909,34.56147003173828,0.1501523554325103,0.936116337776184,0.023997938260436,0.3171191811561584
OldHospital,train,seq9,OldHospital/seq9/frame00041.png,-7.618482000000001,-1.656523,35.089071000000004,0.121378,0.936308,0.028439,0.328307,-8.818554878234863,-2.2449731826782227,35.07447052001953,0.1256109923124313,0.9334539771080016,0.0265022031962871,0.3349375128746032
OldHospital,train,seq9,OldHospital/seq9/frame00042.png,-7.209825,-2.145344,35.184793,0.15298,0.930062,0.029134,0.332767,-7.556620121002197,-1.9315906763076784,35.07927322387695,0.1477188915014267,0.9292551279067992,0.0339890830218791,0.3369106650352478
OldHospital,train,seq9,OldHospital/seq9/frame00043.png,-6.962424,-1.623081,35.59288400000001,0.126543,0.934135,0.034089,0.331987,-7.392326354980469,-2.21701979637146,36.31010818481445,0.1323682516813278,0.930894672870636,0.0292116738855838,0.3392055034637451
OldHospital,train,seq9,OldHospital/seq9/frame00045.png,-5.264545,-0.40739,37.77627800000001,0.093219,0.916871,0.01931,0.387666,-5.489940166473389,-2.863118886947632,38.67878341674805,0.1161268129944801,0.9163838028907776,0.019916582852602,0.3825684487819671
OldHospital,train,seq9,OldHospital/seq9/frame00048.png,-5.571425,-2.929407,38.706482,0.129114,0.934129,0.018118,0.332271,-6.347472190856934,-2.3817756175994877,38.932865142822266,0.1161103993654251,0.9296715259552002,0.0141975693404674,0.3493247032165527
OldHospital,train,seq9,OldHospital/seq9/frame00054.png,-5.989963,-3.151027,41.776304,0.122563,0.966017,0.00498,0.227518,-4.555915832519531,-2.84077525138855,41.490665435791016,0.1295603662729263,0.96601665019989,0.0036186885554343,0.2236355245113372
OldHospital,train,seq9,OldHospital/seq9/frame00055.png,-5.170766,-2.122067,42.083651,0.112849,0.965816,-0.0078049999999999,0.233246,-3.886775970458984,-2.808812141418457,41.63115692138672,0.1266451925039291,0.9641676545143129,-0.0096970852464437,0.2329113930463791
OldHospital,train,seq9,OldHospital/seq9/frame00056.png,-4.395589,-3.290119,42.094263,0.115966,0.969173,-0.007531,0.217252,-4.167033672332764,-3.024587392807007,42.03117370605469,0.1182257309556007,0.9690592885017396,-0.0052506527863442,0.2166083604097366
OldHospital,train,seq9,OldHospital/seq9/frame00062.png,-1.701889,-2.976713,39.559225,0.136871,0.960425,-0.022446,0.241551,-2.1901872158050537,-2.874476909637451,39.88917541503906,0.1326335221529007,0.9622823596000672,-0.0195294599980115,0.2367266118526458
OldHospital,train,seq9,OldHospital/seq9/frame00063.png,-1.977658,-2.375253,38.893512,0.149058,0.962573,-0.00246,0.226339,-1.6806187629699707,-2.591299295425415,39.56568145751953,0.1416405588388443,0.963654398918152,-0.0073296148329973,0.2263945937156677
OldHospital,train,seq9,OldHospital/seq9/frame00069.png,1.545811,-2.389773,36.722866,0.140203,0.964611,-0.0008089999999999,0.223312,1.2420307397842407,-1.7397713661193848,37.418434143066406,0.1353075802326202,0.9670557975769044,0.0026085171848535,0.2156112790107727
OldHospital,train,seq9,OldHospital/seq9/frame00082.png,9.782076,-1.684433,34.551347,0.1257579999999999,0.986369,0.009345,0.105702,10.874380111694336,-1.8022358417510984,34.94194793701172,0.1315037906169891,0.9840379357337952,0.0049860328435897,0.1197969242930412
OldHospital,train,seq9,OldHospital/seq9/frame00084.png,11.076877,-1.6649509999999998,34.025069,0.109915,0.989163,-0.000583,0.097344,12.354880332946776,-1.6892672777175903,34.680763244628906,0.1094378679990768,0.991075873374939,-0.0085998196154832,0.0756181329488754
OldHospital,train,seq9,OldHospital/seq9/frame00085.png,11.770392,-1.573918,33.821519,0.106407,0.990266,0.007811,0.0893809999999999,12.948606491088867,-1.498969793319702,33.98954391479492,0.1091294437646865,0.9896136522293092,0.0080639934167265,0.0932231321930885
OldHospital,train,seq9,OldHospital/seq9/frame00087.png,12.770581,-1.62145,32.823558,0.126224,0.988802,0.023877,0.07595,12.676986694335938,-1.5968971252441406,33.6819953918457,0.1114332973957061,0.990312397480011,0.0176535937935113,0.0809465274214744
OldHospital,train,seq9,OldHospital/seq9/frame00088.png,12.280502,-1.584624,31.768747,0.142631,0.986131,0.015506,0.083441,12.711833000183104,-1.2530221939086914,32.27579498291016,0.1284304112195968,0.9892371892929076,0.0086438348516821,0.0695751681923866
OldHospital,train,seq9,OldHospital/seq9/frame00094.png,14.317018,-1.207121,28.436219,0.149057,0.988537,-0.002805,-0.023841,14.842458724975586,-1.1013087034225464,28.91770362854004,0.1496534645557403,0.9883852601051332,-0.0062700845301151,-0.025672547519207
OldHospital,train,seq9,OldHospital/seq9/frame00096.png,15.076815,-0.70319,26.95274,0.138503,0.988274,-0.008678,-0.063687,14.972068786621094,-0.8433663845062256,26.97541046142578,0.1455910056829452,0.985803246498108,-0.0124914022162556,-0.0826992094516754
OldHospital,train,seq9,OldHospital/seq9/frame00100.png,16.395406,-0.8669030000000001,24.318228,0.201469,0.97743,0.010419,-0.062702,16.108131408691406,-0.9328694939613342,24.674680709838867,0.200011745095253,0.9773843288421632,0.0077118198387324,-0.0682328045368194
OldHospital,train,seq9,OldHospital/seq9/frame00104.png,16.5764,-0.7661180000000001,22.093348,0.239526,0.96711,-0.004534,-0.085466,16.670568466186523,-0.7350934147834778,22.697221755981445,0.2404349148273468,0.9669846296310424,-0.0053015849553048,-0.0842835530638694
OldHospital,train,seq9,OldHospital/seq9/frame00110.png,18.183756,-0.265849,18.356252,0.224961,0.967704,0.000576,-0.113756,18.02717399597168,-0.4605157375335693,18.12755012512207,0.2301095575094223,0.965587079524994,-7.333008397836238e-05,-0.1212074235081672
OldHospital,train,seq9,OldHospital/seq9/frame00112.png,18.921151,-0.4245600000000001,17.268535,0.207331,0.962717,-0.006093,-0.173646,18.761064529418945,-0.1616287231445312,17.52911376953125,0.2105223983526229,0.9625040292739868,-0.0054430901072919,-0.170987531542778
OldHospital,train,seq9,OldHospital/seq9/frame00118.png,20.687922,0.064419,13.184101,0.221868,0.95836,-0.029371,-0.177364,20.96162223815918,0.0801665633916854,13.55007266998291,0.2455333173274994,0.9556750059127808,-0.0316441729664802,-0.1593654751777649
OldHospital,train,seq9,OldHospital/seq9/frame00119.png,21.185075,0.252033,12.613462,0.257933,0.95193,0.002181,-0.165213,21.10604858398437,-0.0848900377750396,14.002273559570312,0.251670777797699,0.950813353061676,-0.0085264900699257,-0.180397167801857
OldHospital,train,seq9,OldHospital/seq9/frame00120.png,21.45349,0.223128,12.072286,0.276317,0.949372,-0.003118,-0.149436,20.862428665161133,0.1642225831747055,12.038304328918455,0.265935868024826,0.9521605372428894,-0.0062653562054038,-0.1504298597574234
OldHospital,train,seq7,OldHospital/seq7/frame00010.png,19.865158,-1.087484,32.429644,0.144076,0.968488,-0.081674,-0.186016,20.23056983947754,-1.0780450105667114,32.36676788330078,0.1416159570217132,0.9689044952392578,-0.0873914211988449,-0.1831169128417968
OldHospital,train,seq7,OldHospital/seq7/frame00012.png,19.147913,-1.2018799999999998,32.596443,0.164327,0.971323,-0.069758,-0.157039,19.830734252929688,-1.000747799873352,32.0582275390625,0.1624933034181594,0.9714969396591188,-0.0760263353586196,-0.1549505442380905
OldHospital,train,seq7,OldHospital/seq7/frame00018.png,14.244359,-1.555955,34.704719,0.188279,0.980761,-0.013681,-0.049722,15.043607711791992,-1.436869978904724,35.22591018676758,0.1907742321491241,0.9805483222007751,-0.0205692406743764,-0.0413173474371433
OldHospital,train,seq7,OldHospital/seq7/frame00022.png,10.665312,-3.020267,34.385085,0.187337,0.981696,-0.02881,-0.018665,13.805603981018066,-1.688790202140808,35.41453552246094,0.1670116484165191,0.9839178919792176,-0.0246186964213848,-0.0583649687469005
OldHospital,train,seq7,OldHospital/seq7/frame00023.png,12.309415,-1.874142,35.988912,0.173626,0.984459,0.009067,-0.024737,13.409740447998049,-1.7741351127624512,35.24982452392578,0.1781099140644073,0.9839488863945008,0.0042540254071354,-0.0101713938638567
OldHospital,train,seq7,OldHospital/seq7/frame00024.png,11.23861,-2.118872,36.073434000000006,0.195271,0.980165,-0.007303,-0.033041,16.19152069091797,-1.2206473350524902,34.518985748291016,0.2029165625572204,0.9763917922973632,-0.0024455494713038,-0.0740135833621025
OldHospital,train,seq7,OldHospital/seq7/frame00026.png,8.656972999999999,-1.273411,36.804469,0.182052,0.98235,-0.026469,-0.033845,11.25577449798584,-2.000285148620605,36.10316848754883,0.1843040138483047,0.9788181185722352,-0.0203124023973941,-0.0868010744452476
OldHospital,train,seq7,OldHospital/seq7/frame00027.png,8.982161999999997,-2.524397,36.286915,0.211902,0.976809,-0.02158,-0.021801,15.133182525634766,-1.907440423965454,36.366355895996094,0.2071075141429901,0.9777851104736328,-0.0186765100806951,-0.026343623176217
OldHospital,train,seq7,OldHospital/seq7/frame00028.png,9.094026,-2.648152,36.457658,0.209162,0.976775,-0.027951,0.03715,10.076382637023926,-1.9082530736923216,36.58823394775391,0.1990438848733902,0.9799007773399352,-0.0127427065744996,-0.0036949587520211
OldHospital,train,seq7,OldHospital/seq7/frame00029.png,8.109103,-3.048041,35.888424,0.219581,0.975041,-0.019708,0.02629,7.67573356628418,-1.855680227279663,35.93898391723633,0.1980064064264297,0.9800822138786316,-0.0089711993932724,-0.0123221995308995
OldHospital,train,seq7,OldHospital/seq7/frame00031.png,7.237736999999999,-2.809714,36.326991,0.213745,0.975645,-0.012344,0.047722,6.470926761627197,-1.907290816307068,37.42097091674805,0.1926252543926239,0.9811421632766724,-0.0027822037227451,0.0157449562102556
OldHospital,train,seq7,OldHospital/seq7/frame00036.png,2.5013,-1.136133,39.019861,0.132563,0.988065,-0.005764,0.078239,3.567323923110962,-1.941774845123291,38.26194381713867,0.1541981101036071,0.9846372604370116,-0.010133990086615,0.0813004672527313
OldHospital,train,seq7,OldHospital/seq7/frame00039.png,4.469203,-2.432464,39.735589,0.198297,0.976426,-0.024393,0.081706,5.123384475708008,-2.266483783721924,39.16500473022461,0.1960973292589187,0.97904634475708,-0.0197206009179353,0.0512370020151138
OldHospital,train,seq7,OldHospital/seq7/frame00041.png,6.543965,-2.624136,38.712438,0.215535,0.975667,0.001968,-0.040181,7.228920459747314,-3.1583733558654785,39.48497009277344,0.2123486995697021,0.9763486981391908,0.0065630148164927,-0.0401003323495388
OldHospital,train,seq7,OldHospital/seq7/frame00042.png,7.092441,-2.306263,39.348688,0.206611,0.976588,0.004184,-0.059754,6.865559577941895,-3.102278709411621,39.457275390625,0.2191092073917389,0.973668098449707,0.0055484366603195,-0.0626966133713722
OldHospital,train,seq7,OldHospital/seq7/frame00047.png,10.908645,-2.260293,39.028357,0.248398,0.968006,0.01269,-0.0332089999999999,11.593989372253418,-1.902012586593628,39.90730667114258,0.2494604736566543,0.9669129848480223,0.0121285077184438,-0.0519754365086555
OldHospital,train,seq7,OldHospital/seq7/frame00054.png,15.577491,-2.340501,38.954279,0.249272,0.962998,0.00533,-0.102322,16.634418487548828,-2.32309889793396,38.55604553222656,0.2375335395336151,0.9659846425056458,0.0045266947709023,-0.1021324470639228
OldHospital,train,seq7,OldHospital/seq7/frame00056.png,17.629175,-1.77591,38.014361,0.234181,0.968182,-0.000105,-0.0882169999999999,18.849050521850582,-1.7788152694702148,38.40153884887695,0.226130336523056,0.9694880247116088,-0.002234746934846,-0.0946207717061042
OldHospital,train,seq7,OldHospital/seq7/frame00057.png,18.378214,-1.884861,38.387895,0.219521,0.97064,-0.003893,-0.098251,19.179481506347656,-1.914758563041687,38.03396224975586,0.222970113158226,0.9703245162963868,-0.0062571624293923,-0.093356654047966
