scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000004.color.png,-0.1763059,-0.4251224,-0.3044553,0.989643,-0.0575093,-0.1310196,0.0115426,-0.15187759697437286,-0.5129795670509338,-0.4630316495895386,0.9874025583267212,-0.06115281581878662,-0.14563412964344025,0.009337377734482288
pumpkin,train,seq-02,pumpkin/seq-02/frame-000005.color.png,-0.1732432,-0.4304124,-0.3089561,0.9896558,-0.0562401999999999,-0.1311113,0.0151064,-0.1668107956647873,-0.4991459846496582,-0.5201044082641602,0.9855072498321533,-0.061150770634412766,-0.1569279581308365,0.020240899175405502
pumpkin,train,seq-02,pumpkin/seq-02/frame-000006.color.png,-0.1768462,-0.431097,-0.3210818,0.9900593,-0.0486676,-0.1290354,0.0276372,-0.2017701268196106,-0.4863221049308777,-0.5901714563369751,0.9859583973884583,-0.05700694024562836,-0.15497304499149323,0.02489355020225048
pumpkin,train,seq-02,pumpkin/seq-02/frame-000007.color.png,-0.1741264,-0.4253405,-0.323491,0.9896276,-0.0420733,-0.1339208999999999,0.0305333,-0.20723719894886017,-0.4984790086746216,-0.5608371496200562,0.9850047826766968,-0.04907693713903427,-0.16048601269721985,0.040017858147621155
pumpkin,train,seq-02,pumpkin/seq-02/frame-000010.color.png,-0.1660997,-0.4358304,-0.3392707,0.9892282,-0.0391313,-0.1383211,0.0276313,-0.18451769649982452,-0.5158677101135254,-0.4661267399787903,0.9838475584983826,-0.04779461398720741,-0.17041601240634918,0.026794545352458954
pumpkin,train,seq-02,pumpkin/seq-02/frame-000011.color.png,-0.1642152,-0.4324102,-0.3423726,0.9892529,-0.0357701,-0.1391188,0.0272995,-0.23280949890613556,-0.4768533706665039,-0.43765825033187866,0.9864627718925476,-0.035667821764945984,-0.15684252977371216,0.03192837908864021
pumpkin,train,seq-02,pumpkin/seq-02/frame-000012.color.png,-0.1648998,-0.4529432,-0.350988,0.988591,-0.0391245,-0.1427412,0.0279643,-0.1715560406446457,-0.5293388366699219,-0.535601019859314,0.9851312041282654,-0.04170931130647659,-0.16383327543735504,0.03058374673128128
pumpkin,train,seq-02,pumpkin/seq-02/frame-000015.color.png,-0.1518412,-0.4490319,-0.356666,0.9864569,-0.0230266,-0.1593581,0.0312645,-0.2769221067428589,-0.5285884141921997,-0.5609294176101685,0.9853232502937317,-0.026585718616843224,-0.1652374565601349,0.03358352556824684
pumpkin,train,seq-02,pumpkin/seq-02/frame-000017.color.png,-0.1578207999999999,-0.4747405,-0.3729277,0.9878296999999998,-0.0241312,-0.1517533999999999,0.0241037,-0.295757919549942,-0.5179187059402466,-0.4995691776275635,0.9868136644363403,-0.0339956060051918,-0.1568261981010437,0.021182004362344742
pumpkin,train,seq-02,pumpkin/seq-02/frame-000018.color.png,-0.1572044,-0.4743777,-0.3724706,0.9873315,-0.0218884,-0.1544743999999999,0.0288968,-0.29433783888816833,-0.5260093212127686,-0.5191946029663086,0.9864627122879028,-0.030454926192760468,-0.15510620176792145,0.043656956404447556
pumpkin,train,seq-02,pumpkin/seq-02/frame-000025.color.png,-0.1812694,-0.5346251999999999,-0.372873,0.9868369,-0.0544023,-0.1469785,0.0398818,-0.22486090660095215,-0.550888180732727,-0.5464171171188354,0.9836552739143372,-0.038299281150102615,-0.17061741650104523,0.04295649379491806
pumpkin,train,seq-02,pumpkin/seq-02/frame-000028.color.png,-0.1554871,-0.5613371,-0.3276671,0.9648053,-0.0703922,-0.2264345,0.1136794,-0.15346866846084595,-0.5276055335998535,-0.44472789764404297,0.962952196598053,-0.05442547798156738,-0.23107658326625824,0.12792398035526276
pumpkin,train,seq-02,pumpkin/seq-02/frame-000029.color.png,-0.170741,-0.5684587,-0.329796,0.9726208,-0.0667953,-0.2069768,0.0819013999999999,-0.18578599393367767,-0.5201281905174255,-0.4915512204170227,0.9665306806564331,-0.05141761153936386,-0.2226281613111496,0.11666760593652725
pumpkin,train,seq-02,pumpkin/seq-02/frame-000030.color.png,-0.1864006,-0.5708757,-0.3307479,0.9753429,-0.067419,-0.1977076,0.0712217,-0.13857679069042206,-0.5439903736114502,-0.5286208987236023,0.9692237377166748,-0.06606196612119675,-0.2168748378753662,0.09595079720020294
pumpkin,train,seq-02,pumpkin/seq-02/frame-000032.color.png,-0.1942869,-0.5988971,-0.3170771,0.9719461,-0.0787359,-0.2103769,0.0697352,-0.24712122976779938,-0.570407509803772,-0.5003708600997925,0.9714951515197754,-0.0627702996134758,-0.21224281191825867,0.0849120244383812
pumpkin,train,seq-02,pumpkin/seq-02/frame-000034.color.png,-0.1995268,-0.6126106,-0.3062697,0.9703999,-0.083075,-0.2168297,0.0663891,-0.18261007964611053,-0.6296512484550476,-0.5250384211540222,0.9722752571105957,-0.06897027045488358,-0.21159063279628754,0.07178683578968048
pumpkin,train,seq-02,pumpkin/seq-02/frame-000035.color.png,-0.2063252,-0.6251686,-0.3036857,0.9713626,-0.0848081,-0.2135709,0.0604129,-0.16705642640590668,-0.6469337940216064,-0.5054791569709778,0.9711666703224182,-0.06632966548204422,-0.21744000911712646,0.07180123031139374
pumpkin,train,seq-02,pumpkin/seq-02/frame-000037.color.png,-0.2173687,-0.641828,-0.2977856,0.9695593,-0.079122,-0.2237395,0.0602913,-0.2219403237104416,-0.5898643732070923,-0.6120427250862122,0.9712284207344055,-0.06037282571196556,-0.21355725824832916,0.08639330416917801
pumpkin,train,seq-02,pumpkin/seq-02/frame-000039.color.png,-0.2200939,-0.6623452,-0.2930073,0.9702632,-0.0793886999999999,-0.223723,0.0472743,-0.1709955334663391,-0.6368521451950073,-0.5581908226013184,0.9722263216972351,-0.06276810169219971,-0.21655519306659698,0.06276819854974747
pumpkin,train,seq-02,pumpkin/seq-02/frame-000041.color.png,-0.2349231,-0.6613187,-0.2836077,0.9708203,-0.0912639,-0.2195866,0.0309924,-0.18801085650920868,-0.7100782990455627,-0.651779294013977,0.9751521944999695,-0.09363161772489548,-0.19619418680667877,0.04265068843960762
pumpkin,train,seq-02,pumpkin/seq-02/frame-000042.color.png,-0.2430814,-0.683081,-0.2877161,0.9718124,-0.098796,-0.213077,0.0204505,-0.24784943461418152,-0.7068989872932434,-0.4981679916381836,0.9761743545532227,-0.09513288736343384,-0.19013230502605438,0.043394505977630615
pumpkin,train,seq-02,pumpkin/seq-02/frame-000043.color.png,-0.2572041,-0.6904140999999999,-0.292794,0.9745212,-0.0990987,-0.2011794,0.0038451,-0.3184734582901001,-0.7557118535041809,-0.598000705242157,0.9789875745773315,-0.10237468034029007,-0.1751796007156372,0.02036888338625431
pumpkin,train,seq-02,pumpkin/seq-02/frame-000044.color.png,-0.2639645,-0.7048559,-0.2950183,0.9752506,-0.10013,-0.1970795,-0.0044578999999999,-0.34106409549713135,-0.8016930818557739,-0.5812233686447144,0.977809727191925,-0.10151220113039017,-0.18295691907405853,0.010498207062482834
pumpkin,train,seq-02,pumpkin/seq-02/frame-000049.color.png,-0.2994319,-0.7434089,-0.3098973,0.9803346,-0.0971676,-0.1658066,-0.0448418,-0.3213600218296051,-0.9856460094451904,-0.6940833330154419,0.978822648525238,-0.11057743430137634,-0.16760346293449402,-0.039849210530519485
pumpkin,train,seq-02,pumpkin/seq-02/frame-000055.color.png,-0.3082865,-0.793121,-0.3177571,0.9753232,-0.1385294,-0.1673937,-0.0391618,-0.2462993711233139,-0.9790091514587402,-0.6731727123260498,0.9751197099685669,-0.14386413991451263,-0.16571936011314392,-0.031332045793533325
pumpkin,train,seq-02,pumpkin/seq-02/frame-000057.color.png,-0.3125257,-0.8080759,-0.3275778,0.9752684,-0.1474741,-0.1578453,-0.0467739,-0.2838820815086365,-1.0699892044067383,-0.6441194415092468,0.9727334976196289,-0.1582270711660385,-0.16355669498443604,-0.044755276292562485
pumpkin,train,seq-02,pumpkin/seq-02/frame-000058.color.png,-0.312326,-0.8214197,-0.330093,0.9743748,-0.1534527,-0.1574634,-0.0474483,-0.31800326704978943,-1.0612032413482666,-0.6312546730041504,0.9742470383644104,-0.15313729643821716,-0.1603565514087677,-0.04095582664012909
pumpkin,train,seq-02,pumpkin/seq-02/frame-000064.color.png,-0.3016829,-0.8838739,-0.3711493,0.9740421,-0.1677203,-0.1432936,-0.0507816,-0.34802040457725525,-1.0614356994628906,-0.54813152551651,0.9751198291778564,-0.16400107741355896,-0.14277644455432892,-0.04312710091471672
pumpkin,train,seq-02,pumpkin/seq-02/frame-000067.color.png,-0.2851054,-0.9274839,-0.3925596,0.9765832,-0.1535466,-0.1430849,-0.0472805,-0.286188542842865,-1.028835654258728,-0.6017225980758667,0.9749120473861694,-0.149544358253479,-0.1577812135219574,-0.04783318191766739
pumpkin,train,seq-02,pumpkin/seq-02/frame-000068.color.png,-0.2808394,-0.9120094,-0.4028626,0.9784947,-0.1433437,-0.1393109,-0.0509229,-0.35527122020721436,-1.109544038772583,-0.6061865091323853,0.975477933883667,-0.14848999679088593,-0.1547785997390747,-0.04936721548438072
pumpkin,train,seq-02,pumpkin/seq-02/frame-000071.color.png,-0.2720344,-0.9218022,-0.4260502000000001,0.9817523,-0.130395,-0.1290442,-0.0500719,-0.3204103708267212,-1.1233363151550293,-0.6556841135025024,0.9787672758102417,-0.14935363829135895,-0.13120998442173004,-0.04992079734802246
pumpkin,train,seq-02,pumpkin/seq-02/frame-000081.color.png,-0.3029105,-0.9812392,-0.4643044,0.9879678,-0.1178223,-0.0819583,-0.0576228,-0.42107245326042175,-1.1337864398956299,-0.6507967710494995,0.9831098318099976,-0.14356879889965057,-0.09378570318222046,-0.06393185257911682
pumpkin,train,seq-02,pumpkin/seq-02/frame-000087.color.png,-0.3006108,-1.0014125,-0.4907849,0.9892491,-0.109788,-0.0765962,-0.058871,-0.3957376778125763,-1.1445848941802979,-0.6836339235305786,0.9861976504325867,-0.1300291121006012,-0.08133706450462341,-0.06237747520208359
pumpkin,train,seq-02,pumpkin/seq-02/frame-000088.color.png,-0.293377,-1.0001779,-0.4950227,0.9895951,-0.1040158,-0.0777789,-0.0619081,-0.4312879741191864,-1.098985195159912,-0.6082332134246826,0.9857708215713501,-0.12800775468349457,-0.0874071791768074,-0.06503766775131226
pumpkin,train,seq-02,pumpkin/seq-02/frame-000089.color.png,-0.2958442,-1.0011456,-0.4995268,0.9892778,-0.1047234,-0.077262,-0.0662798,-0.4102749526500702,-1.1250349283218384,-0.6765750050544739,0.9856897592544556,-0.12751515209674835,-0.08775497227907181,-0.06674280762672424
pumpkin,train,seq-02,pumpkin/seq-02/frame-000094.color.png,-0.2553748,-1.0056788,-0.5155711,0.985438,-0.1001988,-0.109357,-0.0831452,-0.39094510674476624,-1.1595425605773926,-0.7410198450088501,0.985733151435852,-0.12614412605762482,-0.08750320971012115,-0.06900007277727127
pumpkin,train,seq-02,pumpkin/seq-02/frame-000096.color.png,-0.2483183,-1.0041606,-0.529125,0.9844198,-0.097675,-0.1097984,-0.0965477,-0.31980156898498535,-1.1466362476348877,-0.7997710704803467,0.984175980091095,-0.11393462866544724,-0.10177556425333023,-0.08976755291223526
pumpkin,train,seq-02,pumpkin/seq-02/frame-000106.color.png,-0.1173883,-0.9676571,-0.6417489000000001,0.9847382,-0.0540288,-0.1222019,-0.1115269,-0.11416267603635788,-1.1332930326461792,-0.9285883903503418,0.9852743148803711,-0.06551311910152435,-0.11131638288497925,-0.11203134059906006
pumpkin,train,seq-02,pumpkin/seq-02/frame-000116.color.png,0.0073942999999999,-0.9421108,-0.7377319999999999,0.9867802,-0.0129748,-0.1292193999999999,-0.0969478,-0.06989996880292892,-1.0002294778823853,-0.9089035987854004,0.9877544045448303,-0.03404529020190239,-0.11809030175209045,-0.09610861539840698
pumpkin,train,seq-02,pumpkin/seq-02/frame-000118.color.png,0.018476,-0.9440771,-0.7480741,0.9880181,-0.0088768999999999,-0.1224855,-0.0934812,0.03444886952638626,-1.0007964372634888,-0.9369164705276489,0.9867766499519348,-0.032232850790023804,-0.12764257192611694,-0.0945534035563469
pumpkin,train,seq-02,pumpkin/seq-02/frame-000119.color.png,0.0220064,-0.9323945,-0.7521443,0.9889973,-0.0066268,-0.1147203,-0.0931646,-0.027422096580266953,-1.0007152557373047,-0.8842335939407349,0.9907534718513489,-0.030711831524968147,-0.09957876801490784,-0.08688201755285263
pumpkin,train,seq-02,pumpkin/seq-02/frame-000120.color.png,0.0313763,-0.9315178,-0.7525305,0.9888652,-0.0078824,-0.1182876,-0.0899534,0.04013848304748535,-1.0111972093582153,-0.8861075639724731,0.9896847605705261,-0.03502057492733002,-0.11103223264217377,-0.0834837406873703
pumpkin,train,seq-02,pumpkin/seq-02/frame-000121.color.png,0.0546811,-0.9314335,-0.7502723000000001,0.9880582,-0.0089276,-0.1265116,-0.0874993999999999,0.036973632872104645,-1.02461576461792,-0.8777642846107483,0.988371729850769,-0.04249105602502823,-0.11674260348081589,-0.08767566829919815
pumpkin,train,seq-02,pumpkin/seq-02/frame-000123.color.png,0.075257,-0.9255447,-0.7486729999999999,0.9879191,-0.0117038,-0.1277621,-0.0869231999999999,-0.059592097997665405,-0.9973101019859314,-0.8529442548751831,0.9890082478523254,-0.03930686414241791,-0.11540035158395767,-0.08366800099611282
