scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
stairs,train,seq-02,stairs/seq-02/frame-000001.color.png,-0.0627091999999999,-0.8726276,-0.1487956,0.9299787,-0.2461187,-0.232474,-0.1432516,-0.04515884071588516,-0.9974939823150635,-0.17768573760986328,0.9291354417800903,-0.2483162134885788,-0.23692123591899872,-0.13753065466880798
stairs,train,seq-02,stairs/seq-02/frame-000003.color.png,-0.0640936,-0.8696536,-0.1509957,0.9299507,-0.2450606,-0.2331335,-0.1441731,-0.05831162631511688,-1.0077637434005737,-0.2026994228363037,0.9288741946220398,-0.24870550632476807,-0.2368859201669693,-0.1386481672525406
stairs,train,seq-02,stairs/seq-02/frame-000004.color.png,-0.062216,-0.8687925999999999,-0.1505104,0.9301032,-0.2443485,-0.2334006,-0.1439654,-0.054959461092948914,-1.0211836099624634,-0.19375252723693848,0.9289515614509583,-0.2476298063993454,-0.23860058188438416,-0.13710620999336243
stairs,train,seq-02,stairs/seq-02/frame-000006.color.png,-0.0626197,-0.8664393,-0.1526249,0.9294465,-0.2444958,-0.2362069,-0.143378,-0.036357223987579346,-0.9900520443916321,-0.18897360563278198,0.9286841154098511,-0.24810533225536346,-0.2384033352136612,-0.13839571177959442
stairs,train,seq-02,stairs/seq-02/frame-000007.color.png,-0.0619529,-0.8650171999999998,-0.1520469,0.9289516,-0.2443626,-0.2385499,-0.142933,-0.04120617359876633,-1.0149571895599365,-0.1778932809829712,0.9265394806861877,-0.24704499542713165,-0.24508991837501526,-0.14291386306285858
stairs,train,seq-02,stairs/seq-02/frame-000010.color.png,-0.0606654,-0.8637745000000001,-0.153017,0.9289773,-0.2432324,-0.239429,-0.1432235,-0.023219188675284386,-0.997236430644989,-0.1918172538280487,0.9275185465812683,-0.24634000658988953,-0.24313423037528992,-0.14110875129699707
stairs,train,seq-02,stairs/seq-02/frame-000011.color.png,-0.0604072,-0.8636417,-0.1526422,0.9286644,-0.2432185,-0.2405512,-0.1433957,-0.03618817776441574,-0.9931195974349976,-0.20611310005187988,0.9264982342720032,-0.2477043718099594,-0.24475686252117157,-0.14260999858379364
stairs,train,seq-02,stairs/seq-02/frame-000014.color.png,-0.057704,-0.8657674999999999,-0.150973,0.9290709,-0.2418988,-0.2404969,-0.1430852,-0.038029253482818604,-0.9930984973907471,-0.17843562364578247,0.9267638325691223,-0.2486649602651596,-0.24260510504245758,-0.1428888887166977
stairs,train,seq-02,stairs/seq-02/frame-000015.color.png,-0.0593221,-0.8653772,-0.1525597,0.9295555,-0.2397928,-0.2409362,-0.1427435,-0.05606986582279205,-0.9853348135948181,-0.1669013798236847,0.9256678223609924,-0.2456405907869339,-0.2478974610567093,-0.14610469341278076
stairs,train,seq-02,stairs/seq-02/frame-000017.color.png,-0.05869,-0.8669431999999999,-0.1495112,0.929835,-0.2393292,-0.2406837,-0.1421259,-0.06601707637310028,-0.9840177893638611,-0.18020334839820862,0.9251130223274231,-0.24884167313575745,-0.24682439863681793,-0.14601878821849823
stairs,train,seq-02,stairs/seq-02/frame-000018.color.png,-0.0646756,-0.8651519,-0.1548254,0.9309147,-0.2379984,-0.2387261,-0.1405862999999999,-0.0721053034067154,-1.0116819143295288,-0.1702001690864563,0.9247811436653137,-0.24668128788471222,-0.2501562535762787,-0.14611680805683136
stairs,train,seq-02,stairs/seq-02/frame-000019.color.png,-0.0571784,-0.8650370000000001,-0.1483139,0.9298607,-0.2368509,-0.2437243,-0.1409227,-0.07477659732103348,-1.0124961137771606,-0.1820375919342041,0.9240269660949707,-0.2462332397699356,-0.2538241147994995,-0.14531609416007996
stairs,train,seq-02,stairs/seq-02/frame-000021.color.png,-0.0563237,-0.8664396000000001,-0.1426967999999999,0.9305297,-0.2336824,-0.2449034,-0.1397477,-0.07393171638250351,-1.012910008430481,-0.18804627656936646,0.9258133172988892,-0.24282468855381012,-0.2504000961780548,-0.1456216722726822
stairs,train,seq-02,stairs/seq-02/frame-000027.color.png,-0.0516148,-0.8623042,-0.1195126,0.929971,-0.2367504,-0.2454358,-0.1373477,-0.07121528685092926,-1.0368328094482422,-0.15560173988342285,0.9249511957168579,-0.249209463596344,-0.24672485888004303,-0.14658349752426147
stairs,train,seq-02,stairs/seq-02/frame-000028.color.png,-0.0513761,-0.8626553,-0.1104812,0.9298483,-0.2405382,-0.242901,-0.136098,-0.051247403025627136,-1.0322002172470093,-0.18020886182785034,0.9272176027297974,-0.25128138065338135,-0.24075080454349518,-0.13843458890914917
stairs,train,seq-02,stairs/seq-02/frame-000029.color.png,-0.049427,-0.8623155999999998,-0.1045589,0.9296293,-0.2420127,-0.242171,-0.1362806,-0.04795422405004501,-1.0378056764602661,-0.19711920619010925,0.9283087253570557,-0.24803192913532257,-0.2398231476545334,-0.13859303295612335
stairs,train,seq-02,stairs/seq-02/frame-000030.color.png,-0.047094,-0.8652537,-0.0977896,0.9295162,-0.2435288,-0.2411412,-0.1361771,-0.030893880873918533,-1.0439735651016235,-0.1521437168121338,0.9278083443641663,-0.2519572079181671,-0.237354576587677,-0.13911138474941254
stairs,train,seq-02,stairs/seq-02/frame-000031.color.png,-0.0440344,-0.8655560999999999,-0.0910525,0.9296603,-0.2436566,-0.2401587,-0.1367001,-0.0342586413025856,-1.032599925994873,-0.15365824103355408,0.9282863140106201,-0.25387173891067505,-0.2363538146018982,-0.13405448198318481
stairs,train,seq-02,stairs/seq-02/frame-000034.color.png,-0.0353576,-0.8705181000000001,-0.0678582,0.929889,-0.2439822,-0.237939,-0.1384348,-0.028427457436919212,-1.0300350189208984,-0.15023094415664673,0.9304322004318237,-0.25021234154701233,-0.23300336301326752,-0.13190585374832153
stairs,train,seq-02,stairs/seq-02/frame-000035.color.png,-0.0386961,-0.8733583,-0.0645601,0.930457,-0.2443405,-0.2348776,-0.1392122,-0.05108483135700226,-1.0075342655181885,-0.13990437984466553,0.9305756688117981,-0.2403229922056198,-0.23883040249347687,-0.1386858969926834
stairs,train,seq-02,stairs/seq-02/frame-000036.color.png,-0.0413684,-0.8722897,-0.0582837,0.9314224,-0.2431205,-0.2305456,-0.1421037999999999,-0.04130331426858902,-1.0265724658966064,-0.14035609364509583,0.9280306696891785,-0.24730700254440308,-0.2419818937778473,-0.1379968225955963
stairs,train,seq-02,stairs/seq-02/frame-000038.color.png,-0.026862,-0.8786107,-0.0358282,0.9297013,-0.2414046,-0.2352565,-0.1484378999999999,-0.063880555331707,-0.9506484866142273,-0.11254776269197464,0.930689811706543,-0.23966552317142487,-0.23930038511753082,-0.13824735581874847
stairs,train,seq-02,stairs/seq-02/frame-000039.color.png,-0.0274448,-0.8767716999999998,-0.0320695,0.9304434,-0.2405219,-0.2328889,-0.1489531,-0.0561908483505249,-0.9777979850769043,-0.10623159259557724,0.9314749240875244,-0.24174711108207703,-0.23505450785160065,-0.13660918176174164
