scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
fire,train,seq-01,fire/seq-01/frame-000001.color.png,-0.227498,-0.290183,0.2844273,0.9791104,-0.1976137,-0.028041,0.0387977,-0.27016112208366394,-0.29222750663757324,0.29567059874534607,0.9789568185806274,-0.19690056145191193,-0.034981291741132736,0.040620531886816025
fire,train,seq-01,fire/seq-01/frame-000002.color.png,-0.2299701,-0.2888155,0.2840725,0.9789752,-0.1982397,-0.0289441,0.0383518,-0.27958253026008606,-0.3163791298866272,0.28388673067092896,0.9778133630752563,-0.20511303842067719,-0.024747183546423912,0.03460155054926872
fire,train,seq-01,fire/seq-01/frame-000004.color.png,-0.2346524,-0.2884684,0.2831906,0.9784133,-0.2006967,-0.0320175,0.0374584,-0.30672687292099,-0.3275127410888672,0.2857672870159149,0.9784324765205383,-0.20153123140335083,-0.030068757012486458,0.03392685204744339
fire,train,seq-01,fire/seq-01/frame-000005.color.png,-0.2376684,-0.2886435,0.2828648,0.9782376,-0.2015974,-0.0330196,0.0363239,-0.30524468421936035,-0.3329411745071411,0.3003906309604645,0.9779686331748962,-0.20428386330604553,-0.03225325420498848,0.028376899659633636
fire,train,seq-01,fire/seq-01/frame-000006.color.png,-0.2399279,-0.2875133,0.2824265,0.9781685,-0.2018102,-0.034423,0.035695,-0.309749960899353,-0.3362259864807129,0.30103662610054016,0.9763470888137817,-0.21238204836845398,-0.02800803631544113,0.029254065826535225
fire,train,seq-01,fire/seq-01/frame-000011.color.png,-0.259443,-0.2848571,0.2790569,0.9770242,-0.2083279,-0.032819,0.0307585,-0.34070509672164917,-0.33359408378601074,0.28141042590141296,0.9763202667236328,-0.2135811299085617,-0.027175037190318108,0.021054524928331375
fire,train,seq-01,fire/seq-01/frame-000013.color.png,-0.2707905,-0.2866881,0.277695,0.9761783000000002,-0.2124542,-0.0313562,0.0309167,-0.3531060516834259,-0.3258134126663208,0.27366289496421814,0.9764466881752014,-0.21254578232765198,-0.025572260841727257,0.02687354013323784
fire,train,seq-01,fire/seq-01/frame-000016.color.png,-0.2881734,-0.2902258,0.2759826,0.9758648,-0.214816,-0.0264305,0.029042,-0.3734828233718872,-0.330659955739975,0.2765235900878906,0.9773579239845276,-0.20792776346206665,-0.02727394737303257,0.028170455247163773
fire,train,seq-01,fire/seq-01/frame-000017.color.png,-0.2943184,-0.2891379000000001,0.2751842,0.976112,-0.2138639,-0.0253983,0.0286779,-0.37659475207328796,-0.34229588508605957,0.2689300775527954,0.9759557843208313,-0.21504411101341248,-0.02429109439253807,0.02600480243563652
fire,train,seq-01,fire/seq-01/frame-000018.color.png,-0.3016738,-0.2903272999999999,0.2755167,0.9758236,-0.215427,-0.0225126,0.0291996,-0.4173392951488495,-0.3450259566307068,0.2701839506626129,0.9766302108764648,-0.21258974075317383,-0.0163117665797472,0.027072105556726456
fire,train,seq-01,fire/seq-01/frame-000019.color.png,-0.3099982999999999,-0.2927925,0.2754423,0.9755989,-0.2165807,-0.0201266,0.0299073,-0.41844260692596436,-0.34115877747535706,0.2640955448150635,0.9761364459991455,-0.21479928493499756,-0.015797987580299377,0.027736913412809372
fire,train,seq-01,fire/seq-01/frame-000020.color.png,-0.3184024,-0.2928334,0.2751511,0.9757768,-0.2160439,-0.0187964,0.0288327,-0.4166816473007202,-0.34955960512161255,0.26300767064094543,0.9763616919517517,-0.2141495794057846,-0.01343582570552826,0.026025915518403053
fire,train,seq-01,fire/seq-01/frame-000021.color.png,-0.3260555999999999,-0.2933006,0.2758948,0.9756935,-0.2166773,-0.0168396,0.0280988,-0.43582791090011597,-0.3491156995296478,0.26267731189727783,0.9757398366928101,-0.2169599086046219,-0.01161846611648798,0.026927461847662926
fire,train,seq-01,fire/seq-01/frame-000022.color.png,-0.3364295,-0.2961239,0.2769076,0.9754597,-0.2178373,-0.0142739,0.0286634,-0.4497501254081726,-0.35592737793922424,0.2672104239463806,0.9759851694107056,-0.21582897007465363,-0.009593447670340538,0.027907581999897957
fire,train,seq-01,fire/seq-01/frame-000023.color.png,-0.3471284,-0.2987142,0.2775722,0.9756616,-0.2170936,-0.0117399,0.0285839,-0.48364612460136414,-0.357477068901062,0.26602113246917725,0.9759523868560791,-0.21605604887008667,-0.007230594754219055,0.028006399050354958
fire,train,seq-01,fire/seq-01/frame-000025.color.png,-0.3695122,-0.2990425,0.279395,0.976567,-0.2127327,-0.0082377999999999,0.0315245,-0.4851386249065399,-0.33524978160858154,0.2852378487586975,0.9753726124763489,-0.21850720047950745,-0.004812503233551979,0.029659584164619446
fire,train,seq-01,fire/seq-01/frame-000028.color.png,-0.405998,-0.3059614,0.2845708,0.9760423,-0.2148513,0.0004628,0.0343543,-0.5430704355239868,-0.3444198668003082,0.2686241865158081,0.9751818776130676,-0.2190839648246765,0.0036832953337579966,0.03176470100879669
fire,train,seq-01,fire/seq-01/frame-000031.color.png,-0.4451802,-0.3123518,0.2892884,0.97674,-0.2110581,0.0098635,0.0365528,-0.5472046732902527,-0.36535364389419556,0.2900474965572357,0.9743933081626892,-0.22247901558876038,0.011729979887604713,0.030384497717022896
fire,train,seq-01,fire/seq-01/frame-000032.color.png,-0.4578067,-0.3162153,0.2912338,0.9764784,-0.2118761,0.0127012,0.0379105,-0.5432649850845337,-0.3779052495956421,0.2921990752220154,0.9754092693328857,-0.21776652336120605,0.013204043731093407,0.03130757436156273
fire,train,seq-01,fire/seq-01/frame-000033.color.png,-0.4710824000000001,-0.3206896,0.2929625,0.9764142,-0.2116013,0.0174164,0.0392015,-0.5999712347984314,-0.36455756425857544,0.2877013683319092,0.9744710922241211,-0.22085712850093842,0.01856161467730999,0.03582944720983505
fire,train,seq-01,fire/seq-01/frame-000037.color.png,-0.5111415,-0.3261514,0.2985295,0.977354,-0.206262,0.0255467,0.0397802,-0.641449511051178,-0.38753992319107056,0.31132304668426514,0.9741770029067993,-0.2205422818660736,0.028083940967917442,0.039390016347169876
fire,train,seq-01,fire/seq-01/frame-000040.color.png,-0.5457241,-0.3332762,0.3065463,0.9749639,-0.2162392,0.0371136,0.0361735,-0.6928474307060242,-0.3885330557823181,0.2991056740283966,0.9724795818328857,-0.2279757857322693,0.027725348249077797,0.03926689922809601
