scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
heads,train,seq-02,heads/seq-02/frame-000000.color.png,0.0957296,-0.0410821,0.1324871,0.996129,-0.082498,0.0263684,-0.0150289,0.13208532333374023,-0.013678625226020813,0.14440327882766724,0.9967392086982727,-0.0653257817029953,0.04276794567704201,-0.020360130816698074
heads,train,seq-02,heads/seq-02/frame-000005.color.png,0.0959508,-0.0451481,0.1268104,0.9963808,-0.0770362,0.0312475,-0.0177278,0.15535995364189148,-0.006905838847160339,0.10052792727947235,0.9971173405647278,-0.06152312085032463,0.04053006321191788,-0.018144629895687103
heads,train,seq-02,heads/seq-02/frame-000006.color.png,0.0970526,-0.0472695,0.1254234,0.9963869,-0.0752768,0.0336392,-0.0203718,0.15528669953346252,-0.014907687902450562,0.1281917542219162,0.9970146417617798,-0.060299310833215714,0.042498860508203506,-0.022795341908931732
heads,train,seq-02,heads/seq-02/frame-000007.color.png,0.0967133,-0.0494818,0.1237513,0.996607,-0.0715609,0.0347009,-0.0211986,0.14174745976924896,-0.030995026230812073,0.1668156087398529,0.997521698474884,-0.054812949150800705,0.03632621839642525,-0.025028927251696587
heads,train,seq-02,heads/seq-02/frame-000010.color.png,0.0967739,-0.0513595,0.1195035,0.9974706,-0.0591299,0.0317070999999999,-0.023467,0.16564860939979553,-0.009740248322486877,0.12297996878623962,0.997778594493866,-0.05056603625416756,0.03659798949956894,-0.023270295932888985
heads,train,seq-02,heads/seq-02/frame-000011.color.png,0.0969875,-0.0513959,0.1195149,0.9974723,-0.0591506,0.0316845,-0.0233753,0.16564860939979553,-0.009740248322486877,0.12297996878623962,0.997778594493866,-0.05056603625416756,0.03659798949956894,-0.023270295932888985
heads,train,seq-02,heads/seq-02/frame-000012.color.png,0.097555,-0.0533853,0.1178432,0.9973961,-0.0571589,0.0350505,-0.0265575,0.1984054446220398,-0.010326363146305084,0.1013992428779602,0.9979684352874756,-0.05058631673455238,0.03164767846465111,-0.022326327860355377
heads,train,seq-02,heads/seq-02/frame-000013.color.png,0.0984181,-0.0535523,0.1162343,0.9975178,-0.0533496,0.0371682,-0.0270275,0.16638825833797455,-0.032188206911087036,0.11407702416181564,0.9983373880386353,-0.04187186062335968,0.035212043672800064,-0.01814759150147438
heads,train,seq-02,heads/seq-02/frame-000014.color.png,0.0981294,-0.0534524,0.1162685,0.9975229,-0.0532605,0.0371937,-0.0269834,0.16638825833797455,-0.032188206911087036,0.11407702416181564,0.9983373880386353,-0.04187186062335968,0.035212043672800064,-0.01814759150147438
heads,train,seq-02,heads/seq-02/frame-000016.color.png,0.1001525,-0.0576662,0.1114998,0.998021,-0.0504053,0.0347015,-0.0144625,0.16908882558345795,-0.01406848430633545,0.11052368581295013,0.9979762434959412,-0.046763669699430466,0.04177578538656235,-0.010557395406067371
heads,train,seq-02,heads/seq-02/frame-000017.color.png,0.1003239,-0.0577177,0.1115309,0.9980297,-0.05045,0.0343569,-0.0145286,0.16908882558345795,-0.01406848430633545,0.11052368581295013,0.9979762434959412,-0.046763669699430466,0.04177578538656235,-0.010557395406067371
heads,train,seq-02,heads/seq-02/frame-000018.color.png,0.1009703,-0.0598313,0.1081513,0.9983195,-0.0468261,0.0327805,-0.0095364,0.15904662013053894,-0.03199227154254913,0.11970251798629761,0.9980782866477966,-0.044565312564373016,0.0425456240773201,-0.006594835314899683
heads,train,seq-02,heads/seq-02/frame-000019.color.png,0.1027932,-0.0622437,0.1042098,0.9984276,-0.045075,0.0326466,-0.0066897999999999,0.15535035729408264,-0.041971854865550995,0.12193585932254791,0.9983125329017639,-0.0419093519449234,0.03980955109000206,-0.005552219692617655
heads,train,seq-02,heads/seq-02/frame-000020.color.png,0.1022306,-0.0619916,0.1043303,0.9984519,-0.0447996,0.0322311,-0.0069209999999999,0.15535035729408264,-0.041971854865550995,0.12193585932254791,0.9983125329017639,-0.0419093519449234,0.03980955109000206,-0.005552219692617655
heads,train,seq-02,heads/seq-02/frame-000021.color.png,0.1041013,-0.0649867,0.0998829,0.9984972,-0.0440506,0.0323059,-0.0043729,0.13311666250228882,-0.04629112035036087,0.12023191154003143,0.9987030625343323,-0.03781432658433914,0.033748283982276917,-0.004833964630961418
heads,train,seq-02,heads/seq-02/frame-000022.color.png,0.1059061,-0.0677797,0.0952178,0.9985473,-0.0433965,0.0319079,-0.0013605,0.14025625586509705,-0.06340479850769043,0.12094645202159882,0.9986139535903931,-0.04191942140460014,0.031825605779886246,-0.0001985628914553672
heads,train,seq-02,heads/seq-02/frame-000023.color.png,0.1061191,-0.0675928,0.0952546,0.998557,-0.0432422,0.0318125,-0.0013819,0.14025625586509705,-0.06340479850769043,0.12094645202159882,0.9986139535903931,-0.04191942140460014,0.031825605779886246,-0.0001985628914553672
heads,train,seq-02,heads/seq-02/frame-000024.color.png,0.1087071,-0.0702358999999999,0.0902937,0.9985623,-0.0447304,0.0295010999999999,0.0015152999999999,0.13942642509937286,-0.055498942732810974,0.09938221424818039,0.9985424876213074,-0.0443645641207695,0.0307219997048378,-0.0008557484252378345
heads,train,seq-02,heads/seq-02/frame-000025.color.png,0.1087078,-0.0704445,0.0903329,0.998556,-0.0448898,0.0294688,0.0015694,0.13942642509937286,-0.055498942732810974,0.09938221424818039,0.9985424876213074,-0.0443645641207695,0.0307219997048378,-0.0008557484252378345
heads,train,seq-02,heads/seq-02/frame-000027.color.png,0.113875,-0.078944,0.079734,0.9985443000000002,-0.0475852,0.0242991,0.0073863999999999,0.15569449961185455,-0.03324294090270996,0.06930311769247055,0.998519778251648,-0.04558684676885605,0.029661890119314194,-0.0005112430080771446
