scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
redkitchen,train,seq-01,redkitchen/seq-01/frame-000001.color.png,-0.338662,0.0159168,0.2978221,0.9769297,-2.18e-05,-0.1617256,-0.139475,-0.4330223500728607,0.11475466191768646,0.35779133439064026,0.973332405090332,0.0018459566636011004,-0.18269853293895721,-0.1387147754430771
redkitchen,train,seq-01,redkitchen/seq-01/frame-000002.color.png,-0.3405364,0.0170052,0.2974445,0.9769388,-0.0003859,-0.1615331,-0.1396335,-0.4513395130634308,0.1185813844203949,0.34329015016555786,0.9741118550300598,0.0003408392076380551,-0.1802387535572052,-0.1364554613828659
redkitchen,train,seq-01,redkitchen/seq-01/frame-000005.color.png,-0.3415571,0.0134123,0.2985037,0.9770119,-0.0018176,-0.1615829,-0.1390514,-0.460668683052063,0.1146678775548935,0.3379236161708832,0.974299967288971,0.0013139941729605198,-0.17846809327602386,-0.1374303549528122
redkitchen,train,seq-01,redkitchen/seq-01/frame-000008.color.png,-0.3428791,0.0125491,0.2999114,0.9765058,-0.0016921,-0.1628363,-0.1411305,-0.42255765199661255,0.1012478917837143,0.35904911160469055,0.9722837805747986,-0.0008248059893958271,-0.18961839377880096,-0.13677936792373657
redkitchen,train,seq-01,redkitchen/seq-01/frame-000009.color.png,-0.344308,0.0116771,0.3004254,0.9763979,-0.0013163,-0.1629931,-0.1416989,-0.4758729636669159,0.11344289779663086,0.3322911262512207,0.9741071462631226,-0.0010503357043489814,-0.17923703789710999,-0.13779760897159576
redkitchen,train,seq-01,redkitchen/seq-01/frame-000012.color.png,-0.3492617,0.0098918,0.3013817,0.9755615,-0.000482,-0.1658209,-0.1441628999999999,-0.4688138961791992,0.11749160289764404,0.33468592166900635,0.9731793403625488,-0.0014077542582526803,-0.18169060349464417,-0.1410973072052002
redkitchen,train,seq-01,redkitchen/seq-01/frame-000013.color.png,-0.3504955,0.0086697,0.3017629000000001,0.9753245,0.0001791,-0.1663196,-0.1451887999999999,-0.4674608111381531,0.117738738656044,0.3294009864330292,0.9728342890739441,-0.002471259795129299,-0.18058925867080688,-0.14482727646827698
redkitchen,train,seq-01,redkitchen/seq-01/frame-000014.color.png,-0.3510014,0.0077848,0.3021782,0.9750423,0.0012212,-0.1670927,-0.1461883,-0.4855136275291443,0.10841993987560272,0.334696888923645,0.9733029007911682,-0.004798854235559702,-0.17665106058120728,-0.1464676409959793
redkitchen,train,seq-01,redkitchen/seq-01/frame-000017.color.png,-0.3552220999999999,0.0064992,0.3037401,0.9745197,0.0026806,-0.1687829,-0.147704,-0.49166637659072876,0.10516300797462463,0.3374525010585785,0.9732421040534973,-0.0023868584539741278,-0.17840255796909332,-0.14479844272136688
redkitchen,train,seq-01,redkitchen/seq-01/frame-000018.color.png,-0.3547845,0.0057023,0.3042119,0.9743037,0.0030492,-0.1698591,-0.1478882999999999,-0.49416765570640564,0.10847298800945282,0.33034488558769226,0.9725450277328491,-0.0026427432894706726,-0.1787119358778,-0.14903418719768524
redkitchen,train,seq-01,redkitchen/seq-01/frame-000019.color.png,-0.3578455,0.0062701,0.3044364,0.9742726,0.0032749,-0.170279,-0.1476047999999999,-0.5066328644752502,0.10699132084846497,0.34091854095458984,0.9736210703849792,-0.0021113096736371517,-0.1764526665210724,-0.14464452862739563
