scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00001.png,29.073991,-0.463922,57.676704,0.363691,0.0008349999999999,0.929076,-0.067424,29.45128631591797,-0.4949612021446228,58.15763092041016,0.3676784634590149,0.000572022574488,0.927648663520813,-0.065422810614109
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00008.png,26.345964,-0.325265,57.998502,0.290611,-0.006137,0.94253,-0.164795,26.523324966430664,-0.363034039735794,58.57072067260742,0.2876980304718017,-0.0055520632304251,0.9434020519256592,-0.1648984104394912
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00013.png,23.184005,-0.052428,58.370963,0.314494,0.022008,0.944671,-0.090616,23.50743293762207,-0.1061452031135559,58.969974517822266,0.3137747645378113,0.0222165118902921,0.9450093507766724,-0.0894942209124565
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00015.png,21.972506,-0.041646,58.109403,0.328296,0.019473,0.94262,-0.057558,22.27081680297852,-0.0937756597995758,58.7623176574707,0.3273682594299316,0.0192029494792222,0.9429635405540466,-0.0572808794677257
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00018.png,20.346562,0.020351,57.08799499999999,0.304585,0.033759,0.949834,-0.062549,20.64373207092285,0.0064956112764775,57.84455490112305,0.3030604720115661,0.034522496163845,0.9503549337387084,-0.0615473911166191
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00019.png,19.895007,0.119717,56.55171,0.332651,-0.0068819999999999,0.939522,-0.081242,20.139802932739254,0.0375034362077713,57.18992614746094,0.3316088616847992,-0.0059679220430552,0.939874827861786,-0.081457570195198
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00023.png,19.825283,0.1892,53.932237,0.359852,-0.042693,0.913465,-0.185117,20.023500442504883,0.1183750033378601,54.51206970214844,0.3600031733512878,-0.0424246378242969,0.9131873250007628,-0.1862438470125198
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00026.png,20.023871,-0.023391,52.391381,0.407451,-0.096198,0.8581040000000001,-0.29731,20.073373794555664,-0.0561902225017547,52.83744812011719,0.403337150812149,-0.0935820192098617,0.8591644167900085,-0.3006627857685089
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00027.png,19.847097,-0.032295,51.906843,0.441428,-0.072384,0.868034,-0.215458,19.948219299316406,-0.06600022315979,52.34721374511719,0.4387613534927368,-0.0718353688716888,0.8684879541397095,-0.2192188203334808
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00030.png,18.249958,0.164565,51.168895,0.424911,0.028859,0.903814,-0.041705,18.39124298095703,0.1381999403238296,51.56589889526367,0.4233830571174621,0.0298280697315931,0.9044426679611206,-0.0429020002484321
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00031.png,17.621610999999994,0.082433,51.216589,0.390847,0.000194,0.919924,-0.031338,17.74776840209961,0.0819303691387176,51.64681625366211,0.3861075937747955,0.0001728922652546,0.921933114528656,-0.0309871695935726
