scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
KingsCollege,train,seq8,KingsCollege/seq8/frame00002.png,33.209591,-22.74987,1.436124,0.722427,0.62336,0.167775,-0.247735,33.33576965332031,-22.73647689819336,1.697617530822754,0.7245402932167053,0.6247602701187134,0.15914031863212585,-0.2437012493610382
KingsCollege,train,seq8,KingsCollege/seq8/frame00003.png,33.200591,-22.653296,1.462828,0.724023,0.6216659999999999,0.163881,-0.249931,32.85984802246094,-22.831787109375,1.6301417350769043,0.7263713479042053,0.6250134706497192,0.15275469422340393,-0.24167928099632263
KingsCollege,train,seq8,KingsCollege/seq8/frame00006.png,31.817120000000006,-22.493045,1.507578,0.735563,0.612753,0.138701,-0.253461,31.49639320373535,-22.852352142333984,1.581488013267517,0.7379286885261536,0.6165808439254761,0.13003462553024292,-0.24162037670612335
KingsCollege,train,seq8,KingsCollege/seq8/frame00007.png,31.170279,-22.324362,1.622667,0.766569,0.582908,0.138504,-0.2311,30.104368209838867,-22.449296951293945,1.6135228872299194,0.7727082967758179,0.5844327211380005,0.12169129401445389,-0.21575814485549927
KingsCollege,train,seq8,KingsCollege/seq8/frame00008.png,30.43578,-22.270689,1.583911,0.7797689999999999,0.582329,0.103285,-0.205391,29.17279815673828,-22.163259506225586,1.705367922782898,0.7852326035499573,0.5831694006919861,0.0883648544549942,-0.18845385313034058
KingsCollege,train,seq8,KingsCollege/seq8/frame00010.png,29.145427,-22.165855,1.69152,0.800117,0.568469,0.062003,-0.181139,29.193361282348633,-22.351299285888672,1.8459657430648804,0.7983957529067993,0.5725785493850708,0.06130851060152054,-0.17595255374908447
KingsCollege,train,seq8,KingsCollege/seq8/frame00011.png,28.55481,-22.601437,1.674348,0.816734,0.533411,0.083745,-0.20348,28.369659423828125,-23.315093994140625,1.7729463577270508,0.8092120885848999,0.5504277348518372,0.08660195022821426,-0.18629343807697296
KingsCollege,train,seq8,KingsCollege/seq8/frame00012.png,27.545185,-22.556603,1.910587,0.7701720000000001,0.582782,0.119659,-0.229962,27.01644515991211,-23.395530700683594,1.7948887348175049,0.7761454582214355,0.5875220894813538,0.10027983039617538,-0.2058153748512268
KingsCollege,train,seq8,KingsCollege/seq8/frame00014.png,26.289428000000004,-22.393813,1.779254,0.77945,0.570975,0.105833,-0.23504,25.161056518554688,-22.780271530151367,1.717870831489563,0.7872730493545532,0.5738227963447571,0.08975579589605331,-0.20705656707286835
KingsCollege,train,seq8,KingsCollege/seq8/frame00015.png,25.450378,-22.302451,1.798709,0.7769020000000001,0.575874,0.1267319999999999,-0.220754,24.78618049621582,-23.083576202392578,1.6863380670547485,0.7855052351951599,0.5777021646499634,0.1028609648346901,-0.19662511348724365
KingsCollege,train,seq8,KingsCollege/seq8/frame00016.png,24.761601,-21.844288,1.894519,0.75631,0.605454,0.146819,-0.199662,24.486846923828125,-22.092334747314453,1.6482560634613037,0.7647511959075928,0.603524386882782,0.13000304996967316,-0.18442665040493011
KingsCollege,train,seq8,KingsCollege/seq8/frame00017.png,24.172555,-21.49329,1.8007,0.758582,0.605929,0.159436,-0.178839,24.427059173583984,-22.186826705932617,1.7313138246536255,0.7605994939804077,0.6095818281173706,0.14536863565444946,-0.16960661113262177
KingsCollege,train,seq8,KingsCollege/seq8/frame00018.png,23.635306,-21.133402,1.683415,0.760458,0.610164,0.134241,-0.177153,24.47519302368164,-21.877010345458984,1.6553113460540771,0.7642867565155029,0.6086542010307312,0.1268688291311264,-0.1712018996477127
KingsCollege,train,seq8,KingsCollege/seq8/frame00019.png,23.155827,-20.533975,1.637551,0.760826,0.6161800000000001,0.092943,-0.181186,24.064067840576172,-21.552701950073242,1.7598447799682617,0.7642912864685059,0.6143828630447388,0.0886247307062149,-0.17475195229053497
KingsCollege,train,seq8,KingsCollege/seq8/frame00020.png,22.353514,-20.484425,1.621336,0.7789159999999999,0.597724,0.079263,-0.172431,23.172908782958984,-21.23075294494629,1.7003878355026245,0.7837320566177368,0.5949508547782898,0.07051125168800354,-0.1637856662273407
KingsCollege,train,seq8,KingsCollege/seq8/frame00021.png,21.821092,-20.130762,1.571611,0.780108,0.603457,0.062227,-0.152967,22.85944366455078,-20.755205154418945,1.6717473268508911,0.783920407295227,0.5985975861549377,0.06330213695764542,-0.15212686359882355
KingsCollege,train,seq8,KingsCollege/seq8/frame00022.png,21.117415,-19.745119,1.734564,0.777165,0.608538,0.088163,-0.133876,22.073522567749023,-19.94402313232422,1.642127275466919,0.7815108299255371,0.6016018986701965,0.09096619486808777,-0.1379891186952591
KingsCollege,train,seq8,KingsCollege/seq8/frame00024.png,19.704158,-19.37205100000001,1.71731,0.780215,0.608219,0.070889,-0.127706,20.559974670410156,-20.090131759643555,1.6640584468841553,0.785038411617279,0.6022709608078003,0.06790753453969955,-0.12795674800872803
KingsCollege,train,seq8,KingsCollege/seq8/frame00025.png,18.979456,-19.179076,1.6230639999999998,0.796755,0.596475,0.010322,-0.096391,19.961227416992188,-19.80133056640625,1.711561679840088,0.8018723726272583,0.58953458070755,0.010251850821077824,-0.09666699916124344
