scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
OldHospital,train,seq9,OldHospital/seq9/frame00003.png,-14.844808,0.197716,13.373710999999998,0.139977,0.839894,0.062822,0.520613,-14.532232284545898,0.06376774609088898,13.888731956481934,0.14110291004180908,0.8538231253623962,0.043928179889917374,0.4991457760334015
OldHospital,train,seq9,OldHospital/seq9/frame00006.png,-13.864563,-0.259767,14.141141,0.16114,0.871849,0.077046,0.456044,-13.367616653442383,-0.3843696713447571,13.978886604309082,0.14832933247089386,0.8694603443145752,0.07123339921236038,0.46579283475875854
OldHospital,train,seq9,OldHospital/seq9/frame00007.png,-13.494946,-0.069877,14.611868,0.173927,0.8826299999999999,0.091849,0.426941,-12.819665908813477,-0.5465808510780334,14.975212097167969,0.17576095461845398,0.8880078792572021,0.09872863441705704,0.41328272223472595
OldHospital,train,seq9,OldHospital/seq9/frame00009.png,-13.134006,0.380947,16.132162,0.177196,0.884598,0.106723,0.417968,-11.486915588378906,-0.7140341401100159,15.672463417053223,0.19693715870380402,0.8869160413742065,0.10837600380182266,0.40354710817337036
OldHospital,train,seq9,OldHospital/seq9/frame00010.png,-13.001542,-0.643943,17.100811,0.186485,0.875934,0.079066,0.437848,-12.578629493713379,-0.8230964541435242,16.175235748291016,0.18023228645324707,0.8737586736679077,0.06617908924818039,0.44685837626457214
OldHospital,train,seq9,OldHospital/seq9/frame00014.png,-12.724161,-0.566894,18.950602,0.188797,0.850799,0.095696,0.480977,-12.423068046569824,-0.859304666519165,19.75723648071289,0.17968730628490448,0.8646364808082581,0.08387303352355957,0.46160754561424255
OldHospital,train,seq9,OldHospital/seq9/frame00018.png,-12.750779,-0.917825,21.812288,0.176369,0.888727,0.045446,0.420705,-12.567750930786133,-1.4863169193267822,22.151840209960938,0.17491856217384338,0.8916499614715576,0.036540012806653976,0.41596719622612
OldHospital,train,seq9,OldHospital/seq9/frame00029.png,-12.798735,-1.653903,29.619792,0.155585,0.8446309999999999,0.066057,0.507965,-12.193284034729004,-1.4882781505584717,29.23804473876953,0.14381703734397888,0.8522859215736389,0.05959485098719597,0.4993734657764435
OldHospital,train,seq9,OldHospital/seq9/frame00030.png,-12.30118,-1.776405,30.015298,0.13939,0.8849229999999999,0.045581,0.442045,-12.19040584564209,-1.9950497150421143,31.674882888793945,0.13840298354625702,0.8878358006477356,0.04218846559524536,0.4368208646774292
OldHospital,train,seq9,OldHospital/seq9/frame00033.png,-12.074943,-1.40342,31.895694,0.125824,0.883491,0.032214,0.450083,-11.449478149414062,-2.0501651763916016,33.82078170776367,0.1199832335114479,0.8904061913490295,0.031606387346982956,0.43792903423309326
OldHospital,train,seq9,OldHospital/seq9/frame00034.png,-11.487082,-2.876343,31.883914,0.140205,0.89915,0.019767,0.414103,-11.003997802734375,-2.24234676361084,33.790679931640625,0.12499740719795227,0.904628336429596,0.03021548129618168,0.406337708234787
OldHospital,train,seq9,OldHospital/seq9/frame00036.png,-10.855057,-1.6460849999999998,33.171332,0.127299,0.934685,0.033457,0.330213,-9.853790283203125,-2.792659044265747,34.23702621459961,0.14377564191818237,0.9412734508514404,0.026365414261817932,0.3043644428253174
OldHospital,train,seq9,OldHospital/seq9/frame00040.png,-7.908253,-1.747485,34.440088,0.155251,0.936837,0.023609,0.312531,-7.521541595458984,-2.6012933254241943,34.97014236450195,0.15843920409679413,0.9416465163230896,0.021900782361626625,0.2961743474006653
OldHospital,train,seq9,OldHospital/seq9/frame00041.png,-7.618482000000001,-1.656523,35.089071000000004,0.121378,0.936308,0.028439,0.328307,-7.725302219390869,-2.5897085666656494,36.55544662475586,0.12608784437179565,0.9415098428726196,0.025159114971756935,0.3114932179450989
