scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-06,pumpkin/seq-06/frame-000443.color.png,-0.5924845000000001,-0.5180286000000001,0.1131766,0.9989107,-0.0005376,0.0260706,0.0386969
stairs,train,seq-05,stairs/seq-05/frame-000065.color.png,0.5530524,-0.7659154,-0.0387119,0.9456866,-0.2473278,-0.185679,-0.1001458
pumpkin,train,seq-08,pumpkin/seq-08/frame-000856.color.png,-0.3337286,-0.5071042,0.3812863,0.9784658000000002,-0.0625559,-0.0801648999999999,0.1796249
pumpkin,train,seq-08,pumpkin/seq-08/frame-000679.color.png,0.9938668,-0.4718602,0.6689844,0.952861,-0.1369158999999999,-0.2587527,-0.0797302
pumpkin,train,seq-06,pumpkin/seq-06/frame-000274.color.png,0.4129367000000001,-1.1809455,0.5586479,0.9908356,0.1233985,0.0483958,-0.0259894
pumpkin,train,seq-03,pumpkin/seq-03/frame-000343.color.png,-0.1704109,-0.7371696999999999,0.6746639,0.9148933,0.3278625,0.2348654,-0.0177374
pumpkin,train,seq-03,pumpkin/seq-03/frame-000427.color.png,0.30436,-0.7221013000000001,0.525795,0.9918453000000002,-0.050554,-0.0496905,-0.1059149
stairs,train,seq-03,stairs/seq-03/frame-000050.color.png,-0.9948865,-0.7295603,0.0826597,0.8573334,-0.1214998,0.4956008,0.0678021999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000896.color.png,-0.4381094,-0.5795526,0.1525297999999999,0.9820777,0.0789086,0.0730353,0.1547988
pumpkin,train,seq-02,pumpkin/seq-02/frame-000313.color.png,0.5841513,-0.93786,-0.4967132000000001,0.9686634,0.106769,-0.1935104,-0.1133369
pumpkin,train,seq-03,pumpkin/seq-03/frame-000404.color.png,0.3158318,-0.7375183000000001,0.6393549,0.9946636,0.0296724,0.0284966,-0.094614
stairs,train,seq-02,stairs/seq-02/frame-000126.color.png,0.297094,-0.9641532,0.3789817,0.9534482,-0.235265,-0.1606671,-0.098859
stairs,train,seq-02,stairs/seq-02/frame-000377.color.png,0.2420977,-0.9267406,0.603511,0.9467721,-0.022328,-0.2628176,-0.1845291
pumpkin,train,seq-08,pumpkin/seq-08/frame-000656.color.png,0.7836814999999999,-0.4960066,0.6401654999999999,0.9639819,-0.0932333,-0.2481155,-0.0220249
pumpkin,train,seq-03,pumpkin/seq-03/frame-000250.color.png,0.1033245,-0.6448935,0.6643474,0.9636842,0.035006,-0.2535296,-0.076224
pumpkin,train,seq-02,pumpkin/seq-02/frame-000902.color.png,-0.4305812,-0.5742062,0.1294794,0.9846966,0.0654327,0.0781804,0.1413473999999999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000302.color.png,1.1962129,-0.8983874,0.5843756999999999,0.9591674,-0.0849764,-0.2433621,-0.1164126
pumpkin,train,seq-08,pumpkin/seq-08/frame-000725.color.png,1.0501717,-0.8776306999999999,0.5491056,0.9563914,0.0013536,-0.164296,-0.2414965
pumpkin,train,seq-08,pumpkin/seq-08/frame-000314.color.png,1.1126082,-1.0166494,0.538479,0.9593049,-0.0601024,-0.2230332,-0.1624129
pumpkin,train,seq-03,pumpkin/seq-03/frame-000968.color.png,-1.2964091,-0.3755166,0.3705933,0.9671749,0.1609734,0.194602,0.0281138
stairs,train,seq-03,stairs/seq-03/frame-000032.color.png,-1.1919627,-0.7058376999999999,-0.0048977,0.8601088,-0.1270795,0.4892824000000001,0.0683112
pumpkin,train,seq-02,pumpkin/seq-02/frame-000558.color.png,-0.7734451999999999,-0.6166411999999999,0.4813694000000001,0.9043856,0.2237366,0.1891898,0.310219
pumpkin,train,seq-08,pumpkin/seq-08/frame-000611.color.png,0.3774286,-0.721278,0.4815393,0.9952566,0.0028061,-0.0895528,-0.0379036
