scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
stairs,train,seq-03,stairs/seq-03/frame-000296.color.png,0.5193717999999999,-1.0986862,0.1836987,0.8347783999999999,-0.4309038,0.3317172,0.0862016
pumpkin,train,seq-03,pumpkin/seq-03/frame-000806.color.png,-0.6188751,-0.3353421,-0.0035931,0.957309,-0.0344736,-0.2790121,-0.067255
pumpkin,train,seq-08,pumpkin/seq-08/frame-000182.color.png,0.4823645,-0.7289163000000001,0.4342359000000001,0.9907029,-0.1215592,0.0457736,0.0404456
pumpkin,train,seq-08,pumpkin/seq-08/frame-000114.color.png,-0.4103519000000001,-1.0585492,0.1280359999999999,0.9980935,0.0028268,0.0091944,0.0609656999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000367.color.png,0.0526222,-0.6692602,0.4272277,0.990009,0.0810026,0.1102951,0.0339977
pumpkin,train,seq-03,pumpkin/seq-03/frame-000992.color.png,-1.3113928,-0.4783018,0.5253281,0.9725798,0.1766193,0.1472434,0.0348365
pumpkin,train,seq-06,pumpkin/seq-06/frame-000923.color.png,-0.0578844,-1.0020694,0.8419988000000002,0.9665008,0.1284141,-0.2053789,-0.0848857
pumpkin,train,seq-08,pumpkin/seq-08/frame-000739.color.png,0.9876509,-1.0124825000000002,0.4638697,0.9380384,0.0942322,-0.1608656,-0.2921072
pumpkin,train,seq-03,pumpkin/seq-03/frame-000324.color.png,-0.1794898,-0.7580347,0.7155673,0.9320814,0.3050736,0.1915736,-0.0381309
pumpkin,train,seq-06,pumpkin/seq-06/frame-000699.color.png,-0.7397023,-0.9061799,1.0489513,0.9094751,-0.1865827,0.3132364,0.1998121
pumpkin,train,seq-02,pumpkin/seq-02/frame-000485.color.png,-0.645741,-0.6995633000000001,0.2552705,0.98561,0.0481426,0.1531136,0.0530228
pumpkin,train,seq-03,pumpkin/seq-03/frame-000624.color.png,0.8215886999999998,-0.7566659,0.9717498,0.9287015,0.1331771,-0.3344023,-0.0891768
pumpkin,train,seq-06,pumpkin/seq-06/frame-000769.color.png,-0.5441689000000001,-0.9540103,1.0133721,0.8841074000000001,-0.1597637999999999,0.3757235,0.2272917
stairs,train,seq-06,stairs/seq-06/frame-000171.color.png,-0.0421276,-0.5727686,0.0952415,0.9467324,-0.0410518,-0.2628867,-0.1813923
stairs,train,seq-02,stairs/seq-02/frame-000085.color.png,0.0941454,-0.9731678,0.2029885,0.9469764,-0.2066244,-0.2124061,-0.1242002
stairs,train,seq-02,stairs/seq-02/frame-000465.color.png,0.257267,-1.1996458,1.1636174,0.9556842,0.0139783999999999,-0.2367517,-0.1744161
pumpkin,train,seq-03,pumpkin/seq-03/frame-000794.color.png,-0.5409203,-0.3482337,0.1660183,0.9451633,-0.0201822,-0.3188719,-0.0676736
pumpkin,train,seq-06,pumpkin/seq-06/frame-000232.color.png,0.5441038,-1.1308646,0.8763095,0.9779293,0.2029321,0.0262149,-0.0422569
pumpkin,train,seq-08,pumpkin/seq-08/frame-000731.color.png,1.0240185,-0.9374483,0.5112717999999999,0.9504085,0.034061,-0.1590214999999999,-0.2650955
pumpkin,train,seq-08,pumpkin/seq-08/frame-000161.color.png,0.1693497,-0.8771836,0.447709,0.9857671,-0.0800848999999999,0.1264294,0.0765848
pumpkin,train,seq-02,pumpkin/seq-02/frame-000262.color.png,0.4926989000000001,-0.9789553,-0.5026701,0.9822152,0.1480525,-0.0399465,-0.1083425
pumpkin,train,seq-06,pumpkin/seq-06/frame-000609.color.png,-0.648174,-0.9220027,1.2558855,0.9912923,-0.0178416,0.1261174,0.0334029
pumpkin,train,seq-02,pumpkin/seq-02/frame-000540.color.png,-0.7724116999999999,-0.6543413,0.4178300999999999,0.9338053,0.2116269,0.1452461,0.2492495
stairs,train,seq-02,stairs/seq-02/frame-000176.color.png,0.5105970000000001,-0.8917296999999998,0.2467551,0.9156639,-0.158989,-0.2952353,-0.2216262
pumpkin,train,seq-03,pumpkin/seq-03/frame-000821.color.png,-0.7600954000000001,-0.2856362,-0.1913866,0.9861731,-0.029008,-0.1622505,-0.0172019
pumpkin,train,seq-08,pumpkin/seq-08/frame-000876.color.png,-0.5347566,-0.4147012,0.2469949,0.9792537,-0.1507207,-0.0315378,0.1317224
stairs,train,seq-06,stairs/seq-06/frame-000406.color.png,-0.9592794,-0.651255,0.1794753,0.9778927,-0.1432901,0.1507388999999999,0.0217171
pumpkin,train,seq-08,pumpkin/seq-08/frame-000256.color.png,1.130618,-0.584612,0.6258324000000001,0.9811038,-0.1554465,-0.1088859,-0.037624
pumpkin,train,seq-08,pumpkin/seq-08/frame-000658.color.png,0.8059506,-0.4905106,0.6439844,0.9612298,-0.0984631,-0.2566623,-0.0216029
stairs,train,seq-06,stairs/seq-06/frame-000456.color.png,-1.2050778,-0.6421057,0.025943,0.9795912,-0.1512874,0.1306579,-0.0210164
pumpkin,train,seq-03,pumpkin/seq-03/frame-000882.color.png,-1.0834191,-0.1872781,-0.2646242,0.9894271,0.0564264,0.1235,0.0509683
stairs,train,seq-06,stairs/seq-06/frame-000100.color.png,0.3104535,-0.6831517,0.0535574,0.98485,-0.000822,-0.1351812999999999,-0.1086086
pumpkin,train,seq-02,pumpkin/seq-02/frame-000246.color.png,0.4410192,-0.94178,-0.4753738,0.9909896,0.0961563,0.0159152,-0.0918709
pumpkin,train,seq-08,pumpkin/seq-08/frame-000068.color.png,-0.5979992,-0.5776359999999999,0.1963023,0.9658064,-0.0784293,-0.2401527,-0.0582545
stairs,train,seq-03,stairs/seq-03/frame-000463.color.png,0.6935149,-1.1192219,0.0034712,0.8695424999999999,-0.4698976,0.1470946,-0.0381484
stairs,train,seq-05,stairs/seq-05/frame-000269.color.png,0.0465108,-1.3696812,1.3095446000000002,0.974606,-0.2122494,0.0652148,0.0289895
pumpkin,train,seq-03,pumpkin/seq-03/frame-000469.color.png,0.7147273000000001,-0.7270696,0.4009249,0.9628555,-0.0530039,-0.2062145,-0.1660587
stairs,train,seq-02,stairs/seq-02/frame-000200.color.png,0.75113,-0.8604366,0.0817203,0.8676111999999999,-0.1207083999999999,-0.4090476,-0.2556569
pumpkin,train,seq-08,pumpkin/seq-08/frame-000364.color.png,0.286361,-1.1026111,0.5374797,0.93307,-0.0394885,-0.3292301,-0.1393865
pumpkin,train,seq-02,pumpkin/seq-02/frame-000718.color.png,-0.5194829000000001,-0.9490076,1.2670989,0.8428821,0.1948081,0.3513495,0.3579848
stairs,train,seq-02,stairs/seq-02/frame-000104.color.png,0.2588271,-0.9749304,0.2882617,0.9452706,-0.2168969,-0.2113629,-0.1214287
pumpkin,train,seq-03,pumpkin/seq-03/frame-000845.color.png,-0.8928446,-0.2064409,-0.3197973,0.9967954,0.0398653,-0.0596438,0.0353891
pumpkin,train,seq-03,pumpkin/seq-03/frame-000939.color.png,-1.2970847,-0.2213421,0.1672001,0.963316,0.1178873,0.2390623,0.0312115
stairs,train,seq-03,stairs/seq-03/frame-000076.color.png,-0.6412775,-0.7092068,-0.0790135,0.8849190999999998,-0.1166392,0.4438069000000001,0.0796803
pumpkin,train,seq-03,pumpkin/seq-03/frame-000293.color.png,-0.1194491,-0.8060045,0.8456107,0.9814058,0.1601162,0.09751,-0.0411986
stairs,train,seq-05,stairs/seq-05/frame-000125.color.png,0.0467763,-0.9073193000000002,0.3351759,0.9642615,-0.2622073,-0.0220665,-0.0309849
stairs,train,seq-06,stairs/seq-06/frame-000275.color.png,-0.1013049,-0.569641,0.4495491,0.9893292,-0.1031039,-0.0805808,-0.0640627
pumpkin,train,seq-06,pumpkin/seq-06/frame-000460.color.png,-0.6321171,-0.5031173,0.0185703,0.9962652,0.0185052,-0.0842469,0.0039593
pumpkin,train,seq-06,pumpkin/seq-06/frame-000984.color.png,-0.3461608,-1.0242075000000002,0.9136659,0.8799568999999999,0.0791581,-0.4462402,-0.1424064
stairs,train,seq-05,stairs/seq-05/frame-000400.color.png,-0.0277042,-1.6901031000000002,1.6402026,0.9769412,-0.1936808,0.0861092,0.0256686
stairs,train,seq-02,stairs/seq-02/frame-000120.color.png,0.2797748,-0.9686651,0.3756415,0.9544725,-0.2319412,-0.1612415,-0.0958476
pumpkin,train,seq-03,pumpkin/seq-03/frame-000539.color.png,1.2838728,-0.8556905,0.9200375,0.8713155,0.0813909999999999,-0.4617801,-0.1447197999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000390.color.png,-0.2197771,-0.8078903000000001,-0.4908821,0.99182,0.042568,0.0584028,-0.1052147
pumpkin,train,seq-08,pumpkin/seq-08/frame-000358.color.png,0.3862901,-1.1208082,0.5426468000000001,0.9330536,-0.0401392,-0.3134842,-0.1718353
pumpkin,train,seq-02,pumpkin/seq-02/frame-000497.color.png,-0.7026412,-0.7011278000000001,0.3533037,0.9777905,0.0369824,0.1871871,0.0867128
pumpkin,train,seq-02,pumpkin/seq-02/frame-000447.color.png,-0.630648,-0.7718047,-0.0177958,0.9938433,0.016986,0.1045118,0.0326231
stairs,train,seq-03,stairs/seq-03/frame-000475.color.png,0.7177091999999999,-1.1324611999999998,0.0058889,0.8730829999999999,-0.4612854,0.1473299,-0.0568835
pumpkin,train,seq-02,pumpkin/seq-02/frame-000717.color.png,-0.516789,-0.9482992,1.264466,0.8435732,0.1947771,0.3498109,0.3578805999999999
stairs,train,seq-06,stairs/seq-06/frame-000326.color.png,-0.5443405,-0.6088479,0.4398792,0.9681512,-0.1080565,0.2252223,-0.01679
pumpkin,train,seq-03,pumpkin/seq-03/frame-000994.color.png,-1.2887561,-0.4915139,0.5388596999999999,0.9743998,0.1753921,0.1372219,0.0308681
pumpkin,train,seq-03,pumpkin/seq-03/frame-000590.color.png,1.0175308,-0.8559021000000001,0.8299416,0.9287012,0.0979686,-0.3345965,-0.1263386
pumpkin,train,seq-08,pumpkin/seq-08/frame-000228.color.png,0.9155219,-0.5609729999999999,0.5991510999999999,0.9821996,-0.1834944,0.0369891,0.0156715
pumpkin,train,seq-03,pumpkin/seq-03/frame-000252.color.png,0.1022541,-0.6608542,0.6834599,0.9669101,0.0477991999999999,-0.2386792,-0.0763693999999999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000824.color.png,0.0816797,-0.7184735,0.5270077,0.9615822,0.0068598999999999,-0.2219124,0.1614545
stairs,train,seq-06,stairs/seq-06/frame-000164.color.png,-0.0547728,-0.5763571,0.065428,0.9336496,-0.0272999,-0.3029279,-0.1891765
pumpkin,train,seq-06,pumpkin/seq-06/frame-000114.color.png,0.5011572,-1.0010511999999998,0.5624017,0.9842693,0.1585382,0.054232,-0.0560219
pumpkin,train,seq-08,pumpkin/seq-08/frame-000309.color.png,1.1639169,-0.9643203,0.5594276,0.9587872,-0.0681841,-0.237067,-0.1409868
pumpkin,train,seq-02,pumpkin/seq-02/frame-000377.color.png,-0.1531362999999999,-0.8180945,-0.5149154,0.9919137,0.0659213999999999,0.0409574,-0.1004198
pumpkin,train,seq-08,pumpkin/seq-08/frame-000089.color.png,-0.7845568,-0.8776947,0.0142484,0.9926367,0.0158227,-0.1105408999999999,-0.0469329
stairs,train,seq-05,stairs/seq-05/frame-000435.color.png,-0.0224006,-1.6972991999999998,1.6472763,0.9800221,-0.1869335,0.0646814,0.0207091
pumpkin,train,seq-03,pumpkin/seq-03/frame-000146.color.png,-0.1796878999999999,-0.7758888,0.4612064,0.9958333,-0.0329663,-0.0091946,-0.0845262
stairs,train,seq-06,stairs/seq-06/frame-000166.color.png,-0.0531205,-0.5716718000000001,0.0723355,0.9359007,-0.0309025,-0.2961404,-0.1882437
pumpkin,train,seq-06,pumpkin/seq-06/frame-000047.color.png,0.6619818000000001,-0.7906408,0.4798933,0.9946659,-0.1006015,-0.0227847,-0.0001264999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000531.color.png,-0.7603655,-0.6452236,0.419232,0.9462921,0.1692519,0.1558464,0.2271496
stairs,train,seq-03,stairs/seq-03/frame-000107.color.png,-0.3772393,-0.8321710999999999,0.0805321,0.8492344999999999,-0.2523725,0.4586514,0.0689039999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000583.color.png,-0.6587329000000001,-0.9111628,1.2206687,0.999164,-0.0040856,0.0370259,0.0168404
stairs,train,seq-02,stairs/seq-02/frame-000105.color.png,0.2644743,-0.9740968,0.2927821,0.9452384,-0.2165024,-0.2118361,-0.1215583999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000211.color.png,0.5951784999999999,-1.1788646,0.9002468000000001,0.9624479,0.2645262,0.0443363,-0.0418828
stairs,train,seq-06,stairs/seq-06/frame-000430.color.png,-1.0681114,-0.6620683,0.1115572,0.9863854,-0.1502966,0.0619899,0.024739
