scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000867.color.png,-0.6036617,-0.6319248000000001,0.3889467,0.9543589,0.1502663,0.1513021,0.2091098
pumpkin,train,seq-06,pumpkin/seq-06/frame-000845.color.png,0.0536206,-1.0447106,0.8853414000000001,0.9449622,0.1148297,0.3060678,-0.0135317999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000597.color.png,-0.6548527,-0.9218032,1.2771543,0.9937947,-0.005578,0.1074585,0.0281722
pumpkin,train,seq-02,pumpkin/seq-02/frame-000990.color.png,-0.1404436,-0.6935462,0.287438,0.9925646,0.0510629,0.1077598,-0.0244133
pumpkin,train,seq-08,pumpkin/seq-08/frame-000611.color.png,0.3774286,-0.721278,0.4815393,0.9952566,0.0028061,-0.0895528,-0.0379036
pumpkin,train,seq-08,pumpkin/seq-08/frame-000260.color.png,1.1616145,-0.6016501999999999,0.626337,0.9812434,-0.1374306,-0.1271868,-0.0458019
pumpkin,train,seq-02,pumpkin/seq-02/frame-000187.color.png,0.6419802,-1.0099315999999998,-0.494036,0.9703479,-0.0303819,-0.1955057,-0.1388502999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000372.color.png,0.0115965,-0.6552926,0.4116261,0.9905995,0.0701526,0.1116174,0.0365072
pumpkin,train,seq-02,pumpkin/seq-02/frame-000126.color.png,0.1280046,-0.9302452,-0.7336795,0.9836395,-0.0172262,-0.1485652,-0.1004235
pumpkin,train,seq-08,pumpkin/seq-08/frame-000035.color.png,-0.3040235,-0.3884706,0.5451024999999999,0.9723818,-0.10267,-0.1907347,-0.0869066
pumpkin,train,seq-02,pumpkin/seq-02/frame-000518.color.png,-0.7399616,-0.6626392,0.4117686,0.964837,0.0436874,0.1887109,0.1776769
pumpkin,train,seq-08,pumpkin/seq-08/frame-000644.color.png,0.6294860999999999,-0.53795,0.6141818,0.9813919,-0.0744016,-0.1768831,-0.0068385
pumpkin,train,seq-06,pumpkin/seq-06/frame-000611.color.png,-0.6518483,-0.9224554,1.2434651,0.9906775,-0.0198049,0.1300458,0.0354114
pumpkin,train,seq-08,pumpkin/seq-08/frame-000550.color.png,-0.2368821,-1.0314413,0.2578361,0.9803103,0.157089,0.0974283,-0.069444
pumpkin,train,seq-06,pumpkin/seq-06/frame-000310.color.png,0.3812258,-0.8978636000000001,0.530946,0.9782122,0.200962,0.0472142,-0.0220439
pumpkin,train,seq-06,pumpkin/seq-06/frame-000882.color.png,0.0508463,-1.06754,0.8397933000000001,0.9864229,0.1391494999999999,0.0344672,-0.0801206
pumpkin,train,seq-03,pumpkin/seq-03/frame-000495.color.png,1.0130607,-0.8137661999999999,0.5244901,0.9198815,-0.053049,-0.331476,-0.2027991
pumpkin,train,seq-03,pumpkin/seq-03/frame-000806.color.png,-0.6188751,-0.3353421,-0.0035931,0.957309,-0.0344736,-0.2790121,-0.067255
pumpkin,train,seq-03,pumpkin/seq-03/frame-000474.color.png,0.7547871,-0.7362194999999999,0.4125956,0.9569464,-0.0562312,-0.2256317,-0.1737295
pumpkin,train,seq-08,pumpkin/seq-08/frame-000224.color.png,0.8858626000000001,-0.5602633,0.5933814000000001,0.9781671,-0.1951336,0.0701721,0.0137048
pumpkin,train,seq-03,pumpkin/seq-03/frame-000472.color.png,0.7374799,-0.7323308000000001,0.4082632,0.9589253,-0.0533954,-0.2193673,-0.1717243
pumpkin,train,seq-03,pumpkin/seq-03/frame-000532.color.png,1.2915891000000002,-0.8566884,0.8807584999999999,0.8736193999999999,0.0592116,-0.4566002000000001,-0.1574782
pumpkin,train,seq-06,pumpkin/seq-06/frame-000134.color.png,0.4782386,-1.0557903,0.4907664000000001,0.972852,0.212968,0.062159,-0.0658779
pumpkin,train,seq-06,pumpkin/seq-06/frame-000743.color.png,-0.7538786,-0.9759866,0.9898383,0.8870908000000002,-0.230513,0.3333767,0.2208929
pumpkin,train,seq-03,pumpkin/seq-03/frame-000380.color.png,0.2025085,-0.8242632,0.7352604,0.9743585,0.112241,0.1625772,-0.107685
pumpkin,train,seq-08,pumpkin/seq-08/frame-000152.color.png,0.0575687,-0.9337498,0.4492854,0.9831771,-0.0736164,0.1359471,0.0972717
pumpkin,train,seq-03,pumpkin/seq-03/frame-000893.color.png,-1.1183625,-0.2002912,-0.2041438,0.9808312,0.0622581,0.1775174,0.0508103
pumpkin,train,seq-02,pumpkin/seq-02/frame-000969.color.png,-0.2171056,-0.691381,0.3301599,0.9907632,0.0324601,0.1306934,0.0159306
pumpkin,train,seq-03,pumpkin/seq-03/frame-000946.color.png,-1.3110402,-0.2227412,0.2351565,0.9586795,0.1324577,0.2498898,0.0307203
pumpkin,train,seq-02,pumpkin/seq-02/frame-000484.color.png,-0.6446447,-0.6871493000000001,0.2407785,0.9873038,0.0441183,0.1461537999999999,0.0438617
pumpkin,train,seq-02,pumpkin/seq-02/frame-000008.color.png,-0.1673681,-0.4234181,-0.3241039,0.9890503,-0.04013,-0.1390678,0.0287963
pumpkin,train,seq-08,pumpkin/seq-08/frame-000512.color.png,-0.9810029,-0.8174593000000001,0.2249031,0.9524453000000002,0.1425479,0.2686515999999999,0.0188258
pumpkin,train,seq-08,pumpkin/seq-08/frame-000318.color.png,1.0553796,-1.0639309,0.5225949000000001,0.9575333,-0.0561584,-0.2102125,-0.1891741
pumpkin,train,seq-08,pumpkin/seq-08/frame-000839.color.png,-0.1335763999999999,-0.6427345999999999,0.4589403,0.9724845,-0.018028,-0.162567,0.1658937999999999
pumpkin,train,seq-03,pumpkin/seq-03/frame-000507.color.png,1.1095437,-0.8627610000000001,0.6058328000000001,0.9080639,-0.0461355,-0.3663035,-0.1977708
pumpkin,train,seq-08,pumpkin/seq-08/frame-000006.color.png,0.0170988,-0.4199958,0.5617581,0.9785578,-0.0191602,-0.2042225,-0.0187271
pumpkin,train,seq-02,pumpkin/seq-02/frame-000536.color.png,-0.7658946,-0.6407588000000001,0.4194385000000001,0.9377807,0.2041924,0.1444208,0.240864
pumpkin,train,seq-08,pumpkin/seq-08/frame-000140.color.png,-0.0940638,-0.9790685,0.3827652,0.9849054,-0.0569594,0.1165531,0.1145963
pumpkin,train,seq-06,pumpkin/seq-06/frame-000382.color.png,-0.0539471,-0.6260954000000001,0.3772438,0.9925666,0.0434422,0.1075988,0.0366997
pumpkin,train,seq-08,pumpkin/seq-08/frame-000624.color.png,0.4510335999999999,-0.6265116999999999,0.5333606,0.9959258,-0.0356457,-0.0824285,-0.0081634
pumpkin,train,seq-06,pumpkin/seq-06/frame-000333.color.png,0.3214068,-0.8021554,0.4615266,0.9847998,0.1637102,0.0568249,-0.0117993
pumpkin,train,seq-03,pumpkin/seq-03/frame-000329.color.png,-0.1836853,-0.7555935,0.7070251000000001,0.9274705,0.3205883,0.188591,-0.0381457
pumpkin,train,seq-02,pumpkin/seq-02/frame-000635.color.png,-0.5810475,-0.7813584,0.8530135,0.8878956,0.1711349999999999,0.2508123,0.3456116
pumpkin,train,seq-08,pumpkin/seq-08/frame-000380.color.png,0.1519762999999999,-1.0022712,0.5403626,0.9519798,-0.0283108,-0.3035144,-0.0284968
pumpkin,train,seq-08,pumpkin/seq-08/frame-000213.color.png,0.7989394000000001,-0.5771159,0.5646599,0.9818147,-0.1761674,0.0699213,0.0107679
pumpkin,train,seq-02,pumpkin/seq-02/frame-000860.color.png,-0.6302183000000001,-0.6548599,0.4342653,0.9498705,0.1433287,0.1675721,0.2216361
pumpkin,train,seq-02,pumpkin/seq-02/frame-000061.color.png,-0.3078692,-0.8511521000000001,-0.346251,0.9715476,-0.1692153,-0.1556213,-0.0569511
pumpkin,train,seq-08,pumpkin/seq-08/frame-000878.color.png,-0.5608404,-0.4136485,0.2345807,0.9801943,-0.1556202,-0.0316794,0.1183127
pumpkin,train,seq-02,pumpkin/seq-02/frame-000542.color.png,-0.7789140999999999,-0.6535481,0.4232185000000001,0.9323492,0.208183,0.1482091,0.2557709
pumpkin,train,seq-03,pumpkin/seq-03/frame-000395.color.png,0.2997705999999999,-0.7483303000000001,0.6691195,0.9910352,0.0625243,0.0756754999999999,-0.0906268999999999
