scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
pumpkin,train,seq-03,pumpkin/seq-03/frame-000606.color.png,0.8654776,-0.8019550999999999,0.8385984000000001,0.9378997,0.1046989,-0.3125325999999999,-0.1081928999999999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000720.color.png,1.0669639,-0.8288052,0.5765017,0.9590242,-0.0191842,-0.1717887,-0.2244844
pumpkin,train,seq-03,pumpkin/seq-03/frame-000864.color.png,-1.0293374,-0.1695809999999999,-0.3273871,0.9955651,0.0655809,0.0406979,0.0537863
pumpkin,train,seq-03,pumpkin/seq-03/frame-000076.color.png,-0.0752788,-0.808864,0.6685935000000001,0.9567803,-0.19592,0.2148118,-0.0065296999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000580.color.png,-0.7115701,-0.6246025,0.5705172,0.8877646999999999,0.1907229,0.2130314,0.3607163
pumpkin,train,seq-06,pumpkin/seq-06/frame-000550.color.png,-0.5707483,-0.8157704000000001,0.947009,0.9882538,0.0135793999999999,-0.1475876,-0.0372537
pumpkin,train,seq-02,pumpkin/seq-02/frame-000737.color.png,-0.5778404,-0.9571683,1.326802,0.8316868000000001,0.1892258,0.3816525,0.3561348
pumpkin,train,seq-02,pumpkin/seq-02/frame-000822.color.png,-0.5682995,-0.7787945,0.7648615,0.9320539,0.1729729,0.2085392,0.2405563
pumpkin,train,seq-06,pumpkin/seq-06/frame-000530.color.png,-0.6048262,-0.7305248000000001,0.6484718,0.9771924,0.0088256,-0.2032013,-0.0610437
pumpkin,train,seq-02,pumpkin/seq-02/frame-000513.color.png,-0.729403,-0.6747251,0.4032441,0.9672233,0.0242061,0.1944051,0.161554
pumpkin,train,seq-02,pumpkin/seq-02/frame-000239.color.png,0.4257171,-0.969428,-0.4672335999999999,0.9942536,0.059209,0.0324072,-0.083089
pumpkin,train,seq-02,pumpkin/seq-02/frame-000259.color.png,0.4652485,-0.9508277,-0.5003324,0.9809678,0.16075,-0.0116526,-0.1082854
pumpkin,train,seq-06,pumpkin/seq-06/frame-000514.color.png,-0.5594136,-0.627269,0.325234,0.9694284,0.0004496,-0.2332491,-0.0761794
pumpkin,train,seq-08,pumpkin/seq-08/frame-000061.color.png,-0.5560552,-0.4806313,0.3263284,0.9615402,-0.1143885,-0.2298438,-0.0976088
pumpkin,train,seq-03,pumpkin/seq-03/frame-000103.color.png,-0.2247641,-1.0060331,0.8396636999999999,0.9406552,-0.2701868,0.1872981,-0.0841796
pumpkin,train,seq-03,pumpkin/seq-03/frame-000186.color.png,-0.1949366,-0.6022963000000001,0.2473193,0.9852458,0.0466334,-0.1533342999999999,-0.0600381
pumpkin,train,seq-02,pumpkin/seq-02/frame-000671.color.png,-0.4952065,-0.8754957,1.0851716,0.8707908000000001,0.1908467,0.2875541,0.3501622
pumpkin,train,seq-02,pumpkin/seq-02/frame-000355.color.png,0.1591224,-0.8598322,-0.56334,0.9932782,0.078757,-0.0062009,-0.0846011
pumpkin,train,seq-02,pumpkin/seq-02/frame-000745.color.png,-0.5908749,-0.9550347,1.3024811,0.8429815,0.1812914,0.3736482,0.3419103
pumpkin,train,seq-02,pumpkin/seq-02/frame-000704.color.png,-0.4784391,-0.9294846,1.1995512,0.8560687,0.192521,0.324467,0.3532750999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000996.color.png,-0.3439001,-0.9694098,0.8482030999999999,0.8660344999999999,0.0220539,-0.4809015,-0.1350246
pumpkin,train,seq-08,pumpkin/seq-08/frame-000357.color.png,0.3938959,-1.1245096,0.5401989,0.9343093,-0.0397277,-0.3079298,-0.1751201
pumpkin,train,seq-06,pumpkin/seq-06/frame-000227.color.png,0.5681613,-1.1552936000000005,0.8879562,0.9733355,0.2228744,0.0343134,-0.0420415
pumpkin,train,seq-06,pumpkin/seq-06/frame-000376.color.png,-0.0162087,-0.6454713000000001,0.3986484,0.991253,0.062828,0.1099175,0.0372606
pumpkin,train,seq-06,pumpkin/seq-06/frame-000302.color.png,0.3940321,-0.9214402,0.5494429,0.9779085,0.2022778,0.0474577,-0.0229459
pumpkin,train,seq-06,pumpkin/seq-06/frame-000235.color.png,0.5285982,-1.1188071000000002,0.8654726999999999,0.9797843,0.1947053,0.0226137,-0.040015
pumpkin,train,seq-08,pumpkin/seq-08/frame-000092.color.png,-0.772187,-0.9075818,0.0146974,0.9921641,0.0050642,-0.1161162,-0.045846
pumpkin,train,seq-08,pumpkin/seq-08/frame-000601.color.png,0.3276662,-0.7827877,0.4421195,0.9925343,0.0130665,-0.1124531,-0.0453781
pumpkin,train,seq-03,pumpkin/seq-03/frame-000138.color.png,-0.1839614,-0.8377186,0.5309249,0.9888018,-0.1039493,0.0082943,-0.1067554
pumpkin,train,seq-08,pumpkin/seq-08/frame-000194.color.png,0.6008205,-0.6561117,0.4806862,0.9894642,-0.1335943,0.0510371,0.0225468
pumpkin,train,seq-02,pumpkin/seq-02/frame-000973.color.png,-0.2076345,-0.6955549,0.3275782,0.9913719,0.0353384,0.125914,0.0088699
pumpkin,train,seq-06,pumpkin/seq-06/frame-000558.color.png,-0.5766388000000001,-0.8421648000000002,1.0125142,0.9929618,0.0098603,-0.1144533,-0.0288124
pumpkin,train,seq-02,pumpkin/seq-02/frame-000839.color.png,-0.5978715,-0.7407286999999999,0.6128231,0.946591,0.1502472,0.1806693,0.2207938
pumpkin,train,seq-08,pumpkin/seq-08/frame-000464.color.png,-0.7793171,-0.4909667,0.242978,0.9692583,-0.1035096,0.1865544,0.1225624
pumpkin,train,seq-06,pumpkin/seq-06/frame-000350.color.png,0.2041234,-0.7185517,0.4461418,0.98887,0.1167722,0.0917183,0.0093852
pumpkin,train,seq-06,pumpkin/seq-06/frame-000469.color.png,-0.6384306,-0.4962758,-0.052527,0.9877735,0.0178653,-0.1543404,-0.0127855
pumpkin,train,seq-06,pumpkin/seq-06/frame-000103.color.png,0.4944999,-0.9616205,0.5889800999999999,0.990799,0.1170104,0.0511117,-0.0448722
pumpkin,train,seq-02,pumpkin/seq-02/frame-000872.color.png,-0.5694239000000001,-0.6215487,0.340981,0.9599539,0.1357461,0.1358667,0.2039652
pumpkin,train,seq-08,pumpkin/seq-08/frame-000122.color.png,-0.3290638,-1.0286263,0.1870353,0.99497,-0.0142235,0.0623583,0.0770956
pumpkin,train,seq-03,pumpkin/seq-03/frame-000693.color.png,0.4254343,-0.5721371999999999,0.9146175,0.9065294,0.1015126,-0.4031681,-0.0731782
pumpkin,train,seq-03,pumpkin/seq-03/frame-000461.color.png,0.6445681,-0.7046446999999999,0.3798213,0.9723776,-0.0636473,-0.1686727999999999,-0.1482573999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000069.color.png,0.5566593000000001,-0.8288168,0.5729387,0.9998733,-0.0136238,0.0029348,-0.0076977
pumpkin,train,seq-03,pumpkin/seq-03/frame-000902.color.png,-1.174197,-0.1423892,-0.1240716,0.964355,0.0881102,0.2468257,0.0365113
pumpkin,train,seq-06,pumpkin/seq-06/frame-000310.color.png,0.3812258,-0.8978636000000001,0.530946,0.9782122,0.200962,0.0472142,-0.0220439
pumpkin,train,seq-03,pumpkin/seq-03/frame-000519.color.png,1.2506787,-0.8694076999999999,0.7288809,0.8953305,0.0088818,-0.4106439,-0.1722671
pumpkin,train,seq-03,pumpkin/seq-03/frame-000157.color.png,-0.1924,-0.7190558000000001,0.3923896,0.9967535,0.0362736,-0.0178299,-0.0696332
pumpkin,train,seq-06,pumpkin/seq-06/frame-000724.color.png,-0.7615133000000001,-0.9601527,0.9818209,0.8800594,-0.2762883,0.3149491,0.2235337
pumpkin,train,seq-02,pumpkin/seq-02/frame-000432.color.png,-0.5880004,-0.7791167,-0.1113652,0.9913905,0.0409758,0.1242648,-0.0049015
pumpkin,train,seq-03,pumpkin/seq-03/frame-000140.color.png,-0.1814261,-0.8221136999999998,0.5138304,0.9912956,-0.0837316,0.0015904,-0.1015851
