scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
heads,train,seq-02,heads/seq-02/frame-000834.color.png,-0.4996304,-0.1600937,0.0279485,0.981877,-0.1881764,0.0177097999999999,0.0139155
pumpkin,train,seq-02,pumpkin/seq-02/frame-000417.color.png,-0.4504924,-0.8029769,-0.2504609,0.9925165,0.0516893,0.0958451,-0.055253
heads,train,seq-02,heads/seq-02/frame-000441.color.png,-0.7168133000000001,-0.2815667,0.1921234,0.9633433,-0.1449464,0.2070935,0.0898476
stairs,train,seq-02,stairs/seq-02/frame-000387.color.png,0.2928481,-0.9575582,0.6794228,0.9521855,-0.0027633,-0.2383748,-0.1910827
pumpkin,train,seq-02,pumpkin/seq-02/frame-000444.color.png,-0.6330551999999999,-0.7817687,-0.0351739,0.9921911,0.0118603,0.1192618,0.0345373
stairs,train,seq-02,stairs/seq-02/frame-000383.color.png,0.2701482999999999,-0.9453046,0.640576,0.9504108,0.0051269,-0.2516035,-0.1827258
heads,train,seq-02,heads/seq-02/frame-000188.color.png,0.8365424000000001,-0.4480286,0.0418868,0.9514363,-0.3008187,-0.0636111999999999,0.0151875
pumpkin,train,seq-02,pumpkin/seq-02/frame-000769.color.png,-0.684185,-0.8598319,1.0911382,0.8825780000000001,0.174538,0.3237438,0.2928864
pumpkin,train,seq-02,pumpkin/seq-02/frame-000719.color.png,-0.5244456000000001,-0.9506136,1.2723535,0.841268,0.1945182,0.3546751,0.3586591
pumpkin,train,seq-02,pumpkin/seq-02/frame-000038.color.png,-0.2139544,-0.6496034,-0.2905353,0.9687167,-0.082798,-0.2278324,0.0531502
stairs,train,seq-02,stairs/seq-02/frame-000217.color.png,0.7794875,-0.8366365,0.0719722,0.8901045,-0.1236067,-0.3734215,-0.2301992
heads,train,seq-02,heads/seq-02/frame-000102.color.png,0.6053755000000001,-0.171465,-0.0985262,0.9822607,-0.0803058,0.1484172,0.0817753999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000185.color.png,0.5450998,-1.1379533000000002,0.7546856,0.9621858,0.2625208,0.0504721,-0.0522863
heads,train,seq-02,heads/seq-02/frame-000234.color.png,0.3416866,-0.283748,0.0901784,0.9196167,-0.1570888999999999,0.3186755,0.1675534
pumpkin,train,seq-02,pumpkin/seq-02/frame-000075.color.png,-0.2756484,-0.9423389,-0.4396375,0.9847266,-0.1213077,-0.1138116,-0.0514285999999999
pumpkin,train,seq-06,pumpkin/seq-06/frame-000188.color.png,0.5536073,-1.1448271,0.7778309,0.961763,0.2647595999999999,0.048346,-0.0507639
pumpkin,train,seq-02,pumpkin/seq-02/frame-000450.color.png,-0.6163301999999999,-0.7669092,0.006426,0.9950159,0.0190508,0.0903336,0.0376866
pumpkin,train,seq-03,pumpkin/seq-03/frame-000678.color.png,0.5029612,-0.6377704000000001,0.9859734,0.9097363000000002,0.0987375,-0.3958627,-0.0769638
stairs,train,seq-06,stairs/seq-06/frame-000419.color.png,-1.0103271,-0.6786435000000001,0.1851819,0.9809654,-0.1570212,0.1091646,0.033679
pumpkin,train,seq-08,pumpkin/seq-08/frame-000823.color.png,0.0949376,-0.729278,0.5290275999999999,0.9608816,0.0112211,-0.2276128,0.1573947999999999
heads,train,seq-02,heads/seq-02/frame-000304.color.png,0.0310693,-0.2179945,0.3070798,0.9900375,-0.0982526,0.0756524,-0.0667005
stairs,train,seq-02,stairs/seq-02/frame-000207.color.png,0.8010475,-0.8490190000000001,0.0545928,0.8686537,-0.1101081,-0.414715,-0.2476458
stairs,train,seq-05,stairs/seq-05/frame-000353.color.png,-0.0279924,-1.6700634,1.5923913,0.9747197,-0.2140338,0.0616377,0.0176565999999999
stairs,train,seq-05,stairs/seq-05/frame-000261.color.png,0.0318462,-1.3308156,1.2791481000000002,0.9731359,-0.2192748,0.0634814,0.0299186
stairs,train,seq-05,stairs/seq-05/frame-000074.color.png,0.4314913,-0.7960616,-0.0099954,0.9542579,-0.2425561,-0.1551265,-0.0805863999999999
pumpkin,train,seq-02,pumpkin/seq-02/frame-000859.color.png,-0.6329026,-0.6532109,0.4431537999999999,0.9513783,0.1406625,0.1674522,0.2169175
stairs,train,seq-02,stairs/seq-02/frame-000072.color.png,0.0042008,-0.9534527,0.1526862,0.9463353,-0.2331351,-0.1955659,-0.1088645
heads,train,seq-02,heads/seq-02/frame-000511.color.png,-0.4019501,0.250452,-0.0342797,0.9909866,-0.1252501,0.0399835,-0.0256769
stairs,train,seq-02,stairs/seq-02/frame-000046.color.png,-0.012066,-0.9000222,0.034408,0.9351445,-0.2350187,-0.2263704,-0.1379397
pumpkin,train,seq-03,pumpkin/seq-03/frame-000036.color.png,-0.1543954,-0.4513358,0.2579941,0.9890425,-0.0628252,0.1305605,0.0283188
pumpkin,train,seq-08,pumpkin/seq-08/frame-000165.color.png,0.2285024,-0.8487809999999999,0.4403133,0.9868949,-0.0900998,0.1220387,0.0550187
heads,train,seq-02,heads/seq-02/frame-000329.color.png,-0.1035298,-0.1879423,0.2326438,0.9859637,-0.1252287,-0.0319675,-0.1056951
heads,train,seq-02,heads/seq-02/frame-000442.color.png,-0.7080036,-0.2856354,0.1853722,0.9637786,-0.1468267999999999,0.2030837,0.0912674
pumpkin,train,seq-06,pumpkin/seq-06/frame-000609.color.png,-0.648174,-0.9220027,1.2558855,0.9912923,-0.0178416,0.1261174,0.0334029
stairs,train,seq-05,stairs/seq-05/frame-000361.color.png,-0.0291634,-1.6800503,1.6112206,0.975997,-0.2084889,0.0598279,0.0195683
pumpkin,train,seq-08,pumpkin/seq-08/frame-000592.color.png,0.2707557,-0.8506668,0.407218,0.9936337,0.0357168,-0.0997654,-0.0382531
pumpkin,train,seq-08,pumpkin/seq-08/frame-000789.color.png,0.4806412000000001,-0.9629326,0.4762129,0.9391785,0.1166898,-0.3127738,-0.0806209
pumpkin,train,seq-06,pumpkin/seq-06/frame-000008.color.png,0.736481,-0.8203838999999999,0.3227595,0.9800125,-0.1881745,-0.0387497,-0.0516165999999999
pumpkin,train,seq-08,pumpkin/seq-08/frame-000753.color.png,0.9774656,-1.1198034,0.4685922000000001,0.8898775,0.1927121,-0.2743064,-0.3094127
stairs,train,seq-06,stairs/seq-06/frame-000378.color.png,-0.9821945,-0.5646331,0.3022076,0.9568828,-0.1243488,0.2600293,0.036021
stairs,train,seq-05,stairs/seq-05/frame-000028.color.png,0.8796165000000001,-0.6722191999999999,-0.1853417,0.916973,-0.2097985,-0.3090035,-0.140221
heads,train,seq-02,heads/seq-02/frame-000262.color.png,0.2303786,-0.1723,0.2606409,0.9579735,-0.0999874,0.2682606,0.0180409
pumpkin,train,seq-03,pumpkin/seq-03/frame-000194.color.png,-0.0910545,-0.5783206999999999,0.2313777,0.9675936,0.0318868,-0.240216,-0.0710082
heads,train,seq-02,heads/seq-02/frame-000940.color.png,-0.1927416,-0.1494965,0.263065,0.9649381,-0.1004016,-0.2195466,-0.1030204
pumpkin,train,seq-08,pumpkin/seq-08/frame-000056.color.png,-0.5301729000000001,-0.4202401,0.3988307,0.9627173,-0.1281765,-0.2187771,-0.0942488
