scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00313.png,-0.001083,0.1569279999999999,-16.639416,0.966579,-0.114329,-0.226728,0.035342
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00147.png,-9.294804,0.749657,18.746199,0.506422,-0.178875,-0.805392,0.250772
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00165.png,-7.273845,0.83886,25.918894,0.616364,-0.093793,-0.773904,0.111236
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00129.png,37.582,-1.023664,34.071442,0.4448,-0.0831549999999999,0.864408,-0.219175
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00249.png,-13.553975,1.005087,19.186371,0.523459,-0.105137,-0.8334729999999999,0.142344
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00300.png,-9.215322,0.498246,-15.661728,0.908019,-0.100392,-0.404172,0.045494
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00185.png,-12.383518,0.7226090000000001,-0.736924,0.8523780000000001,-0.13727,-0.499723,0.069906
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00221.png,3.4801620000000004,0.040793,-7.379308,0.995196,-0.086523,-0.040887,-0.020658
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00132.png,37.653046,-0.963577,36.268374,0.369133,-0.062527,0.900773,-0.220096
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00088.png,37.710344,-1.397047,4.606466,0.688553,-0.206457,0.671137,-0.181232
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00091.png,23.768765,-0.186869,54.398511,0.281389,-0.02269,0.94847,-0.143921
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00065.png,-2.466451,0.8681459999999999,51.063636,0.15636,-0.0646809999999999,-0.978831,0.115125
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00049.png,38.446795,-1.347916,-4.5048879999999984,0.718609,-0.033945,0.6939850000000001,-0.028865
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00032.png,13.503298999999998,-0.555597,-17.547781,0.930473,-0.359517,0.069834,0.00945
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00095.png,20.916958,-0.072559,54.598078,0.182341,-0.008084,0.968827,-0.167578
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00031.png,12.42096,-0.4684430000000001,-17.711425,0.937083,-0.341995,0.070062,-0.002458
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00024.png,19.91371,-0.088237,53.224587,0.383062,-0.080869,0.8845860000000001,-0.253447
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00089.png,37.656198,-1.3172,5.261946,0.670534,-0.191917,0.693475,-0.180675
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00163.png,14.94935,0.229715,57.68502,0.098535,-0.06044,0.982254,-0.147864
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00046.png,38.64444,-1.388307,-6.549884,0.77862,-0.043769,0.625499,-0.024218
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00156.png,-6.9301770000000005,0.927201,32.697523,0.589677,-0.070779,-0.797813,0.103766
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00109.png,10.811685,0.453037,54.589154,0.007926,0.005785,0.993777,-0.165233
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00150.png,-9.530998,0.860959,16.863549,0.560277,-0.163762,-0.7943060000000001,0.168378
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00092.png,38.790951,-1.310581,25.796311,0.716712,-0.10856,0.688789,-0.010434
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00125.png,-7.885319,1.015817,32.297571000000005,0.492339,-0.089667,-0.857089,0.122319
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00123.png,37.249899,-0.9557,48.576143,0.514679,-0.070226,0.8536309999999999,-0.038569
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00232.png,-14.073745,1.079565,30.959942,0.415033,-0.103609,-0.8933549999999999,0.137597
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00095.png,-12.802527,1.2754299999999998,46.394639,0.521961,-0.068192,-0.84693,0.074947
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00061.png,33.317172,-1.360367,-12.308577,0.798445,-0.212986,0.540647,-0.157558
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00226.png,-13.861517999999998,1.285132,35.49366699999999,0.388982,-0.054825,-0.9142,0.099627
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00003.png,29.00091500000001,-0.4107770000000001,57.663726,0.367913,-0.002151,0.927411,-0.067447
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00315.png,1.3970870000000002,0.092893,-16.877784,0.973453,-0.102957,-0.199772,0.043357
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00208.png,-12.816474,1.427058,48.140394,0.581083,-0.077414,-0.8022100000000001,0.113176
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00086.png,38.503193,-1.492542,21.381359,0.786146,-0.099505,0.609719,0.017765
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00076.png,38.805582,-1.277436,13.974673999999998,0.754314,-0.081639,0.650273,-0.03861
