scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00147.png,-7.477632000000002,0.998152,39.241701,0.573312,-0.118142,-0.809517,0.045155
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00054.png,2.275461,0.703499,52.354166,0.36623,-0.080734,-0.92443,0.0692049999999999
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00292.png,-13.083374,0.675217,-11.634573,0.923686,-0.114682,-0.362885,0.04435
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00085.png,-9.602783,1.247316,52.024996,0.25009,-0.085261,-0.957347,0.116906
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00065.png,27.031795,-0.8730950000000001,-11.941586,0.934897,-0.104208,0.332996,-0.064984
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00233.png,-13.799052,1.095381,30.442948,0.412792,-0.08612,-0.889301,0.177007
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00135.png,-6.135454,0.973016,47.664047,0.382985,-0.095695,-0.914058,0.093096
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00176.png,6.6390720000000005,0.289077,57.16479200000001,0.054073,0.03415,-0.990077,0.125628
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00039.png,36.705125,-1.348018,-10.913356,0.8356180000000001,-0.116035,0.536382,-0.023963
StMarysChurch,train,seq10,StMarysChurch/seq10/frame00044.png,37.924694,-1.603846,16.404651,0.832268,-0.052826,0.5506770000000001,-0.035982
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00005.png,39.506045,-0.905277,53.42406,0.409573,0.022187,0.909118,-0.072544
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00049.png,36.372973,-1.085821,30.720861,0.645456,-0.053597,0.758286,-0.074263
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00035.png,15.067889,0.149831,51.622442,0.102896,0.019788,0.974533,-0.198378
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00254.png,-13.440525,0.860408,15.562870000000002,0.614689,-0.114307,-0.7740060000000001,0.100036
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00345.png,22.30254200000001,-0.615568,-16.187619,0.975516,-0.162503,0.146875,0.019746
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00068.png,29.207672,-0.934148,-11.572588,0.91904,-0.107079,0.374113,-0.062766
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00030.png,36.161224,-1.228719,17.220122,0.701615,-0.065698,0.708796,-0.032063
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00319.png,-9.584132,0.575635,-14.012617,0.864634,-0.342955,-0.350655,0.108775
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00008.png,38.00813,-0.848628,53.65816700000001,0.344154,-0.00425,0.928752,-0.137695
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00116.png,38.275061,-1.117549,43.53697800000001,0.649369,-0.100815,0.753672,-0.011561
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00328.png,-4.355733,0.139797,-16.618126999999998,0.912543,-0.364479,-0.181499,0.038461
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00010.png,36.921852,-0.718237,54.200055000000006,0.423479,-0.022529,0.894274,-0.14294
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00149.png,35.138686,-0.912245,47.811045,0.314124,-0.058377,0.928638,-0.188541
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00056.png,-17.557542,1.074099,-1.170779,0.783984,-0.112529,-0.607823,0.057077
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00007.png,-12.245395,0.5878770000000001,-17.560769,0.903387,-0.112741,-0.411217,0.045635
StMarysChurch,train,seq6,StMarysChurch/seq6/frame00040.png,3.820498,0.246783,-16.040942,0.941816,-0.137033,-0.303849,0.043373
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00022.png,19.721395,-0.040166,54.607091,0.311796,-0.028845,0.940409,-0.132604
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00090.png,24.520711,-0.04325,54.362957,0.2866,-0.004343,0.94575,-0.152967
StMarysChurch,train,seq10,StMarysChurch/seq10/frame00088.png,37.750371,-1.208408,38.257191,0.406042,0.015366,0.912219,-0.052457
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00039.png,12.27569,0.410531,51.853557,0.09828,-0.032087,-0.978236,0.180074
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00186.png,-12.284188,0.654875,-1.436065,0.855305,-0.147315,-0.49167,0.070802
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00046.png,7.208525999999999,0.510307,53.30384300000001,0.209422,-0.090819,-0.955089,0.188964
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00267.png,-11.89691,0.728282,20.286545,0.430796,-0.180079,-0.851493,0.238637
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00136.png,-9.274649,1.081785,25.510017,0.374778,-0.144205,-0.910542,0.098277
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00036.png,-15.905293,0.866246,-12.45263,0.850087,-0.1287569999999999,-0.507483,0.056874
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00270.png,-12.156229,0.800858,18.307526,0.5053350000000001,-0.22247,-0.78299,0.286481
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00007.png,35.94932700000001,-1.09493,1.239998,0.7952279999999999,-0.047148,0.603384,-0.036294
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00093.png,22.357279,-0.097487,54.41826999999999,0.245679,-0.006279,0.958396,-0.145204
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00075.png,-7.423939999999999,0.440064,-10.061377,0.8978379999999999,-0.190012,-0.389986,0.075458
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00005.png,-6.32457,0.376992,-16.152027,0.935594,-0.303235,-0.168508,0.065711
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00012.png,-12.878741,0.60475,-11.689964,0.861157,-0.276925,-0.417313,0.087014
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00044.png,11.822755,-0.141363,-16.019201000000002,0.989342,-0.142761,0.018027,-0.022321
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00220.png,2.741301,0.0831529999999999,-7.351281,0.990595,-0.113917,-0.073576,-0.01822
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00070.png,35.390679,-0.813609,45.95591500000001,0.307234,-0.036929,0.942182,-0.1286
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00060.png,0.109745,0.730574,52.590547,0.44958,-0.130091,-0.8463280000000001,0.254329
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00039.png,36.263414,-1.032069,23.515645000000006,0.6856479999999999,-0.039043,0.7262609999999999,-0.03014
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00001.png,35.690591,-1.080228,-1.081667,0.8129,-0.044147,0.577592,-0.060268
