scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00080.png,-4.836475,0.3708010000000001,-12.100373,0.860951,-0.353124,-0.341232,0.132766
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00065.png,-12.623815,0.817168,-4.91636,0.834558,-0.119171,-0.5360090000000001,0.044792
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00053.png,18.329414,-0.5017010000000001,-14.366982,0.937099,-0.232472,0.256905,-0.042446
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00158.png,18.481953,0.137072,58.133926,0.160327,-0.064137,0.972707,-0.155016
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00266.png,-11.901977,0.80137,21.01822,0.428121,-0.148809,-0.8549829999999999,0.252136
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00172.png,23.296146,-0.425596,57.277996,0.175715,0.012265,0.959951,-0.217919
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00120.png,-6.462251,0.922743,34.220915999999995,0.38382,-0.102021,-0.906835,0.1411619999999999
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00168.png,26.237791,-0.414798,56.654048,0.194263,-0.045668,0.959255,-0.200008
StMarysChurch,train,seq10,StMarysChurch/seq10/frame00065.png,35.671539,-1.105807,28.268828000000006,0.343123,-0.002406,0.927495,-0.148368
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00110.png,38.412128,-1.362435,39.409709,0.649836,-0.094762,0.753844,0.021279
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00096.png,38.471593,-1.481078,28.827165,0.703715,-0.112416,0.701472,-0.009202
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00262.png,-13.335367000000002,0.8050729999999999,9.656936,0.714905,-0.110992,-0.68258,0.103331
StMarysChurch,train,seq11,StMarysChurch/seq11/frame00016.png,34.377448,-0.544558,56.604373,0.297546,0.026836,0.951183,-0.077494
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00146.png,-9.23577,0.8517620000000001,19.326809,0.571275,-0.187015,-0.765243,0.230379
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00104.png,38.262484,-1.270538,16.383209,0.5909310000000001,-0.148625,0.761602,-0.220623
StMarysChurch,train,seq6,StMarysChurch/seq6/frame00010.png,17.520439,-0.576577,-11.353404,0.930887,-0.259952,0.248868,-0.062769
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00314.png,-11.194287,0.3688010000000001,-10.928484,0.8441850000000001,-0.329034,-0.400092,0.137895
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00009.png,-3.611731,0.093553,-16.026719,0.908576,-0.385762,-0.154156,0.043741
StMarysChurch,train,seq9,StMarysChurch/seq9/frame00055.png,19.674815,-0.590952,-13.566577,0.928239,-0.229265,0.284776,-0.068642
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00111.png,9.243733,0.508424,54.51789300000001,0.06106,-0.035126,-0.984311,0.162453
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00217.png,0.705599,0.188334,-7.342699,0.986342,-0.124446,-0.107475,0.009542
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00041.png,19.463532,-0.452738,-15.791426,0.914286,-0.354158,0.192847,-0.038265
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00132.png,33.776565999999995,-0.7849510000000001,53.689671,0.261327,-0.088475,0.956907,-0.090618
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00036.png,34.732052,-1.294393,-12.099205,0.8971690000000001,-0.087201,0.432637,0.017572
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00100.png,38.207858,-1.337329,13.366445,0.6100270000000001,-0.156934,0.751052,-0.197892
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00322.png,-7.948181,0.4199270000000001,-15.049535999999998,0.899172,-0.338093,-0.265828,0.080737
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00131.png,-9.129724,0.835541,28.901343,0.36544,-0.112729,-0.912462,0.145469
StMarysChurch,train,seq2,StMarysChurch/seq2/frame00261.png,-13.315905,0.704585,10.661505,0.7109979999999999,-0.086579,-0.691854,0.091239
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00247.png,-12.915209,1.193485,34.15098,0.341315,-0.106771,-0.906109,0.225987
StMarysChurch,train,seq10,StMarysChurch/seq10/frame00033.png,37.803196,-1.398548,9.44893,0.831161,-0.1451589999999999,0.529628,-0.0871509999999999
StMarysChurch,train,seq7,StMarysChurch/seq7/frame00010.png,-10.581609,0.666573,-17.090353,0.922159,-0.100034,-0.371163,0.04306
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00015.png,35.82712,-0.844089,6.65922,0.780176,-0.04835,0.620645,-0.061545
StMarysChurch,train,seq10,StMarysChurch/seq10/frame00043.png,37.964171,-1.454013,15.496484,0.73825,-0.059275,0.670085,-0.049601
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00144.png,-7.683265,1.0333629999999998,41.370643,0.52582,-0.108074,-0.8398530000000001,0.080502
StMarysChurch,train,seq8,StMarysChurch/seq8/frame00019.png,-16.282,0.877461,-12.819628,0.922107,-0.022282,-0.385918,0.017057
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00224.png,5.547669,0.002848,-6.8442820000000015,0.996144,-0.079024,-0.0315089999999999,-0.02146
StMarysChurch,train,seq12,StMarysChurch/seq12/frame00041.png,10.738273,0.371941,52.203301,0.15104,-0.048451,-0.976706,0.144628
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00031.png,36.240832,-1.045827,17.828643,0.697291,-0.050413,0.714675,-0.02199
StMarysChurch,train,seq1,StMarysChurch/seq1/frame00062.png,36.306054,-1.055528,40.488368,0.602804,-0.094192,0.7893899999999999,-0.067959
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00263.png,-12.154683,0.988501,23.075868,0.4327720000000001,-0.139736,-0.850786,0.263339
StMarysChurch,train,seq4,StMarysChurch/seq4/frame00190.png,10.002984,0.27298,56.649348,0.007081,-0.029873,-0.9771,0.246308
