scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
chess,train,seq-01,chess/seq-01/frame-000000.color.png,-0.1232336,-1.1206967,-0.9887058,0.9951854,-0.0964216,0.0164349999999999,0.0062336,-0.16338811814785,-1.1456307172775269,-1.0141053199768066,0.9950739741325378,-0.0974216014146804,0.0159330144524574,0.0091055752709507
chess,train,seq-01,chess/seq-01/frame-000001.color.png,-0.1363182,-1.1221371999999998,-0.9885462,0.99494,-0.0980536,0.0205718,0.0075346999999999,-0.1672810763120651,-1.1443442106246948,-1.0159753561019895,0.995048463344574,-0.0967083126306533,0.0165689103305339,0.0158582776784896
chess,train,seq-01,chess/seq-01/frame-000003.color.png,-0.1365391,-1.1211194,-0.9898343,0.9950472,-0.0969768,0.0201637,0.0083681,-0.1713008731603622,-1.1473089456558228,-1.0012574195861816,0.9946426749229432,-0.1017544344067573,0.0090013658627867,0.0158414747565984
chess,train,seq-01,chess/seq-01/frame-000004.color.png,-0.134945,-1.1228701,-0.9895924,0.9950009,-0.0974973,0.0197879,0.0087176,-0.1670326739549636,-1.1482847929000854,-0.9992871880531312,0.9945377707481384,-0.1027062684297561,0.0117275593802332,0.0144387790933251
chess,train,seq-01,chess/seq-01/frame-000005.color.png,-0.1364255,-1.1226691999999998,-0.9904397,0.9950362,-0.096971,0.0207072,0.0084105,-0.1643259972333908,-1.1398645639419556,-0.995549499988556,0.9947478771209716,-0.0985697135329246,0.0224252138286829,0.0160508155822753
chess,train,seq-01,chess/seq-01/frame-000006.color.png,-0.1364462,-1.1213685,-0.989138,0.9950173,-0.0973491,0.019804,0.0084555999999999,-0.1635171622037887,-1.1581770181655884,-1.0217677354812622,0.9946760535240172,-0.1010787189006805,0.013467863202095,0.0148761803284287
chess,train,seq-01,chess/seq-01/frame-000008.color.png,-0.1368657,-1.122393,-0.9885461,0.9950086,-0.0974948,0.0199403,0.0074157,-0.1706042736768722,-1.1481702327728271,-1.0025955438613892,0.9945991635322572,-0.1024475395679473,0.0114417197182774,0.0120865376666188
chess,train,seq-01,chess/seq-01/frame-000009.color.png,-0.1388579,-1.122363,-0.9885281,0.9949235,-0.0983948,0.0201616,0.0062541,-0.1655972748994827,-1.1519215106964111,-1.0150649547576904,0.9946184158325196,-0.1019214242696762,0.0129296062514185,0.0133791547268629
chess,train,seq-01,chess/seq-01/frame-000014.color.png,-0.1410921,-1.1212137,-0.9836087,0.9948315,-0.0996396,0.0190029,0.0046025,-0.1695510298013687,-1.1453384160995483,-1.019182801246643,0.994700253009796,-0.0997400879859924,0.0200257766991853,0.0149145554751157
chess,train,seq-01,chess/seq-01/frame-000016.color.png,-0.1358068,-1.118425,-0.9779997,0.9949539,-0.0988245,0.0160239,0.0066111999999999,-0.1728398501873016,-1.151761770248413,-1.0103851556777954,0.9947785139083862,-0.0993938148021698,0.0188382621854543,0.0134831415489315
chess,train,seq-01,chess/seq-01/frame-000017.color.png,-0.1349755,-1.1157233999999998,-0.9748505,0.9949479,-0.09915,0.0140118,0.0071848,-0.1737301498651504,-1.1533024311065674,-1.026095986366272,0.9945764541625975,-0.1025380790233612,0.0151426857337355,0.0086251832544803
chess,train,seq-01,chess/seq-01/frame-000020.color.png,-0.1310853,-1.1230452,-0.9564172,0.9938882,-0.1090289,0.0125207,0.0119247,-0.1624475866556167,-1.1810752153396606,-1.0106515884399414,0.9943402409553528,-0.1030553802847862,0.023506985977292,0.0107011990621685
chess,train,seq-01,chess/seq-01/frame-000021.color.png,-0.1297399,-1.1246264,-0.9487174,0.9936087,-0.1114172,0.0109384,0.0144344,-0.1777940839529037,-1.181326150894165,-1.019744634628296,0.9942986369132996,-0.1045501008629798,0.0151864346116781,0.0144537314772605
