scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
heads,train,seq-02,heads/seq-02/frame-000000.color.png,0.0957296,-0.0410821,0.1324871,0.996129,-0.082498,0.0263684,-0.0150289,0.1075619384646415,-0.0272858329117298,0.124959759414196,0.9967172741889954,-0.0733500346541404,0.0322925709187984,-0.0114723527804017
heads,train,seq-02,heads/seq-02/frame-000003.color.png,0.0954895,-0.0432784,0.129332,0.9964048,-0.0792678,0.0270606,-0.0127217,0.1095293089747428,-0.0407560914754867,0.1213555410504341,0.9978162050247192,-0.0594354383647441,0.024337064474821,-0.0154224252328276
heads,train,seq-02,heads/seq-02/frame-000005.color.png,0.0959508,-0.0451481,0.1268104,0.9963808,-0.0770362,0.0312475,-0.0177278,0.1298840194940567,-0.0247448645532131,0.0963362082839012,0.9969457387924194,-0.070245586335659,0.0311004426330328,-0.0140556776896119
heads,train,seq-02,heads/seq-02/frame-000009.color.png,0.0971454,-0.0507547,0.1204743,0.9974068,-0.0610752,0.03099,-0.0221173,0.1619393080472946,-0.0188736170530319,0.1087802276015281,0.9980257153511048,-0.0541500635445117,0.0258565954864025,-0.0185395963490009
heads,train,seq-02,heads/seq-02/frame-000011.color.png,0.0969875,-0.0513959,0.1195149,0.9974723,-0.0591506,0.0316845,-0.0233753,0.1486327201128006,-0.0173794440925121,0.0897671282291412,0.997788906097412,-0.0602755323052406,0.02005579136312,-0.0195430945605039
heads,train,seq-02,heads/seq-02/frame-000013.color.png,0.0984181,-0.0535523,0.1162343,0.9975178,-0.0533496,0.0371682,-0.0270275,0.1377755552530288,-0.0432992428541183,0.0883803516626358,0.9988685250282288,-0.0375352799892425,0.0208704005926847,-0.0204311460256576
heads,train,seq-02,heads/seq-02/frame-000017.color.png,0.1003239,-0.0577177,0.1115309,0.9980297,-0.05045,0.0343569,-0.0145286,0.1562290638685226,-0.0205689817667007,0.0767690017819404,0.9983824491500854,-0.05194828286767,0.0205417368561029,-0.0105808014050126
heads,train,seq-02,heads/seq-02/frame-000019.color.png,0.1027932,-0.0622437,0.1042098,0.9984276,-0.045075,0.0326466,-0.0066897999999999,0.1375564336776733,-0.0395211577415466,0.1011750623583793,0.9985896944999696,-0.0490810573101043,0.0200002919882535,-0.003113972954452
heads,train,seq-02,heads/seq-02/frame-000020.color.png,0.1022306,-0.0619916,0.1043303,0.9984519,-0.0447996,0.0322311,-0.0069209999999999,0.1375564336776733,-0.0395211577415466,0.1011750623583793,0.9985896944999696,-0.0490810573101043,0.0200002919882535,-0.003113972954452
heads,train,seq-02,heads/seq-02/frame-000022.color.png,0.1059061,-0.0677797,0.0952178,0.9985473,-0.0433965,0.0319079,-0.0013605,0.1104887053370475,-0.050689723342657,0.1023510992527008,0.9983115792274476,-0.0526246204972267,0.0237536877393722,0.0063446057029068
heads,train,seq-02,heads/seq-02/frame-000023.color.png,0.1061191,-0.0675928,0.0952546,0.998557,-0.0432422,0.0318125,-0.0013819,0.1104887053370475,-0.050689723342657,0.1023510992527008,0.9983115792274476,-0.0526246204972267,0.0237536877393722,0.0063446057029068
heads,train,seq-02,heads/seq-02/frame-000024.color.png,0.1087071,-0.0702358999999999,0.0902937,0.9985623,-0.0447304,0.0295010999999999,0.0015152999999999,0.1162505522370338,-0.0491863936185836,0.0906478613615036,0.9980512857437134,-0.0545297116041183,0.0303083918988704,0.0013184949057176
heads,train,seq-02,heads/seq-02/frame-000025.color.png,0.1087078,-0.0704445,0.0903329,0.998556,-0.0448898,0.0294688,0.0015694,0.1162505522370338,-0.0491863936185836,0.0906478613615036,0.9980512857437134,-0.0545297116041183,0.0303083918988704,0.0013184949057176
heads,train,seq-02,heads/seq-02/frame-000026.color.png,0.1114336,-0.0749169,0.0849958,0.9984914,-0.0474906,0.0271688,0.0046251,0.1355213969945907,-0.0528406947851181,0.0755004435777664,0.9982008934020996,-0.0565193071961402,0.0193504709750413,0.0051033641211688
heads,train,seq-02,heads/seq-02/frame-000028.color.png,0.1170187,-0.0811862,0.0747348,0.9986374,-0.0476609,0.0189744,0.0095822,0.1548224538564682,-0.0583786852657794,0.0737619251012802,0.9969634413719176,-0.0717846900224685,0.0287830960005521,0.0090743843466043
