scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
redkitchen,train,seq-01,redkitchen/seq-01/frame-000001.color.png,-0.338662,0.0159168,0.2978221,0.9769297,-2.18e-05,-0.1617256,-0.139475,-0.3182449340820312,0.0434621125459671,0.2958240807056427,0.9742015600204468,0.0016327168559655,-0.176711156964302,-0.1403631418943405
redkitchen,train,seq-01,redkitchen/seq-01/frame-000003.color.png,-0.3411037,0.0159721,0.297899,0.9768761,-0.0009994,-0.161245,-0.1403998,-0.3089559376239776,0.0381952039897441,0.3042723834514618,0.9743983745574952,-0.0039580785669386,-0.1761574298143386,-0.1396452337503433
redkitchen,train,seq-01,redkitchen/seq-01/frame-000006.color.png,-0.3426531,0.0146816,0.2987893,0.9768838,-0.0007202999999999,-0.1624642,-0.1389352,-0.3219548761844635,0.0393496565520763,0.2769448459148407,0.9741951823234558,-0.0012606458039954,-0.1779209673404693,-0.1388752609491348
redkitchen,train,seq-01,redkitchen/seq-01/frame-000007.color.png,-0.3430975,0.0147512,0.2993579,0.9767006,-0.0009015,-0.1627968,-0.1398296,-0.3318374752998352,0.050086323171854,0.2817980051040649,0.9734345078468324,-0.0014823457458987,-0.1785715222358703,-0.1433014571666717
redkitchen,train,seq-01,redkitchen/seq-01/frame-000008.color.png,-0.3428791,0.0125491,0.2999114,0.9765058,-0.0016921,-0.1628363,-0.1411305,-0.3226946592330932,0.0440417453646659,0.2848954200744629,0.9731025099754332,4.0388429624727e-05,-0.1792147308588028,-0.1447535157203674
redkitchen,train,seq-01,redkitchen/seq-01/frame-000009.color.png,-0.344308,0.0116771,0.3004254,0.9763979,-0.0013163,-0.1629931,-0.1416989,-0.3316657841205597,0.0461930222809314,0.2787205874919891,0.9731191396713256,-0.0033122883178293,-0.1780473589897155,-0.1460385918617248
redkitchen,train,seq-01,redkitchen/seq-01/frame-000013.color.png,-0.3504955,0.0086697,0.3017629000000001,0.9753245,0.0001791,-0.1663196,-0.1451887999999999,-0.3340097963809967,0.0474985800683498,0.265378326177597,0.9721158742904664,-0.000501146307215,-0.1819489449262619,-0.1479363739490509
redkitchen,train,seq-01,redkitchen/seq-01/frame-000014.color.png,-0.3510014,0.0077848,0.3021782,0.9750423,0.0012212,-0.1670927,-0.1461883,-0.346541166305542,0.0440965332090854,0.2622358798980713,0.9716876745224,0.0056933648884296,-0.1864904016256332,-0.1449542343616485
redkitchen,train,seq-01,redkitchen/seq-01/frame-000015.color.png,-0.351798,0.0084354,0.3030195,0.9747914,0.0022337,-0.1679178999999999,-0.1469021,-0.366195946931839,0.0415367744863033,0.2716904282569885,0.9729062914848328,0.0020792046561837,-0.1788184642791748,-0.1465364545583725
redkitchen,train,seq-01,redkitchen/seq-01/frame-000017.color.png,-0.3552220999999999,0.0064992,0.3037401,0.9745197,0.0026806,-0.1687829,-0.147704,-0.3701876401901245,0.0424155332148075,0.2725566029548645,0.9719181060791016,-0.0004670282942242,-0.1870641857385635,-0.1427655071020126
redkitchen,train,seq-01,redkitchen/seq-01/frame-000019.color.png,-0.3578455,0.0062701,0.3044364,0.9742726,0.0032749,-0.170279,-0.1476047999999999,-0.3763946294784546,0.0360865406692028,0.2703735828399658,0.9712878465652466,-0.0055948323570191,-0.1894564628601074,-0.1437874436378479
