scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
stairs,train,seq-02,stairs/seq-02/frame-000000.color.png,-0.0635736,-0.8734909,-0.1480201,0.9297232,-0.2467523,-0.2324045,-0.1439312999999999,-0.0968371108174324,-0.8751908540725708,-0.1565734893083572,0.9275488257408142,-0.2444284558296203,-0.2483776360750198,-0.134968414902687
stairs,train,seq-02,stairs/seq-02/frame-000002.color.png,-0.0631224,-0.8688132,-0.1509844,0.9300688,-0.2443385,-0.2337637,-0.1436148,-0.1115153580904007,-0.8800117373466492,-0.1433489024639129,0.9274225234985352,-0.2391468435525894,-0.2546862065792084,-0.1335332095623016
stairs,train,seq-02,stairs/seq-02/frame-000005.color.png,-0.0614587,-0.8671803,-0.1507873,0.9302279,-0.24379,-0.2337537,-0.1435327,-0.1046551391482353,-0.8887463808059692,-0.1562983691692352,0.9280563592910768,-0.2442518919706344,-0.2460769563913345,-0.1360095292329788
stairs,train,seq-02,stairs/seq-02/frame-000008.color.png,-0.0599036,-0.8663073,-0.1498348,0.9283022,-0.2442654,-0.2400367,-0.1448165,-0.0670570731163024,-0.8799013495445251,-0.1375979483127594,0.9272319078445436,-0.2406398653984069,-0.2519885301589966,-0.1372414976358413
stairs,train,seq-02,stairs/seq-02/frame-000009.color.png,-0.0618877,-0.8653405000000001,-0.1523072,0.9287521,-0.244031,-0.2388839,-0.1442322999999999,-0.080660343170166,-0.8748856782913208,-0.1332902461290359,0.9286613464355468,-0.2389893233776092,-0.2492157369852066,-0.135512962937355
stairs,train,seq-02,stairs/seq-02/frame-000012.color.png,-0.0607358,-0.8644924999999999,-0.1539312,0.9287022,-0.2431526,-0.2405577,-0.1432516,-0.0864129066467285,-0.882337212562561,-0.1368511319160461,0.9265852570533752,-0.242095485329628,-0.2529929876327514,-0.1372008919715881
stairs,train,seq-02,stairs/seq-02/frame-000013.color.png,-0.0595609,-0.8649658000000001,-0.1519384,0.9290804,-0.2426521,-0.2395606,-0.143319,-0.0751455798745155,-0.8808622360229492,-0.1286783963441848,0.9283811450004578,-0.2377947717905044,-0.2509332001209259,-0.1363618224859237
stairs,train,seq-02,stairs/seq-02/frame-000016.color.png,-0.0583009,-0.8654231,-0.1512355,0.9296014,-0.2394031,-0.2412486,-0.1425708999999999,-0.0614376217126846,-0.8642298579216003,-0.1254593580961227,0.9279350638389589,-0.2372784614562988,-0.2531944215297699,-0.1361176371574401
stairs,train,seq-02,stairs/seq-02/frame-000020.color.png,-0.0560871,-0.8650389999999999,-0.1442548,0.9302521,-0.2337232,-0.2453558,-0.1407306,-0.0794539898633956,-0.8851165771484375,-0.1388594806194305,0.9296138882637024,-0.232313647866249,-0.251392662525177,-0.1365655958652496
stairs,train,seq-02,stairs/seq-02/frame-000022.color.png,-0.0567775,-0.8649030000000001,-0.141841,0.9308909,-0.2323806,-0.2452986,-0.1388162,-0.0884829238057136,-0.8913184404373169,-0.1325015574693679,0.9290990233421326,-0.2348537594079971,-0.2506589591503143,-0.137072205543518
