scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
fire,train,seq-01,fire/seq-01/frame-000001.color.png,-0.227498,-0.290183,0.2844273,0.9791104,-0.1976137,-0.028041,0.0387977,-0.2243587672710418,-0.2684192061424255,0.3038649559020996,0.9794943928718568,-0.1943838894367218,-0.0249730516225099,0.0467126667499542
fire,train,seq-01,fire/seq-01/frame-000002.color.png,-0.2299701,-0.2888155,0.2840725,0.9789752,-0.1982397,-0.0289441,0.0383518,-0.2142565101385116,-0.2727937996387481,0.2955681979656219,0.9788475632667542,-0.1983230859041214,-0.0199125483632087,0.0461412593722343
fire,train,seq-01,fire/seq-01/frame-000004.color.png,-0.2346524,-0.2884684,0.2831906,0.9784133,-0.2006967,-0.0320175,0.0374584,-0.2267818301916122,-0.2722879648208618,0.2835473716259002,0.9787390232086182,-0.1977480500936508,-0.0345920957624912,0.0420610383152961
fire,train,seq-01,fire/seq-01/frame-000005.color.png,-0.2376684,-0.2886435,0.2828648,0.9782376,-0.2015974,-0.0330196,0.0363239,-0.2225252985954284,-0.2803949117660522,0.2827532291412353,0.9772554636001588,-0.2054299712181091,-0.0362022705376148,0.0382066071033477
fire,train,seq-01,fire/seq-01/frame-000006.color.png,-0.2399279,-0.2875133,0.2824265,0.9781685,-0.2018102,-0.034423,0.035695,-0.2395320683717727,-0.2950575947761535,0.2792055606842041,0.9763969779014589,-0.2103929370641708,-0.0318822115659713,0.0369756408035755
fire,train,seq-01,fire/seq-01/frame-000011.color.png,-0.259443,-0.2848571,0.2790569,0.9770242,-0.2083279,-0.032819,0.0307585,-0.2574374675750732,-0.2841740548610687,0.2780134081840515,0.9765032529830932,-0.2085895985364914,-0.0373916551470756,0.0391619279980659
fire,train,seq-01,fire/seq-01/frame-000013.color.png,-0.2707905,-0.2866881,0.277695,0.9761783000000002,-0.2124542,-0.0313562,0.0309167,-0.2704440951347351,-0.2928155362606048,0.2738447189331054,0.9753898978233336,-0.2160371243953704,-0.0207217279821634,0.038897193968296
fire,train,seq-01,fire/seq-01/frame-000016.color.png,-0.2881734,-0.2902258,0.2759826,0.9758648,-0.214816,-0.0264305,0.029042,-0.2873353660106659,-0.3032599091529846,0.2722357213497162,0.9764431118965148,-0.2108543962240219,-0.0286993104964494,0.0357165932655334
fire,train,seq-01,fire/seq-01/frame-000017.color.png,-0.2943184,-0.2891379000000001,0.2751842,0.976112,-0.2138639,-0.0253983,0.0286779,-0.2962990403175354,-0.2986812889575958,0.2633966207504272,0.9768252968788148,-0.2095897644758224,-0.0220523364841938,0.037391934543848
fire,train,seq-01,fire/seq-01/frame-000018.color.png,-0.3016738,-0.2903272999999999,0.2755167,0.9758236,-0.215427,-0.0225126,0.0291996,-0.3286221325397491,-0.3005116581916809,0.2650640606880188,0.976235032081604,-0.2130031883716583,-0.0156937483698129,0.0367218852043151
