scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
office,train,seq-01,office/seq-01/frame-000001.color.png,-0.9479698,-0.5682691,0.7118095,0.9830289,0.0063733,0.1613144,0.0871281999999999,-1.000443458557129,-0.5370672345161438,0.7445030808448792,0.9864307045936584,0.0170912742614746,0.1345745772123336,0.0924766808748245
office,train,seq-01,office/seq-01/frame-000002.color.png,-0.948219,-0.5667793000000001,0.7127809,0.9830216,0.0072018999999999,0.1610844,0.08757,-1.0156545639038086,-0.5270830988883972,0.7538001537322998,0.9868776798248292,0.0159289464354515,0.1315408647060394,0.0922811850905418
office,train,seq-01,office/seq-01/frame-000005.color.png,-0.9517088,-0.5682887,0.71711,0.9828496,0.0051384,0.1608802999999999,0.0899876999999999,-0.9871608018875122,-0.5357509851455688,0.7507931590080261,0.9850524067878724,0.0096755530685186,0.1417997479438781,0.0973187834024429
office,train,seq-01,office/seq-01/frame-000006.color.png,-0.9503028,-0.5658399000000001,0.7195734,0.983019,0.0046247,0.1598662,0.0899723,-0.9908416867256165,-0.5386781692504883,0.7526882886886597,0.9849626421928406,0.0017052358016371,0.142776757478714,0.0972655788064003
office,train,seq-01,office/seq-01/frame-000010.color.png,-0.952767,-0.5726051,0.731891,0.9821572,-0.0034478,0.1613757,0.0965049,-0.9868159890174866,-0.5272205471992493,0.7533475160598755,0.9861871004104614,0.0029649282805621,0.1284165978431701,0.1045725792646408
office,train,seq-01,office/seq-01/frame-000023.color.png,-0.9564336,-0.6171776999999999,0.7931871,0.9773263,-0.0176429,0.1700138,0.1249695,-0.9841919541358948,-0.6039203405380249,0.7988572120666504,0.978203058242798,-0.0135143110528588,0.1640555411577224,0.1265778243541717
office,train,seq-01,office/seq-01/frame-000024.color.png,-0.9571216,-0.6217732,0.7994762,0.9766052,-0.0203038,0.1725455,0.1267208,-0.9924895763397216,-0.6020585298538208,0.7924983501434326,0.9767853617668152,-0.01758723706007,0.1702111363410949,0.128876581788063
office,train,seq-01,office/seq-01/frame-000026.color.png,-0.9577637,-0.629362,0.8119656,0.976083,-0.0240098,0.1727331,0.1298028,-0.963858723640442,-0.6215969920158386,0.8035145998001099,0.9769720435142516,-0.0127763031050562,0.1651642024517059,0.1344728767871856
office,train,seq-01,office/seq-01/frame-000028.color.png,-0.9527904,-0.6393549,0.8239815999999999,0.9761063,-0.0315837999999999,0.1680011,0.134144,-0.9891402125358582,-0.6293019652366638,0.8229056596755981,0.973555028438568,-0.0416291132569313,0.1716944277286529,0.1448399722576141
office,train,seq-01,office/seq-01/frame-000029.color.png,-0.9501339,-0.6459088000000001,0.8307629000000001,0.9753453,-0.0357599,0.1693756,0.136875,-0.9806806445121764,-0.6400800347328186,0.8281826972961426,0.9756972789764404,-0.0378918722271919,0.1604092270135879,0.1443883329629898
office,train,seq-01,office/seq-01/frame-000030.color.png,-0.9488676,-0.6513365,0.8377595999999999,0.974212,-0.0393838,0.1726092,0.1398787,-0.9986366033554076,-0.6360867619514465,0.8310030698776245,0.9760916829109192,-0.0322786048054695,0.1604512929916381,0.1430331021547317
office,train,seq-01,office/seq-01/frame-000032.color.png,-0.9454285,-0.665482,0.8516541999999999,0.9733017,-0.040227,0.1760474,0.1416791,-0.9583091735839844,-0.6579633951187134,0.8333034515380859,0.973328411579132,-0.0441525913774967,0.1716834455728531,0.1456267088651657
office,train,seq-01,office/seq-01/frame-000033.color.png,-0.9427277,-0.671523,0.8579462999999999,0.9735938,-0.0375167,0.1767767999999999,0.1394902,-0.9523088932037354,-0.6689188480377197,0.8576264977455139,0.973829984664917,-0.0326050110161304,0.1731007248163223,0.1436255723237991
office,train,seq-01,office/seq-01/frame-000035.color.png,-0.9408203000000002,-0.6798896,0.8692436,0.9733767,-0.0347123,0.1796741,0.138022,-0.9497616291046144,-0.6799095273017883,0.8689333200454712,0.9753254055976868,-0.0324147492647171,0.1661159694194793,0.1417568176984787
office,train,seq-01,office/seq-01/frame-000039.color.png,-0.934918,-0.6970698000000001,0.8925036,0.9699115,-0.0388523,0.191542,0.145168,-0.9492495656013488,-0.692477285861969,0.8792531490325928,0.9710133075714112,-0.0392786227166652,0.18416428565979,0.1472205370664596
office,train,seq-01,office/seq-01/frame-000040.color.png,-0.9337535,-0.7026119000000001,0.8988761000000001,0.9694115,-0.0386657,0.1941865,0.1450445,-0.9480494856834412,-0.7092543840408325,0.8981015086174011,0.971284806728363,-0.0352738089859485,0.1855306774377823,0.1447067558765411
office,train,seq-01,office/seq-01/frame-000041.color.png,-0.9305362,-0.7058026999999999,0.904533,0.9690705,-0.038879,0.1957712,0.145136,-0.957771360874176,-0.6982698440551758,0.9101381897926332,0.9706503748893738,-0.0346059799194335,0.1904439181089401,0.1427280604839325
office,train,seq-01,office/seq-01/frame-000046.color.png,-0.9216636,-0.7270926999999999,0.9364532,0.9662915,-0.0454021,0.203177,0.1514549,-0.94890958070755,-0.7196958065032959,0.95815509557724,0.9692323803901672,-0.0477265790104866,0.1914275735616684,0.1471942961215973
office,train,seq-01,office/seq-01/frame-000047.color.png,-0.9192163,-0.7327060999999999,0.9427275,0.9651868,-0.0480799,0.2059001,0.1539736,-0.934094488620758,-0.7161381244659424,0.951354444026947,0.9693223237991332,-0.054381001740694,0.1834517419338226,0.1542803943157196
office,train,seq-01,office/seq-01/frame-000048.color.png,-0.9198395,-0.7366255,0.950054,0.9641549,-0.0508765,0.2087515,0.155691,-0.9384098052978516,-0.7157155871391296,0.9549916386604308,0.967146635055542,-0.0584569834172725,0.1916997879743576,0.1564011722803115
office,train,seq-01,office/seq-01/frame-000051.color.png,-0.9116825,-0.7552631,0.9692003,0.9648064,-0.0468205,0.2105636,0.1503975,-0.9108601808547974,-0.7524731159210205,0.9785429239273072,0.970114767551422,-0.0575133375823497,0.1852025389671325,0.1458411961793899
office,train,seq-01,office/seq-01/frame-000053.color.png,-0.9028478,-0.7658729999999999,0.9784282,0.9635361,-0.0498528,0.2152643,0.1509114,-0.920613706111908,-0.752849817276001,0.9717797040939332,0.9699786901474,-0.0600122958421707,0.1878997683525085,0.1422445625066757
