scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000000.color.png,-0.1733671,-0.4159191,-0.2764086,0.9891019,-0.0760846999999999,-0.1254458,-0.0123273,-0.2199325263500213,-0.4741112887859344,-0.2202530205249786,0.9847033619880676,-0.1133460700511932,-0.1315755397081375,-0.0141360471025109
pumpkin,train,seq-02,pumpkin/seq-02/frame-000001.color.png,-0.1799657999999999,-0.4241794,-0.2900312,0.9901971,-0.0628316,-0.1245038,-0.0077959,-0.1927595138549804,-0.4774385988712311,-0.2969923317432403,0.987334966659546,-0.0865789428353309,-0.1328173130750656,-0.0057636043056845
pumpkin,train,seq-02,pumpkin/seq-02/frame-000002.color.png,-0.1727657,-0.427743,-0.2914164,0.9899297,-0.0614055,-0.1275425,-0.001203,-0.2080617100000381,-0.4559792280197143,-0.3138601779937744,0.9872397780418396,-0.0750250965356826,-0.1404545903205871,-0.00116807827726
pumpkin,train,seq-02,pumpkin/seq-02/frame-000003.color.png,-0.1787973,-0.4192076,-0.3007671,0.9899749,-0.056133,-0.1291347,0.0110891,-0.1904731541872024,-0.4418293535709381,-0.3351851999759674,0.9873136281967164,-0.0795502215623855,-0.1365765035152435,0.0151794264093041
pumpkin,train,seq-02,pumpkin/seq-02/frame-000005.color.png,-0.1732432,-0.4304124,-0.3089561,0.9896558,-0.0562401999999999,-0.1311113,0.0151064,-0.2052519470453262,-0.4453079104423523,-0.3408244252204895,0.9879564642906188,-0.0618005767464637,-0.1402915567159652,0.0209990609437227
pumpkin,train,seq-02,pumpkin/seq-02/frame-000007.color.png,-0.1741264,-0.4253405,-0.323491,0.9896276,-0.0420733,-0.1339208999999999,0.0305333,-0.169978529214859,-0.4568306803703308,-0.3435282707214355,0.987493097782135,-0.057680282741785,-0.1386831700801849,0.0479296818375587
pumpkin,train,seq-02,pumpkin/seq-02/frame-000009.color.png,-0.1654151,-0.4306348,-0.3328591,0.9890486,-0.0410598,-0.1387854,0.0289055,-0.1930980533361435,-0.4669829308986664,-0.3927220106124878,0.9864133596420288,-0.0596677027642726,-0.1492091566324234,0.0341343693435192
pumpkin,train,seq-02,pumpkin/seq-02/frame-000011.color.png,-0.1642152,-0.4324102,-0.3423726,0.9892529,-0.0357701,-0.1391188,0.0272995,-0.1544611454010009,-0.4667378664016723,-0.3654839098453522,0.9861506223678588,-0.0554654635488987,-0.153219848871231,0.0308901127427816
pumpkin,train,seq-02,pumpkin/seq-02/frame-000013.color.png,-0.1623925,-0.4526261,-0.3538273,0.9880939,-0.030746,-0.147255,0.0322656,-0.1509865969419479,-0.5082027912139893,-0.3144859969615936,0.9874011278152466,-0.042183868587017,-0.1481619626283645,0.0361609011888504
pumpkin,train,seq-02,pumpkin/seq-02/frame-000014.color.png,-0.1570785,-0.447483,-0.3569370999999999,0.9868631,-0.0215131,-0.1561406,0.0354772,-0.1205780282616615,-0.469349592924118,-0.4019431173801422,0.98672753572464,-0.0366391986608505,-0.1533154547214508,0.0389959774911403
pumpkin,train,seq-02,pumpkin/seq-02/frame-000017.color.png,-0.1578207999999999,-0.4747405,-0.3729277,0.9878296999999998,-0.0241312,-0.1517533999999999,0.0241037,-0.1200508698821067,-0.5177968144416809,-0.4267772734165191,0.9849236011505128,-0.0453126281499862,-0.1644748300313949,0.0286404937505722
pumpkin,train,seq-02,pumpkin/seq-02/frame-000018.color.png,-0.1572044,-0.4743777,-0.3724706,0.9873315,-0.0218884,-0.1544743999999999,0.0288968,-0.1428227126598358,-0.4908356368541717,-0.4292825758457184,0.983795702457428,-0.0296610537916421,-0.1737698763608932,0.0327142849564552
pumpkin,train,seq-02,pumpkin/seq-02/frame-000021.color.png,-0.1655405999999999,-0.4910222,-0.3768446,0.9875638,-0.0100439,-0.1540411,0.0298023,-0.1292721033096313,-0.5209816098213196,-0.4784769713878631,0.9842748045921326,-0.0302936732769012,-0.1714930236339569,0.0295911040157079
pumpkin,train,seq-02,pumpkin/seq-02/frame-000025.color.png,-0.1812694,-0.5346251999999999,-0.372873,0.9868369,-0.0544023,-0.1469785,0.0398818,-0.1322150230407714,-0.5498436093330383,-0.43424853682518,0.9890424013137816,-0.0518320500850677,-0.1339443027973175,0.0341689139604568
pumpkin,train,seq-02,pumpkin/seq-02/frame-000026.color.png,-0.1891412,-0.5513520000000001,-0.3645326,0.9770568,-0.0687363999999999,-0.1787332999999999,0.0932185,-0.1907374411821365,-0.541723906993866,-0.2749519050121307,0.9802036881446838,-0.0439901612699031,-0.1655250340700149,0.0993325337767601
pumpkin,train,seq-02,pumpkin/seq-02/frame-000028.color.png,-0.1554871,-0.5613371,-0.3276671,0.9648053,-0.0703922,-0.2264345,0.1136794,-0.1724542826414108,-0.5247648358345032,-0.350974828004837,0.952922224998474,-0.0786302089691162,-0.2645594477653503,0.1255580484867096
pumpkin,train,seq-02,pumpkin/seq-02/frame-000029.color.png,-0.170741,-0.5684587,-0.329796,0.9726208,-0.0667953,-0.2069768,0.0819013999999999,-0.1952589154243469,-0.5288682579994202,-0.3343827426433563,0.968449056148529,-0.052683737128973,-0.2198792695999145,0.1048046797513961
pumpkin,train,seq-02,pumpkin/seq-02/frame-000031.color.png,-0.1947263,-0.5856975,-0.3216772,0.9737209,-0.0759643999999999,-0.2035443,0.0683141999999999,-0.1421151906251907,-0.5930509567260742,-0.4337279200553894,0.97432941198349,-0.0658731460571289,-0.203729823231697,0.0695477128028869
pumpkin,train,seq-02,pumpkin/seq-02/frame-000032.color.png,-0.1942869,-0.5988971,-0.3170771,0.9719461,-0.0787359,-0.2103769,0.0697352,-0.1779556721448898,-0.5657682418823242,-0.3531745970249176,0.9686736464500428,-0.0676805898547172,-0.2240333408117294,0.0830646455287933
pumpkin,train,seq-02,pumpkin/seq-02/frame-000034.color.png,-0.1995268,-0.6126106,-0.3062697,0.9703999,-0.083075,-0.2168297,0.0663891,-0.1237338185310363,-0.5890823006629944,-0.3906587660312652,0.9710087776184082,-0.0831948965787887,-0.2153059840202331,0.0621603280305862
pumpkin,train,seq-02,pumpkin/seq-02/frame-000038.color.png,-0.2139544,-0.6496034,-0.2905353,0.9687167,-0.082798,-0.2278324,0.0531502,-0.1521763801574707,-0.599663496017456,-0.3780467808246612,0.9721233248710632,-0.080764889717102,-0.2114063799381256,0.0613238029181957
pumpkin,train,seq-02,pumpkin/seq-02/frame-000039.color.png,-0.2200939,-0.6623452,-0.2930073,0.9702632,-0.0793886999999999,-0.223723,0.0472743,-0.1733082979917526,-0.6349992752075195,-0.4261727035045624,0.9723377823829652,-0.0868603438138961,-0.2122794240713119,0.0441819950938224
pumpkin,train,seq-02,pumpkin/seq-02/frame-000041.color.png,-0.2349231,-0.6613187,-0.2836077,0.9708203,-0.0912639,-0.2195866,0.0309924,-0.1874749958515167,-0.7319060564041138,-0.3269108533859253,0.9768342971801758,-0.0933614000678062,-0.1910480707883834,0.0240623168647289
pumpkin,train,seq-02,pumpkin/seq-02/frame-000042.color.png,-0.2430814,-0.683081,-0.2877161,0.9718124,-0.098796,-0.213077,0.0204505,-0.2255854457616806,-0.6871839761734009,-0.3582369983196258,0.976389229297638,-0.0848026648163795,-0.1972623020410537,0.0236693676561117
pumpkin,train,seq-02,pumpkin/seq-02/frame-000043.color.png,-0.2572041,-0.6904140999999999,-0.292794,0.9745212,-0.0990987,-0.2011794,0.0038451,-0.2711109519004822,-0.6983642578125,-0.3895265161991119,0.9736402630805968,-0.1185583472251892,-0.1946250945329666,0.0094629675149917
pumpkin,train,seq-02,pumpkin/seq-02/frame-000044.color.png,-0.2639645,-0.7048559,-0.2950183,0.9752506,-0.10013,-0.1970795,-0.0044578999999999,-0.2851772308349609,-0.7082018256187439,-0.3751596212387085,0.9766100645065308,-0.1152704060077667,-0.1814028769731521,-0.0062114102765917
pumpkin,train,seq-02,pumpkin/seq-02/frame-000045.color.png,-0.2746265,-0.7121541,-0.2995478,0.9768677,-0.0998856,-0.1885495,-0.0141939,-0.324638694524765,-0.7089086174964905,-0.363266110420227,0.975643277168274,-0.1249132677912712,-0.1797241121530532,-0.0146972918882966
pumpkin,train,seq-02,pumpkin/seq-02/frame-000046.color.png,-0.2797282,-0.7208741999999999,-0.3017589,0.9773851999999998,-0.0997715,-0.1852781,-0.020877,-0.3257127106189728,-0.7127936482429504,-0.3604961335659027,0.9761853218078612,-0.1192624270915985,-0.1798973679542541,-0.0218102876096963
pumpkin,train,seq-02,pumpkin/seq-02/frame-000047.color.png,-0.2888484000000001,-0.7334416,-0.3046802,0.9786006,-0.0995837,-0.1767548,-0.0343751999999999,-0.3174084424972534,-0.7126434445381165,-0.3739311993122101,0.9781500697135924,-0.123307891190052,-0.1641047000885009,-0.0329728983342647
pumpkin,train,seq-02,pumpkin/seq-02/frame-000049.color.png,-0.2994319,-0.7434089,-0.3098973,0.9803346,-0.0971676,-0.1658066,-0.0448418,-0.2877064049243927,-0.7333296537399292,-0.3959562182426452,0.9776524901390076,-0.1028558164834976,-0.1792370975017547,-0.0386056490242481
pumpkin,train,seq-02,pumpkin/seq-02/frame-000051.color.png,-0.3005571,-0.7548478,-0.3098493,0.9790287,-0.1028255,-0.1714529,-0.0391618,-0.3278512954711914,-0.7489034533500671,-0.3704189956188202,0.9828882217407228,-0.103934958577156,-0.1460245996713638,-0.0424856059253215
pumpkin,train,seq-02,pumpkin/seq-02/frame-000053.color.png,-0.2918518,-0.7734850999999999,-0.3060169,0.9751046999999998,-0.1261515,-0.1795655,-0.0318245,-0.3051495552062988,-0.8018885254859924,-0.3891098201274872,0.976784884929657,-0.1224913075566291,-0.1731574684381485,-0.0300613697618246
pumpkin,train,seq-02,pumpkin/seq-02/frame-000054.color.png,-0.3052272,-0.7901916999999999,-0.3139565,0.9745852,-0.1364033999999999,-0.1738527,-0.0367833,-0.3096371293067932,-0.7947968244552612,-0.3543364703655243,0.97401225566864,-0.1279124766588211,-0.1850249022245407,-0.0265370514243841
pumpkin,train,seq-02,pumpkin/seq-02/frame-000057.color.png,-0.3125257,-0.8080759,-0.3275778,0.9752684,-0.1474741,-0.1578453,-0.0467739,-0.2947128415107727,-0.7927128672599792,-0.3961377143859863,0.9762814044952391,-0.1213529482483863,-0.1720781773328781,-0.050371266901493
pumpkin,train,seq-02,pumpkin/seq-02/frame-000058.color.png,-0.312326,-0.8214197,-0.330093,0.9743748,-0.1534527,-0.1574634,-0.0474483,-0.3139843344688415,-0.8069695830345154,-0.3993679583072662,0.9753953218460084,-0.1343912333250045,-0.1697729676961898,-0.0414745397865772
pumpkin,train,seq-02,pumpkin/seq-02/frame-000059.color.png,-0.3104178,-0.8222895,-0.3333694,0.9739632,-0.1557299,-0.1576962,-0.0477042,-0.3035902678966522,-0.8158015608787537,-0.4054946899414062,0.9774750471115112,-0.1380835473537445,-0.1534330546855926,-0.0439744219183921
pumpkin,train,seq-02,pumpkin/seq-02/frame-000061.color.png,-0.3078692,-0.8511521000000001,-0.346251,0.9715476,-0.1692153,-0.1556213,-0.0569511,-0.2742171585559845,-0.8366092443466187,-0.4223552048206329,0.9697047472000122,-0.1477748155593872,-0.1864297240972519,-0.0554921366274356
pumpkin,train,seq-02,pumpkin/seq-02/frame-000062.color.png,-0.3030344,-0.863195,-0.349175,0.9710757,-0.1717462,-0.1552982,-0.05829,-0.2555894553661346,-0.8375756740570068,-0.4023602902889251,0.9726619720458984,-0.1511497944593429,-0.1679654717445373,-0.0535722002387046
pumpkin,train,seq-02,pumpkin/seq-02/frame-000066.color.png,-0.2891147999999999,-0.9166435,-0.3863125,0.9751143,-0.1613183,-0.1441305,-0.048527,-0.2807803452014923,-0.8879629969596863,-0.455079048871994,0.9792949557304382,-0.1222980096936225,-0.1549060940742492,-0.0450418815016746
pumpkin,train,seq-02,pumpkin/seq-02/frame-000067.color.png,-0.2851054,-0.9274839,-0.3925596,0.9765832,-0.1535466,-0.1430849,-0.0472805,-0.2883179187774658,-0.8852000832557678,-0.3629581034183502,0.9808247089385986,-0.1084173917770385,-0.1530164331197738,-0.0530526153743267
