scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
chess,train,seq-01,chess/seq-01/frame-000000.color.png,-0.1232336,-1.1206967,-0.9887058,0.9951854,-0.0964216,0.0164349999999999,0.0062336,-0.16451133787631989,-1.228187918663025,-1.185929298400879,0.9939380884170532,-0.10966020077466965,0.006342879496514797,0.004642014857381582
chess,train,seq-01,chess/seq-01/frame-000001.color.png,-0.1363182,-1.1221371999999998,-0.9885462,0.99494,-0.0980536,0.0205718,0.0075346999999999,-0.13733024895191193,-1.224204659461975,-1.2182761430740356,0.9939962029457092,-0.10898208618164062,0.008175177499651909,0.005260702688246965
chess,train,seq-01,chess/seq-01/frame-000003.color.png,-0.1365391,-1.1211194,-0.9898343,0.9950472,-0.0969768,0.0201637,0.0083681,-0.14201544225215912,-1.2436988353729248,-1.198219895362854,0.9934841990470886,-0.11354406923055649,0.008686902932822704,0.004635648801922798
chess,train,seq-01,chess/seq-01/frame-000004.color.png,-0.134945,-1.1228701,-0.9895924,0.9950009,-0.0974973,0.0197879,0.0087176,-0.12750275433063507,-1.2475084066390991,-1.2110930681228638,0.9935457110404968,-0.11305119097232819,0.007627483457326889,0.005308591295033693
chess,train,seq-01,chess/seq-01/frame-000005.color.png,-0.1364255,-1.1226691999999998,-0.9904397,0.9950362,-0.096971,0.0207072,0.0084105,-0.15493609011173248,-1.2278543710708618,-1.1992202997207642,0.9938604831695557,-0.11038749665021896,0.006561711896210909,0.0035928559955209494
chess,train,seq-01,chess/seq-01/frame-000006.color.png,-0.1364462,-1.1213685,-0.989138,0.9950173,-0.0973491,0.019804,0.0084555999999999,-0.14905202388763428,-1.2501364946365356,-1.2044286727905273,0.9936529397964478,-0.11209367215633392,0.008157896809279919,0.004727503750473261
chess,train,seq-01,chess/seq-01/frame-000008.color.png,-0.1368657,-1.122393,-0.9885461,0.9950086,-0.0974948,0.0199403,0.0074157,-0.14293305575847626,-1.2370785474777222,-1.1950511932373047,0.9935824871063232,-0.11278031766414642,0.007708027958869934,0.003887553932145238
chess,train,seq-01,chess/seq-01/frame-000009.color.png,-0.1388579,-1.122363,-0.9885281,0.9949235,-0.0983948,0.0201616,0.0062541,-0.12098308652639389,-1.2346359491348267,-1.2289321422576904,0.9940692782402039,-0.10846778005361557,0.005667874589562416,0.005366859026253223
chess,train,seq-01,chess/seq-01/frame-000014.color.png,-0.1410921,-1.1212137,-0.9836087,0.9948315,-0.0996396,0.0190029,0.0046025,-0.18237115442752838,-1.2464078664779663,-1.1721675395965576,0.9936757683753967,-0.11178820580244064,0.009750050492584705,0.004112158436328173
chess,train,seq-01,chess/seq-01/frame-000016.color.png,-0.1358068,-1.118425,-0.9779997,0.9949539,-0.0988245,0.0160239,0.0066111999999999,-0.17680849134922028,-1.2574907541275024,-1.178189992904663,0.9938825964927673,-0.1084739938378334,0.014929870143532753,0.014414872042834759
