scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
chess,train,seq-01,chess/seq-01/frame-000002.color.png,-0.1361079999999999,-1.1223994,-0.9894664,0.9948224,-0.0991823,0.0209639,0.0071901,-0.16499127447605133,-1.2307759523391724,-1.188572883605957,0.9939765930175781,-0.10841215401887894,0.013441993854939938,0.008755438029766083
chess,train,seq-01,chess/seq-01/frame-000007.color.png,-0.1369529,-1.1211686,-0.9894373,0.9950058,-0.0975395,0.0196661,0.0079242,-0.13844062387943268,-1.2547482252120972,-1.1913259029388428,0.9937609434127808,-0.11105833947658539,0.008937612175941467,0.005037603434175253
chess,train,seq-01,chess/seq-01/frame-000010.color.png,-0.1391464,-1.1227895,-0.9880539,0.994843,-0.0993461,0.019948,0.0044611999999999,-0.14601057767868042,-1.2325276136398315,-1.213895559310913,0.9937902688980103,-0.11053546518087387,0.009982683695852757,0.007947814650833607
chess,train,seq-01,chess/seq-01/frame-000011.color.png,-0.1414003,-1.123078,-0.986697,0.9948957,-0.0989334,0.0194701,0.0039619,-0.15793408453464508,-1.2459691762924194,-1.1836436986923218,0.9938644766807556,-0.11006519943475723,0.008161135017871857,0.007244066800922155
chess,train,seq-01,chess/seq-01/frame-000012.color.png,-0.1391312,-1.122391,-0.9865213,0.9948671,-0.0993997,0.0184194,0.0044652,-0.17179936170578003,-1.244964599609375,-1.2050611972808838,0.9940789937973022,-0.10822030156850815,0.008099084720015526,0.005453421268612146
chess,train,seq-01,chess/seq-01/frame-000013.color.png,-0.1415809999999999,-1.1220063,-0.9854159,0.9948103,-0.0997914,0.0193465,0.0044662,-0.17098800837993622,-1.2536864280700684,-1.1740198135375977,0.9934689402580261,-0.11345820873975754,0.010746817104518414,0.005583849269896746
chess,train,seq-01,chess/seq-01/frame-000015.color.png,-0.1393527,-1.1210533,-0.9818442,0.9947594,-0.1004882,0.0183954,0.0041722,-0.19250448048114777,-1.2435356378555298,-1.1882705688476562,0.9936238527297974,-0.11246050149202347,0.0066315410658717155,0.0044935583136975765
chess,train,seq-01,chess/seq-01/frame-000018.color.png,-0.1315225,-1.1189275,-0.9671502,0.9944829,-0.1039698,0.0111961,0.0082907,-0.19889505207538605,-1.2482666969299316,-1.162179708480835,0.9934627413749695,-0.11187873035669327,0.020726211369037628,0.009234756231307983
chess,train,seq-01,chess/seq-01/frame-000019.color.png,-0.1317173999999999,-1.1218071000000005,-0.9634358,0.9942215,-0.1062601,0.0119768,0.0094327999999999,-0.20981083810329437,-1.2566264867782593,-1.1802747249603271,0.9933675527572632,-0.11249791830778122,0.01885545626282692,0.014476988464593887
chess,train,seq-01,chess/seq-01/frame-000024.color.png,-0.1296266,-1.1259482,-0.9334106,0.9930105,-0.1164403,0.009279,0.0169021,-0.19275589287281036,-1.3044817447662354,-1.123241901397705,0.9918700456619263,-0.12313434481620789,0.025839272886514664,0.01907886564731598
chess,train,seq-01,chess/seq-01/frame-000026.color.png,-0.1311229,-1.1262256000000002,-0.9165878,0.9923493,-0.1217252,0.0085751,0.0187712,-0.19356809556484222,-1.3076156377792358,-1.0986597537994385,0.9912999868392944,-0.12764495611190796,0.025012239813804626,0.020138468593358994
chess,train,seq-01,chess/seq-01/frame-000027.color.png,-0.1318491,-1.1264154,-0.912442,0.9922013,-0.122874,0.0085231,0.0191314,-0.18107274174690247,-1.3101634979248047,-1.1019845008850098,0.9914051294326782,-0.1269109547138214,0.02422082982957363,0.020561153069138527
chess,train,seq-01,chess/seq-01/frame-000035.color.png,-0.1302111,-1.1226672,-0.8490424000000001,0.9892668,-0.1411713,0.0138408,0.035077,-0.20114454627037048,-1.3260884284973145,-0.9856969118118286,0.9885464310646057,-0.145165354013443,0.02539750002324581,0.03252553939819336
chess,train,seq-01,chess/seq-01/frame-000036.color.png,-0.1309799,-1.1210421,-0.8395315000000001,0.989045,-0.1427973,0.0141322,0.0346306,-0.20491255819797516,-1.3218272924423218,-0.9619965553283691,0.9877058863639832,-0.15029950439929962,0.024798192083835602,0.03510444238781929
chess,train,seq-01,chess/seq-01/frame-000038.color.png,-0.133964,-1.1200695,-0.8237482,0.9882829,-0.1471557,0.0195655,0.0354865,-0.20204177498817444,-1.2552562952041626,-0.8813763856887817,0.9866106510162354,-0.1577848643064499,0.020559830591082573,0.03578717261552811
chess,train,seq-01,chess/seq-01/frame-000039.color.png,-0.1336392,-1.1197526000000002,-0.8191496,0.9880423,-0.1486797,0.0197462,0.0357331,-0.20124360918998718,-1.255901575088501,-0.8731284141540527,0.9863466024398804,-0.15924833714962006,0.021211955696344376,0.03619828447699547
chess,train,seq-01,chess/seq-01/frame-000044.color.png,-0.1404706,-1.1142486,-0.7751148,0.9874594,-0.152688,0.0167557,0.0364634,-0.22469006478786469,-1.325688362121582,-0.8464268445968628,0.9856407046318054,-0.1629476249217987,0.0267329178750515,0.035294920206069946
chess,train,seq-01,chess/seq-01/frame-000051.color.png,-0.1384722,-1.1030056,-0.6981273,0.9856422,-0.1604929,0.0085116,0.051759,-0.20901046693325043,-1.311747670173645,-0.8515195846557617,0.9853580594062805,-0.16199618577957153,0.02527805231511593,0.046773288398981094
chess,train,seq-01,chess/seq-01/frame-000052.color.png,-0.1321616,-1.0987736,-0.6806517,0.9851745,-0.1622366,0.0037518,0.0556447,-0.2201773226261139,-1.2499022483825684,-0.8415023684501648,0.9863883852958679,-0.15677699446678162,0.020184945315122604,0.04529324546456337
