scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
heads,train,seq-02,heads/seq-02/frame-000000.color.png,0.0957296,-0.0410821,0.1324871,0.996129,-0.082498,0.0263684,-0.0150289,0.090723916888237,0.03294806182384491,0.10171423852443695,0.9977052807807922,-0.05584385246038437,0.03782526031136513,-0.005905658006668091
heads,train,seq-02,heads/seq-02/frame-000003.color.png,0.0954895,-0.0432784,0.129332,0.9964048,-0.0792678,0.0270606,-0.0127217,0.07959599792957306,0.02624596655368805,0.09582017362117767,0.9978286623954773,-0.05457141250371933,0.03677619248628616,-0.002726662904024124
heads,train,seq-02,heads/seq-02/frame-000005.color.png,0.0959508,-0.0451481,0.1268104,0.9963808,-0.0770362,0.0312475,-0.0177278,0.11672405153512955,0.025937363505363464,0.08857674151659012,0.9978592991828918,-0.0610324926674366,0.01969531923532486,-0.012806515209376812
heads,train,seq-02,heads/seq-02/frame-000009.color.png,0.0971454,-0.0507547,0.1204743,0.9974068,-0.0610752,0.03099,-0.0221173,0.09080605208873749,0.017570964992046356,0.10873660445213318,0.9983128309249878,-0.047569841146469116,0.02940901555120945,-0.015615892596542835
heads,train,seq-02,heads/seq-02/frame-000011.color.png,0.0969875,-0.0513959,0.1195149,0.9974723,-0.0591506,0.0316845,-0.0233753,0.10043945163488388,0.006340555846691132,0.10428017377853394,0.9986060857772827,-0.04459669813513756,0.019450578838586807,-0.02046087756752968
heads,train,seq-02,heads/seq-02/frame-000013.color.png,0.0984181,-0.0535523,0.1162343,0.9975178,-0.0533496,0.0371682,-0.0270275,0.14459101855754852,-0.014326244592666626,0.07519713044166565,0.9983031153678894,-0.048749566078186035,0.025506339967250824,-0.019074492156505585
heads,train,seq-02,heads/seq-02/frame-000017.color.png,0.1003239,-0.0577177,0.1115309,0.9980297,-0.05045,0.0343569,-0.0145286,0.15933233499526978,0.018069356679916382,0.06505635380744934,0.9983507990837097,-0.04535841569304466,0.03424011915922165,-0.008116353303194046
heads,train,seq-02,heads/seq-02/frame-000019.color.png,0.1027932,-0.0622437,0.1042098,0.9984276,-0.045075,0.0326466,-0.0066897999999999,0.1636592447757721,-0.016591306775808334,0.04047346115112305,0.9977840781211853,-0.055769454687833786,0.03595789521932602,-0.004879483953118324
heads,train,seq-02,heads/seq-02/frame-000020.color.png,0.1022306,-0.0619916,0.1043303,0.9984519,-0.0447996,0.0322311,-0.0069209999999999,0.1636592447757721,-0.016591306775808334,0.04047346115112305,0.9977840781211853,-0.055769454687833786,0.03595789521932602,-0.004879483953118324
heads,train,seq-02,heads/seq-02/frame-000022.color.png,0.1059061,-0.0677797,0.0952178,0.9985473,-0.0433965,0.0319079,-0.0013605,0.15730836987495422,-0.029615379869937897,0.042071230709552765,0.9982840418815613,-0.048073627054691315,0.033344876021146774,-0.002476133406162262
heads,train,seq-02,heads/seq-02/frame-000023.color.png,0.1061191,-0.0675928,0.0952546,0.998557,-0.0432422,0.0318125,-0.0013819,0.15730836987495422,-0.029615379869937897,0.042071230709552765,0.9982840418815613,-0.048073627054691315,0.033344876021146774,-0.002476133406162262
heads,train,seq-02,heads/seq-02/frame-000024.color.png,0.1087071,-0.0702358999999999,0.0902937,0.9985623,-0.0447304,0.0295010999999999,0.0015152999999999,0.17399941384792328,-0.022729262709617615,0.060776013880968094,0.9983843564987183,-0.04960351437330246,0.027673425152897835,-0.0015080207958817482
heads,train,seq-02,heads/seq-02/frame-000025.color.png,0.1087078,-0.0704445,0.0903329,0.998556,-0.0448898,0.0294688,0.0015694,0.17399941384792328,-0.022729262709617615,0.060776013880968094,0.9983843564987183,-0.04960351437330246,0.027673425152897835,-0.0015080207958817482
heads,train,seq-02,heads/seq-02/frame-000026.color.png,0.1114336,-0.0749169,0.0849958,0.9984914,-0.0474906,0.0271688,0.0046251,0.17478139698505402,-0.0223812535405159,0.045488860458135605,0.9982882142066956,-0.0505019947886467,0.02948940545320511,0.0008141598664224148
heads,train,seq-02,heads/seq-02/frame-000028.color.png,0.1170187,-0.0811862,0.0747348,0.9986374,-0.0476609,0.0189744,0.0095822,0.18046101927757263,-0.02733425423502922,0.040161676704883575,0.998680591583252,-0.04802446439862251,0.01808391697704792,-0.0019055814482271671
heads,train,seq-02,heads/seq-02/frame-000029.color.png,0.1168766,-0.0814404,0.0747562,0.9986296999999998,-0.0478503,0.0189001,0.0095863,0.18046101927757263,-0.02733425423502922,0.040161676704883575,0.998680591583252,-0.04802446439862251,0.01808391697704792,-0.0019055814482271671
heads,train,seq-02,heads/seq-02/frame-000030.color.png,0.1198052,-0.0840567,0.0702755,0.9985289,-0.051233,0.014153,0.0107162,0.20196181535720825,-0.015372250229120255,0.04359262064099312,0.9990652799606323,-0.041300419718027115,0.01266147568821907,-0.001576462178491056
heads,train,seq-02,heads/seq-02/frame-000031.color.png,0.1228167,-0.087814,0.0658584,0.9983696,-0.0550814,0.0110229,0.0101297,0.23341631889343262,-0.027642332017421722,0.04587765783071518,0.998749852180481,-0.04805361479520798,0.013761836104094982,0.00025208431179635227
heads,train,seq-02,heads/seq-02/frame-000034.color.png,0.1323075,-0.0910001,0.0577650999999999,0.998069,-0.0606912,0.0061574,0.0117061,0.2260359823703766,-0.04910153150558472,0.051301877945661545,0.9988225102424622,-0.04676797240972519,0.012870009988546371,0.000831922865472734
heads,train,seq-02,heads/seq-02/frame-000035.color.png,0.1323394,-0.0908281,0.0577118,0.9980752,-0.0606083,0.0061753,0.0115944,0.2260359823703766,-0.04910153150558472,0.051301877945661545,0.9988225102424622,-0.04676797240972519,0.012870009988546371,0.000831922865472734
heads,train,seq-02,heads/seq-02/frame-000036.color.png,0.1389772,-0.0948718,0.0533001,0.9976762,-0.0664235,0.0023194,0.0149907,0.20776782929897308,-0.03695763647556305,0.05492663383483887,0.9987978339195251,-0.04895715042948723,0.0023961439728736877,-0.0005803615204058588
heads,train,seq-02,heads/seq-02/frame-000038.color.png,0.1448544,-0.0987886,0.0485661,0.9974933,-0.0685107,-0.0013585,0.0176511,0.20505879819393158,-0.028048984706401825,0.028589025139808655,0.9986159801483154,-0.052318256348371506,0.0046211788430809975,0.0027621269691735506
heads,train,seq-02,heads/seq-02/frame-000048.color.png,0.2229499,-0.1145523,0.0126357,0.9965278,-0.0815858999999999,-0.002365,0.0164478,0.27600041031837463,-0.069721519947052,-0.04361710697412491,0.9968119263648987,-0.07891116291284561,0.008807813748717308,0.007839665748178959
heads,train,seq-02,heads/seq-02/frame-000050.color.png,0.2458883,-0.115891,0.0020357,0.9969856,-0.0761386999999999,0.0001264999999999,0.0149178,0.2910953462123871,-0.08552810549736023,-0.028600938618183136,0.9976167678833008,-0.06864583492279053,0.003450993448495865,0.006041287910193205
heads,train,seq-02,heads/seq-02/frame-000052.color.png,0.2638188,-0.1160107,-0.0027275,0.996972,-0.0759796,0.0068092,0.0150839,0.3019174635410309,-0.09649018198251724,-0.07929832488298416,0.9965754151344299,-0.0810524970293045,0.011684995144605637,0.011459607630968094
heads,train,seq-02,heads/seq-02/frame-000055.color.png,0.2961873,-0.1210021,-0.0159216,0.9963908,-0.0809981999999999,0.0069933,0.0244083,0.38225942850112915,-0.08699949830770493,-0.0694844201207161,0.9964176416397095,-0.08284138888120651,0.006079392042011023,0.01588360220193863
heads,train,seq-02,heads/seq-02/frame-000056.color.png,0.2963319,-0.1210631,-0.0159611,0.9963838,-0.0810602,0.0070792,0.0244641,0.38225942850112915,-0.08699949830770493,-0.0694844201207161,0.9964176416397095,-0.08284138888120651,0.006079392042011023,0.01588360220193863
heads,train,seq-02,heads/seq-02/frame-000057.color.png,0.3079394,-0.1217133,-0.02046,0.9963345,-0.0819733,0.0079473,0.0231242,0.3587073087692261,-0.08921471238136292,-0.11952868849039078,0.9964421391487122,-0.08265622705221176,0.005710257682949305,0.015444125980138779
heads,train,seq-02,heads/seq-02/frame-000058.color.png,0.3196425,-0.1235886,-0.0246488,0.9960755,-0.0841543,0.0173541,0.0212266,0.3891562223434448,-0.11491265892982483,-0.15893054008483887,0.9957796335220337,-0.09161785989999771,-0.003292250446975231,0.004265747498720884
heads,train,seq-02,heads/seq-02/frame-000059.color.png,0.3337733,-0.1282713,-0.029657,0.9956757,-0.0860433999999999,0.0296042,0.0187116,0.3135254681110382,-0.09523285180330276,-0.1701008677482605,0.9937068819999695,-0.10850732028484344,0.02401156537234783,0.0140061154961586
heads,train,seq-02,heads/seq-02/frame-000061.color.png,0.346279,-0.1306433,-0.0346471,0.9955553,-0.082912,0.0402941,0.019276,0.4026641547679901,-0.12719467282295227,-0.22401082515716553,0.993069052696228,-0.11045786738395691,0.031065205112099648,0.025454116985201836
heads,train,seq-02,heads/seq-02/frame-000062.color.png,0.3578032,-0.1311924,-0.0395166,0.9954547,-0.0796663,0.046349,0.0239774,0.4655565917491913,-0.1252131313085556,-0.1913512647151947,0.9956392645835876,-0.08598485589027405,0.03198131546378136,0.016918621957302094
heads,train,seq-02,heads/seq-02/frame-000063.color.png,0.3731428,-0.1314365,-0.0446682,0.9951694,-0.0788389999999999,0.0510308,0.0286037,0.4655565917491913,-0.1252131313085556,-0.1913512647151947,0.9956392645835876,-0.08598485589027405,0.03198131546378136,0.016918621957302094
heads,train,seq-02,heads/seq-02/frame-000064.color.png,0.3723259,-0.1315759,-0.0446172,0.9951496,-0.0789343,0.0512272,0.0286785,0.6012340784072876,-0.1344500482082367,-0.21398016810417175,0.9943169355392456,-0.08417054265737534,0.061865855008363724,0.02053419128060341
heads,train,seq-02,heads/seq-02/frame-000065.color.png,0.3853887,-0.1323941,-0.04905,0.9945475,-0.0794986999999999,0.0599591,0.0309868,0.6642695665359497,-0.14377397298812866,-0.22069638967514038,0.9935735464096069,-0.09093407541513443,0.06476783752441406,0.01864750310778618
heads,train,seq-02,heads/seq-02/frame-000067.color.png,0.3967271,-0.1345812,-0.0540415,0.9937037,-0.0815468,0.0704641,0.0306256,0.6564719676971436,-0.11016947776079178,-0.22357869148254395,0.9932411909103394,-0.09382887184619904,0.06443679332733154,0.0227127056568861
heads,train,seq-02,heads/seq-02/frame-000068.color.png,0.4072416,-0.1373945,-0.0579833,0.9927025,-0.0829083,0.0812595,0.0326336,0.709396481513977,-0.1341925710439682,-0.22774770855903625,0.9926247000694275,-0.08665599673986435,0.07735497504472733,0.034687869250774384
heads,train,seq-02,heads/seq-02/frame-000070.color.png,0.4224361,-0.1375448,-0.0638288,0.9915352,-0.0849361,0.0898708,0.0395863,0.7727268934249878,-0.12354208528995514,-0.23551946878433228,0.9894651770591736,-0.08836191892623901,0.10175012052059174,0.052895400673151016
heads,train,seq-02,heads/seq-02/frame-000076.color.png,0.4694714,-0.1441093,-0.0731197,0.9896355,-0.0944482,0.0996361,0.0421159,0.6787998080253601,-0.13160723447799683,-0.21193423867225647,0.988568902015686,-0.07882186770439148,0.11917534470558167,0.04812435060739517
