scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000000.color.png,-0.1733671,-0.4159191,-0.2764086,0.9891019,-0.0760846999999999,-0.1254458,-0.0123273,-0.20584061741828918,-0.6305289268493652,-0.385592520236969,0.9805073142051697,-0.0875013992190361,-0.17542432248592377,-0.013237151317298412
pumpkin,train,seq-02,pumpkin/seq-02/frame-000001.color.png,-0.1799657999999999,-0.4241794,-0.2900312,0.9901971,-0.0628316,-0.1245038,-0.0077959,-0.16562576591968536,-0.58760005235672,-0.43695253133773804,0.986246645450592,-0.0725424662232399,-0.14847500622272491,-0.003221048042178154
pumpkin,train,seq-02,pumpkin/seq-02/frame-000002.color.png,-0.1727657,-0.427743,-0.2914164,0.9899297,-0.0614055,-0.1275425,-0.001203,-0.1736554205417633,-0.5345088839530945,-0.41373181343078613,0.9884283542633057,-0.058609794825315475,-0.13979355990886688,-0.005655994638800621
pumpkin,train,seq-02,pumpkin/seq-02/frame-000003.color.png,-0.1787973,-0.4192076,-0.3007671,0.9899749,-0.056133,-0.1291347,0.0110891,-0.16680985689163208,-0.5174097418785095,-0.4738451838493347,0.9861335158348083,-0.06271038949489594,-0.15325121581554413,0.011057387106120586
pumpkin,train,seq-02,pumpkin/seq-02/frame-000008.color.png,-0.1673681,-0.4234181,-0.3241039,0.9890503,-0.04013,-0.1390678,0.0287963,-0.2429930567741394,-0.5182976722717285,-0.5281524658203125,0.9837691783905029,-0.04648798704147339,-0.17006844282150269,0.03337414935231209
pumpkin,train,seq-02,pumpkin/seq-02/frame-000009.color.png,-0.1654151,-0.4306348,-0.3328591,0.9890486,-0.0410598,-0.1387854,0.0289055,-0.21010656654834747,-0.5409021377563477,-0.4727137088775635,0.9836770296096802,-0.04660891368985176,-0.17187552154064178,0.02580585516989231
pumpkin,train,seq-02,pumpkin/seq-02/frame-000013.color.png,-0.1623925,-0.4526261,-0.3538273,0.9880939,-0.030746,-0.147255,0.0322656,-0.27202945947647095,-0.5158536434173584,-0.5125250220298767,0.9874992966651917,-0.047303903847932816,-0.144692063331604,0.04088824614882469
pumpkin,train,seq-02,pumpkin/seq-02/frame-000014.color.png,-0.1570785,-0.447483,-0.3569370999999999,0.9868631,-0.0215131,-0.1561406,0.0354772,-0.30962806940078735,-0.47502654790878296,-0.49182331562042236,0.9869729280471802,-0.03210718557238579,-0.15203922986984253,0.0416853241622448
pumpkin,train,seq-02,pumpkin/seq-02/frame-000016.color.png,-0.1509984,-0.4615974,-0.3612382,0.9867861,-0.0283552,-0.1575501,0.0250426,-0.2752585709095001,-0.5228065848350525,-0.5543273687362671,0.9858180284500122,-0.043868742883205414,-0.159967839717865,0.02547239325940609
pumpkin,train,seq-02,pumpkin/seq-02/frame-000019.color.png,-0.1496638,-0.4851869,-0.371184,0.9859675,-0.0205523,-0.1624649,0.0324179,-0.297964483499527,-0.5733374357223511,-0.5411840677261353,0.986488938331604,-0.037376049906015396,-0.15461178123950958,0.03921521455049515
pumpkin,train,seq-02,pumpkin/seq-02/frame-000020.color.png,-0.1535928999999999,-0.4916441,-0.3743917,0.9865229,-0.0196251,-0.1590537999999999,0.033006,-0.2748464047908783,-0.5434330701828003,-0.5967662334442139,0.9863945841789246,-0.031446974724531174,-0.15538889169692993,0.04348697140812874
pumpkin,train,seq-02,pumpkin/seq-02/frame-000021.color.png,-0.1655405999999999,-0.4910222,-0.3768446,0.9875638,-0.0100439,-0.1540411,0.0298023,-0.2931878864765167,-0.514767050743103,-0.43225371837615967,0.9898181557655334,-0.02857823669910431,-0.13394898176193237,0.03874294087290764
pumpkin,train,seq-02,pumpkin/seq-02/frame-000022.color.png,-0.1646023999999999,-0.4941767,-0.3742699,0.987821,-0.010961,-0.1532898,0.0243271,-0.2724481523036957,-0.4979654550552368,-0.49412989616394043,0.9909726977348328,-0.02297489158809185,-0.12615735828876495,0.03911018371582031
pumpkin,train,seq-02,pumpkin/seq-02/frame-000023.color.png,-0.1657171,-0.4963401,-0.3737349,0.9884433,-0.0184394,-0.1486272,0.0234478,-0.26927560567855835,-0.5681024789810181,-0.6678922176361084,0.9905247092247009,-0.04456402733922005,-0.12614846229553223,0.03100455179810524
pumpkin,train,seq-02,pumpkin/seq-02/frame-000024.color.png,-0.1829763,-0.51761,-0.3772983,0.9885575,-0.0425491,-0.1419542,0.0281532,-0.30584990978240967,-0.6134433746337891,-0.5969579815864563,0.9841732978820801,-0.04839009419083595,-0.16998004913330078,0.01296598743647337
pumpkin,train,seq-02,pumpkin/seq-02/frame-000026.color.png,-0.1891412,-0.5513520000000001,-0.3645326,0.9770568,-0.0687363999999999,-0.1787332999999999,0.0932185,-0.22063520550727844,-0.5154269337654114,-0.3016819953918457,0.9744459390640259,-0.09194843471050262,-0.17320255935192108,0.10955163091421127
pumpkin,train,seq-02,pumpkin/seq-02/frame-000027.color.png,-0.1714062999999999,-0.5582054,-0.3481638,0.9690322,-0.0707473,-0.2080754,0.1125878,-0.24677228927612305,-0.5315386652946472,-0.31415611505508423,0.9666334986686707,-0.09095931053161621,-0.1862880140542984,0.15047572553157806
pumpkin,train,seq-02,pumpkin/seq-02/frame-000031.color.png,-0.1947263,-0.5856975,-0.3216772,0.9737209,-0.0759643999999999,-0.2035443,0.0683141999999999,-0.24289320409297943,-0.5944913029670715,-0.6276260614395142,0.9718328714370728,-0.05639065429568291,-0.21150189638137817,0.08733787387609482
pumpkin,train,seq-02,pumpkin/seq-02/frame-000033.color.png,-0.1968899,-0.6030201999999999,-0.3079468,0.9700126,-0.0848486,-0.2163821,0.0710987,-0.19302503764629364,-0.6013878583908081,-0.494814395904541,0.9689831137657166,-0.062284450978040695,-0.22694410383701324,0.07542425394058228
pumpkin,train,seq-02,pumpkin/seq-02/frame-000036.color.png,-0.215651,-0.6301119000000001,-0.3006593,0.9707731,-0.0799602,-0.2177621,0.0615273,-0.2294895201921463,-0.6190758347511292,-0.5956043601036072,0.9714862704277039,-0.056152042001485825,-0.2129821926355362,0.08774962276220322
pumpkin,train,seq-02,pumpkin/seq-02/frame-000038.color.png,-0.2139544,-0.6496034,-0.2905353,0.9687167,-0.082798,-0.2278324,0.0531502,-0.21953123807907104,-0.6180636882781982,-0.5727054476737976,0.9717820286750793,-0.0674482211470604,-0.21334196627140045,0.0746699869632721
pumpkin,train,seq-02,pumpkin/seq-02/frame-000040.color.png,-0.2317238,-0.6579007,-0.2894142,0.9710347,-0.0792142,-0.2216006,0.0413508,-0.195778489112854,-0.6817611455917358,-0.5812603831291199,0.9703840613365173,-0.07062093913555145,-0.2214895486831665,0.06564940512180328
pumpkin,train,seq-02,pumpkin/seq-02/frame-000045.color.png,-0.2746265,-0.7121541,-0.2995478,0.9768677,-0.0998856,-0.1885495,-0.0141939,-0.34706172347068787,-0.8308601379394531,-0.603694498538971,0.9796393513679504,-0.11177751421928406,-0.16653572022914886,-0.008850980550050735
pumpkin,train,seq-02,pumpkin/seq-02/frame-000046.color.png,-0.2797282,-0.7208741999999999,-0.3017589,0.9773851999999998,-0.0997715,-0.1852781,-0.020877,-0.3265239894390106,-0.8665132522583008,-0.6415600776672363,0.9775696992874146,-0.11641139537096024,-0.174909770488739,-0.014575243927538395
pumpkin,train,seq-02,pumpkin/seq-02/frame-000047.color.png,-0.2888484000000001,-0.7334416,-0.3046802,0.9786006,-0.0995837,-0.1767548,-0.0343751999999999,-0.3155893385410309,-0.9414561986923218,-0.6366357803344727,0.979181706905365,-0.12001411616802216,-0.16092807054519653,-0.030034881085157394
pumpkin,train,seq-02,pumpkin/seq-02/frame-000048.color.png,-0.2943481,-0.7390304,-0.3080836,0.979318,-0.0971922,-0.1725382,-0.0414783,-0.2924903333187103,-0.9046835899353027,-0.6979186534881592,0.9772821664810181,-0.11276189982891083,-0.17632438242435455,-0.033375851809978485
pumpkin,train,seq-02,pumpkin/seq-02/frame-000050.color.png,-0.3019548,-0.7515255,-0.3107793,0.9799528,-0.101065,-0.1664569,-0.0420778,-0.3300151526927948,-0.9983817338943481,-0.6113929152488708,0.9778444766998291,-0.11862548440694809,-0.16781331598758698,-0.03983661159873009
pumpkin,train,seq-02,pumpkin/seq-02/frame-000051.color.png,-0.3005571,-0.7548478,-0.3098493,0.9790287,-0.1028255,-0.1714529,-0.0391618,-0.29117920994758606,-1.0526046752929688,-0.7348337173461914,0.9794701933860779,-0.12686628103256226,-0.15072785317897797,-0.04271011799573898
pumpkin,train,seq-02,pumpkin/seq-02/frame-000052.color.png,-0.2907398,-0.7606586,-0.3051739,0.9759,-0.1192341999999999,-0.1798397,-0.0325585,-0.28658151626586914,-0.9391789436340332,-0.6556369662284851,0.9736284017562866,-0.12966741621494293,-0.1833815723657608,-0.04006728529930115
pumpkin,train,seq-02,pumpkin/seq-02/frame-000053.color.png,-0.2918518,-0.7734850999999999,-0.3060169,0.9751046999999998,-0.1261515,-0.1795655,-0.0318245,-0.32399454712867737,-0.9402157068252563,-0.6307510137557983,0.9749982357025146,-0.13523073494434357,-0.17270135879516602,-0.035572540014982224
pumpkin,train,seq-02,pumpkin/seq-02/frame-000054.color.png,-0.3052272,-0.7901916999999999,-0.3139565,0.9745852,-0.1364033999999999,-0.1738527,-0.0367833,-0.3055766522884369,-0.9634702205657959,-0.5997093319892883,0.9748232364654541,-0.13845939934253693,-0.1717834174633026,-0.03223346546292305
pumpkin,train,seq-02,pumpkin/seq-02/frame-000056.color.png,-0.3129683,-0.8007965,-0.3218428,0.9756389,-0.1423381,-0.1616221,-0.0417952,-0.2544917166233063,-1.0179119110107422,-0.645646870136261,0.975614607334137,-0.1484333574771881,-0.15834565460681915,-0.03271714597940445
pumpkin,train,seq-02,pumpkin/seq-02/frame-000059.color.png,-0.3104178,-0.8222895,-0.3333694,0.9739632,-0.1557299,-0.1576962,-0.0477042,-0.2836826741695404,-1.0972579717636108,-0.6829126477241516,0.9755327105522156,-0.15197457373142242,-0.1532280296087265,-0.041961368173360825
pumpkin,train,seq-02,pumpkin/seq-02/frame-000060.color.png,-0.3058216,-0.8404446,-0.3411372,0.9721804,-0.1648174,-0.1576346,-0.0534022,-0.25908362865448,-1.0931495428085327,-0.6287771463394165,0.9755768179893494,-0.16248993575572968,-0.14113999903202057,-0.04389238730072975
