scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
redkitchen,train,seq-01,redkitchen/seq-01/frame-000001.color.png,-0.338662,0.0159168,0.2978221,0.9769297,-2.18e-05,-0.1617256,-0.139475,-0.37137371301651,0.09466128051280975,0.2791401445865631,0.9726925492286682,0.009486804716289043,-0.17871259152889252,-0.14778737723827362
redkitchen,train,seq-01,redkitchen/seq-01/frame-000003.color.png,-0.3411037,0.0159721,0.297899,0.9768761,-0.0009994,-0.161245,-0.1403998,-0.3675830662250519,0.07527163624763489,0.2576662003993988,0.9724604487419128,0.006875019986182451,-0.1795697808265686,-0.1484188288450241
redkitchen,train,seq-01,redkitchen/seq-01/frame-000006.color.png,-0.3426531,0.0146816,0.2987893,0.9768838,-0.0007202999999999,-0.1624642,-0.1389352,-0.3819601535797119,0.08819064497947693,0.2668513357639313,0.9723464846611023,0.0066762338392436504,-0.17941561341285706,-0.14935804903507233
redkitchen,train,seq-01,redkitchen/seq-01/frame-000007.color.png,-0.3430975,0.0147512,0.2993579,0.9767006,-0.0009015,-0.1627968,-0.1398296,-0.37657245993614197,0.08456169068813324,0.26759248971939087,0.9725845456123352,0.0067444415763020515,-0.17910999059677124,-0.14816711843013763
redkitchen,train,seq-01,redkitchen/seq-01/frame-000008.color.png,-0.3428791,0.0125491,0.2999114,0.9765058,-0.0016921,-0.1628363,-0.1411305,-0.3777226209640503,0.08030343055725098,0.27441373467445374,0.9725353121757507,0.0058785779401659966,-0.17954054474830627,-0.14800573885440826
redkitchen,train,seq-01,redkitchen/seq-01/frame-000009.color.png,-0.344308,0.0116771,0.3004254,0.9763979,-0.0013163,-0.1629931,-0.1416989,-0.4058404862880707,0.07655714452266693,0.2537396550178528,0.972794234752655,0.006529460661113262,-0.17591261863708496,-0.1506098359823227
redkitchen,train,seq-01,redkitchen/seq-01/frame-000013.color.png,-0.3504955,0.0086697,0.3017629000000001,0.9753245,0.0001791,-0.1663196,-0.1451887999999999,-0.44799038767814636,0.0979032963514328,0.2625892460346222,0.9720409512519836,0.009434150531888008,-0.17809352278709412,-0.15274201333522797
redkitchen,train,seq-01,redkitchen/seq-01/frame-000014.color.png,-0.3510014,0.0077848,0.3021782,0.9750423,0.0012212,-0.1670927,-0.1461883,-0.46057063341140747,0.08858291804790497,0.2550274729728699,0.9717119336128235,0.009526521898806095,-0.1779709756374359,-0.15495680272579193
redkitchen,train,seq-01,redkitchen/seq-01/frame-000015.color.png,-0.351798,0.0084354,0.3030195,0.9747914,0.0022337,-0.1679178999999999,-0.1469021,-0.44210365414619446,0.07453642785549164,0.26769110560417175,0.9726853966712952,0.010024921968579292,-0.1772100031375885,-0.1495971530675888
redkitchen,train,seq-01,redkitchen/seq-01/frame-000017.color.png,-0.3552220999999999,0.0064992,0.3037401,0.9745197,0.0026806,-0.1687829,-0.147704,-0.4558975398540497,0.06887905299663544,0.2575003206729889,0.9729004502296448,0.00812002643942833,-0.17525862157344818,-0.15060971677303314
redkitchen,train,seq-01,redkitchen/seq-01/frame-000019.color.png,-0.3578455,0.0062701,0.3044364,0.9742726,0.0032749,-0.170279,-0.1476047999999999,-0.44239288568496704,0.07286784052848816,0.26463782787323,0.9730045199394226,0.007474321871995926,-0.17357245087623596,-0.15191754698753357
redkitchen,train,seq-01,redkitchen/seq-01/frame-000020.color.png,-0.3593773,0.0033669,0.3049484000000001,0.9740832,0.0023688,-0.1710762,-0.1479498,-0.4464397728443146,0.07282891869544983,0.2705506384372711,0.9722456932067871,0.00824143085628748,-0.17750954627990723,-0.1521865576505661
redkitchen,train,seq-01,redkitchen/seq-01/frame-000021.color.png,-0.359986,0.0049451999999999,0.3061148,0.9737669,0.0036649,-0.1720274,-0.1488997,-0.436124712228775,0.06356613337993622,0.27919092774391174,0.9719343185424805,0.006654185708612204,-0.17777135968208313,-0.15393713116645813
redkitchen,train,seq-01,redkitchen/seq-01/frame-000022.color.png,-0.3621361,0.0049925,0.3072729,0.9735058,0.0030543,-0.1724071,-0.1501766,-0.437232106924057,0.0800337940454483,0.26661261916160583,0.9716723561286926,0.007930689491331577,-0.1777101308107376,-0.1555926650762558
redkitchen,train,seq-01,redkitchen/seq-01/frame-000023.color.png,-0.3653393,0.0033003,0.3074578,0.973261,0.002213,-0.172594,-0.1515566,-0.4642818868160248,0.08732929825782776,0.2841697633266449,0.9710611701011658,0.008340679109096527,-0.17870038747787476,-0.15822996199131012
redkitchen,train,seq-01,redkitchen/seq-01/frame-000024.color.png,-0.3682829,0.0044665,0.3082627999999999,0.9730971,0.0015646,-0.172787,-0.1523953,-0.45707637071609497,0.07109080255031586,0.26479458808898926,0.9704405665397644,0.007482674904167652,-0.1801196038722992,-0.1604556292295456
redkitchen,train,seq-01,redkitchen/seq-01/frame-000026.color.png,-0.3737329,0.004876,0.3108469,0.9726345,-0.0004842,-0.1743558,-0.1535641,-0.4405308961868286,0.054913684725761414,0.29700416326522827,0.9705319404602051,0.004029926378279924,-0.18108592927455902,-0.15893179178237915
redkitchen,train,seq-01,redkitchen/seq-01/frame-000027.color.png,-0.3756808,0.0060497,0.3121317,0.9724469,-0.0018157,-0.1751479,-0.1538407,-0.45436400175094604,0.07386565208435059,0.28398820757865906,0.9701846837997437,0.004004419781267643,-0.18175441026687622,-0.16028428077697754
redkitchen,train,seq-01,redkitchen/seq-01/frame-000028.color.png,-0.3779586,0.0042605,0.3133615,0.972192,-0.0036246,-0.1763135,-0.1540879,-0.4876469373703003,0.07754214107990265,0.31351590156555176,0.9701673984527588,0.002938436111435294,-0.18413150310516357,-0.15767772495746613
redkitchen,train,seq-01,redkitchen/seq-01/frame-000029.color.png,-0.3828351,0.0042111999999999,0.3144866,0.9720989,-0.0048665,-0.1767837,-0.1541023,-0.49126607179641724,0.06769652664661407,0.31872400641441345,0.9713467955589294,0.0022523694206029177,-0.17948321998119354,-0.15577545762062073
redkitchen,train,seq-01,redkitchen/seq-01/frame-000030.color.png,-0.3850326,0.0047827,0.3160882,0.9716834,-0.0055916,-0.178039,-0.1552491,-0.5048335194587708,0.06628382205963135,0.33859214186668396,0.9712662696838379,0.0005275334697216749,-0.18044884502887726,-0.15517671406269073
redkitchen,train,seq-01,redkitchen/seq-01/frame-000031.color.png,-0.3873706,0.005803,0.3175698,0.9715716,-0.0069693,-0.1784362,-0.1554368,-0.4793704152107239,0.06744103133678436,0.3355880379676819,0.9690569043159485,0.0004711770743597299,-0.1865200251340866,-0.16167494654655457
redkitchen,train,seq-01,redkitchen/seq-01/frame-000033.color.png,-0.3969776,0.0063325,0.3206352,0.9711946,-0.0101337,-0.1801033,-0.1556958999999999,-0.5038394927978516,0.08296693861484528,0.3689039647579193,0.9702661633491516,-0.0008949883631430566,-0.1832452416419983,-0.158126562833786
redkitchen,train,seq-01,redkitchen/seq-01/frame-000036.color.png,-0.4085406,0.0070538,0.3283729,0.9703213,-0.0137054,-0.1777102,-0.1634253,-0.5350803136825562,0.09720943868160248,0.3993339240550995,0.9687566757202148,0.0013406655052676797,-0.18565700948238373,-0.164438858628273
redkitchen,train,seq-01,redkitchen/seq-01/frame-000038.color.png,-0.4196349,0.0128811,0.3331685,0.9703974,-0.0164719,-0.1746827,-0.1659622,-0.5279536843299866,0.11923810839653015,0.37020647525787354,0.9672223329544067,0.004417486023157835,-0.1918114423751831,-0.16634221374988556
redkitchen,train,seq-01,redkitchen/seq-01/frame-000040.color.png,-0.4263205,0.0065143999999999,0.3388817,0.9703262,-0.0189888,-0.1786922999999999,-0.1617887,-0.5468526482582092,0.1305493861436844,0.3420518934726715,0.9679534435272217,0.003667910350486636,-0.18815560638904572,-0.16628342866897583
redkitchen,train,seq-01,redkitchen/seq-01/frame-000041.color.png,-0.4314811,0.0130139,0.3420079,0.9700896,-0.0152127,-0.1794921,-0.1627188,-0.5736453533172607,0.12215062975883484,0.3728359043598175,0.9685428738594055,0.003462101798504591,-0.18646660447120667,-0.1647508591413498
