scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
fire,train,seq-01,fire/seq-01/frame-000000.color.png,-0.2258571,-0.2920499,0.2855311,0.9789676,-0.1985482,-0.026552,0.0386791,-0.25551271438598633,-0.31143420934677124,0.3113679587841034,0.9782200455665588,-0.20084483921527863,-0.03387007862329483,0.039994653314352036
fire,train,seq-01,fire/seq-01/frame-000003.color.png,-0.2322623,-0.2881641,0.2832098,0.9786875,-0.1995084,-0.0303282,0.0380444,-0.276692271232605,-0.3219377398490906,0.3033526837825775,0.9778203368186951,-0.20503012835979462,-0.026890238747000694,0.033270079642534256
fire,train,seq-01,fire/seq-01/frame-000007.color.png,-0.2423858,-0.2861449,0.2822593,0.9779061,-0.2031103,-0.0350126,0.0349283,-0.3162056803703308,-0.34077125787734985,0.30057862401008606,0.9765208959579468,-0.21125365793704987,-0.03285034000873566,0.026450833305716515
fire,train,seq-01,fire/seq-01/frame-000008.color.png,-0.2458724,-0.2866861,0.281815,0.9774958,-0.2053675,-0.0342645,0.0339431999999999,-0.3273313045501709,-0.35094428062438965,0.2888728976249695,0.9759358167648315,-0.2143288552761078,-0.03184840828180313,0.024454230442643166
fire,train,seq-01,fire/seq-01/frame-000009.color.png,-0.2506183,-0.286559,0.2807231,0.9772992,-0.2064956,-0.0335327,0.0334885999999999,-0.32584840059280396,-0.33525335788726807,0.300546795129776,0.9762667417526245,-0.21237611770629883,-0.03661419823765755,0.021425042301416397
fire,train,seq-01,fire/seq-01/frame-000010.color.png,-0.2553338,-0.2865409,0.2800258,0.9771544,-0.2073612,-0.0335237,0.0323545,-0.3189562261104584,-0.3417552709579468,0.2985230088233948,0.9759342670440674,-0.21433469653129578,-0.034722890704870224,0.02017822302877903
fire,train,seq-01,fire/seq-01/frame-000012.color.png,-0.2645182,-0.2852575999999999,0.2784401,0.9765504,-0.2107541,-0.0317551,0.0303917,-0.3630281984806061,-0.31333696842193604,0.27469396591186523,0.9769967794418335,-0.20985147356987,-0.02433135360479355,0.02911348082125187
fire,train,seq-01,fire/seq-01/frame-000014.color.png,-0.2752189,-0.2868569,0.2774079,0.9760555,-0.2132422,-0.0307458,0.0299705,-0.3484157621860504,-0.3278264105319977,0.2737647294998169,0.9765409827232361,-0.21184688806533813,-0.027346622198820114,0.027217218652367592
fire,train,seq-01,fire/seq-01/frame-000015.color.png,-0.2811595999999999,-0.2885735,0.2768545,0.9758634,-0.2146078,-0.0281845,0.0289788,-0.3828529119491577,-0.33706432580947876,0.2788907289505005,0.9769176840782166,-0.2098616659641266,-0.029193740338087082,0.027160178869962692
fire,train,seq-01,fire/seq-01/frame-000024.color.png,-0.3582498,-0.2992058,0.2783262,0.9761665,-0.2146932,-0.0095452,0.0302451,-0.4856572151184082,-0.3320281207561493,0.27090948820114136,0.976638674736023,-0.21265143156051636,-0.006456873379647732,0.030241208150982857
fire,train,seq-01,fire/seq-01/frame-000026.color.png,-0.3805628,-0.2997741,0.2813473,0.9766085,-0.2126387,-0.0059243,0.0313942,-0.47900208830833435,-0.3405308425426483,0.28676435351371765,0.9757611155509949,-0.2168552130460739,-0.007217034697532654,0.028496403247117996
fire,train,seq-01,fire/seq-01/frame-000027.color.png,-0.3930749,-0.3019403,0.2831455,0.9763323,-0.2137998,-0.0024063,0.0325444,-0.4992457330226898,-0.3370898962020874,0.27946409583091736,0.9757875800132751,-0.21651436388492584,-0.0005732953432016075,0.030981047078967094
fire,train,seq-01,fire/seq-01/frame-000029.color.png,-0.4185922,-0.3092786,0.2862309,0.9761588,-0.2143671,0.0029878,0.0339379,-0.5423155426979065,-0.35045284032821655,0.2775495946407318,0.9754066467285156,-0.21783286333084106,0.005057302303612232,0.033243000507354736
fire,train,seq-01,fire/seq-01/frame-000030.color.png,-0.4320340999999999,-0.3128523,0.2881163,0.9763879,-0.2131586,0.0069549999999999,0.0343756,-0.5604079365730286,-0.35255110263824463,0.2868931293487549,0.9753335118293762,-0.21794886887073517,0.010836461558938026,0.03324594348669052
fire,train,seq-01,fire/seq-01/frame-000034.color.png,-0.4853222,-0.3206191,0.294055,0.9768048,-0.2090803,0.0206718,0.0413574,-0.6043379306793213,-0.35283783078193665,0.2943102717399597,0.9742602705955505,-0.2201269119977951,0.029328083619475365,0.03874259069561958
fire,train,seq-01,fire/seq-01/frame-000035.color.png,-0.4978619000000001,-0.3250838,0.2967553,0.9767613000000002,-0.2089815,0.0224667,0.0419444,-0.6142897009849548,-0.3643113374710083,0.2970813810825348,0.974646806716919,-0.21788357198238373,0.03030761517584324,0.04088907316327095
