scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
KingsCollege,train,seq8,KingsCollege/seq8/frame00002.png,33.209591,-22.74987,1.436124,0.722427,0.62336,0.167775,-0.247735,34.3675651550293,-23.36673927307129,1.6593596935272217,0.7223826050758362,0.6226885914802551,0.16703997552394867,-0.2500396966934204
KingsCollege,train,seq8,KingsCollege/seq8/frame00003.png,33.200591,-22.653296,1.462828,0.724023,0.6216659999999999,0.163881,-0.249931,34.316165924072266,-23.121768951416016,1.5468380451202393,0.7232574224472046,0.6210640072822571,0.16468699276447296,-0.25309380888938904
KingsCollege,train,seq8,KingsCollege/seq8/frame00007.png,31.170279,-22.324362,1.622667,0.766569,0.582908,0.138504,-0.2311,31.771177291870117,-22.80861473083496,1.5935636758804321,0.7654616832733154,0.5842375159263611,0.13884025812149048,-0.23121052980422974
KingsCollege,train,seq8,KingsCollege/seq8/frame00008.png,30.43578,-22.270689,1.583911,0.7797689999999999,0.582329,0.103285,-0.205391,31.098417282104492,-22.611961364746094,1.5730332136154175,0.7781028747558594,0.5834360718727112,0.10570334643125534,-0.207328662276268
KingsCollege,train,seq8,KingsCollege/seq8/frame00010.png,29.145427,-22.165855,1.69152,0.800117,0.568469,0.062003,-0.181139,29.623682022094727,-22.64101219177246,1.7429059743881226,0.801906943321228,0.5664768815040588,0.059430718421936035,-0.18032535910606384
KingsCollege,train,seq8,KingsCollege/seq8/frame00011.png,28.55481,-22.601437,1.674348,0.816734,0.533411,0.083745,-0.20348,28.6549015045166,-23.291444778442383,1.6882423162460327,0.8163483738899231,0.5383070707321167,0.07698947191238403,-0.19461096823215485
KingsCollege,train,seq8,KingsCollege/seq8/frame00012.png,27.545185,-22.556603,1.910587,0.7701720000000001,0.582782,0.119659,-0.229962,28.056921005249023,-23.074831008911133,1.8111226558685303,0.7686731815338135,0.5846253037452698,0.11999610811471939,-0.23012110590934753
KingsCollege,train,seq8,KingsCollege/seq8/frame00015.png,25.450378,-22.302451,1.798709,0.7769020000000001,0.575874,0.1267319999999999,-0.220754,25.924549102783203,-22.951698303222656,1.853374719619751,0.7762622237205505,0.5765137672424316,0.12770476937294006,-0.22077195346355438
KingsCollege,train,seq8,KingsCollege/seq8/frame00016.png,24.761601,-21.844288,1.894519,0.75631,0.605454,0.146819,-0.199662,25.448638916015625,-22.462472915649414,1.878349781036377,0.7558442950248718,0.6042802333831787,0.14976170659065247,-0.20277146995067596
KingsCollege,train,seq8,KingsCollege/seq8/frame00017.png,24.172555,-21.49329,1.8007,0.758582,0.605929,0.159436,-0.178839,24.750085830688477,-22.134899139404297,1.787268042564392,0.7583473920822144,0.6043269038200378,0.16296280920505524,-0.18204757571220398
KingsCollege,train,seq8,KingsCollege/seq8/frame00019.png,23.155827,-20.533975,1.637551,0.760826,0.6161800000000001,0.092943,-0.181186,24.081350326538086,-21.094898223876953,1.7061818838119507,0.7617442011833191,0.6137608289718628,0.09458457678556442,-0.18465407192707062
KingsCollege,train,seq8,KingsCollege/seq8/frame00020.png,22.353514,-20.484425,1.621336,0.7789159999999999,0.597724,0.079263,-0.172431,23.14266586303711,-21.208463668823242,1.7375975847244263,0.7800568342208862,0.5962416529655457,0.07913477718830109,-0.172467440366745
KingsCollege,train,seq8,KingsCollege/seq8/frame00021.png,21.821092,-20.130762,1.571611,0.780108,0.603457,0.062227,-0.152967,22.567392349243164,-20.7838191986084,1.5747499465942383,0.7802316546440125,0.6020554900169373,0.06470660865306854,-0.15678277611732483
KingsCollege,train,seq8,KingsCollege/seq8/frame00022.png,21.117415,-19.745119,1.734564,0.777165,0.608538,0.088163,-0.133876,21.932891845703125,-20.39375877380371,1.6169466972351074,0.7782347798347473,0.6054928302764893,0.09296661615371704,-0.13815337419509888
KingsCollege,train,seq8,KingsCollege/seq8/frame00026.png,18.21939,-19.035204,1.659082,0.803199,0.586909,-0.003898,-0.101949,18.811859130859375,-19.439382553100586,1.6952953338623047,0.8031572699546814,0.5864704847335815,-0.0035845721140503883,-0.10477577894926071
KingsCollege,train,seq8,KingsCollege/seq8/frame00027.png,17.604658999999995,-18.983852,1.808107,0.8046,0.588982,-0.012971,-0.074507,18.352598190307617,-19.467510223388672,1.6959905624389648,0.8059909343719482,0.5865336060523987,-0.01268235594034195,-0.0787157267332077
KingsCollege,train,seq8,KingsCollege/seq8/frame00029.png,16.167118,-18.880118,1.943804,0.801944,0.592525,-0.040304,-0.064619,16.694366455078125,-19.29768943786621,1.858716368675232,0.8022979497909546,0.5915877223014832,-0.04113362729549408,-0.06819046288728714
KingsCollege,train,seq8,KingsCollege/seq8/frame00031.png,14.36355,-18.810991,1.726878,0.797946,0.593409,-0.060052,-0.086838,14.83163833618164,-19.41388511657715,1.865643858909607,0.7981709837913513,0.5921505689620972,-0.06112959608435631,-0.09243299067020416
KingsCollege,train,seq8,KingsCollege/seq8/frame00032.png,13.642296,-18.590411,1.882104,0.7858539999999999,0.604016,-0.062478,-0.117021,14.123223304748535,-19.319971084594727,2.137207508087158,0.7851442694664001,0.6035272479057312,-0.06739431619644165,-0.12149594724178314
KingsCollege,train,seq8,KingsCollege/seq8/frame00033.png,12.992266,-18.433031,1.82893,0.813854,0.575391,-0.071894,-0.037404,13.24815845489502,-18.789098739624023,1.8237979412078857,0.8149231672286987,0.5735718011856079,-0.07265413552522659,-0.04046100378036499
KingsCollege,train,seq8,KingsCollege/seq8/frame00034.png,12.301581,-18.148811,1.7325849999999998,0.827418,0.556207,-0.076144,-0.014667,12.579517364501953,-18.40631103515625,1.758569598197937,0.8290864825248718,0.5535901784896851,-0.07727088034152985,-0.013519737869501114
KingsCollege,train,seq8,KingsCollege/seq8/frame00035.png,11.468061,-17.787771,1.719078,0.8245879999999999,0.550556,-0.124597,0.037667,11.819867134094238,-17.910465240478516,1.7260245084762573,0.8268649578094482,0.5473110675811768,-0.12367139756679535,0.03808348625898361
KingsCollege,train,seq8,KingsCollege/seq8/frame00036.png,10.854348,-17.661143,1.601483,0.826091,0.543289,-0.130749,0.072911,11.276012420654297,-17.738954544067383,1.6401132345199585,0.8283958435058594,0.5403634309768677,-0.12865300476551056,0.07222223281860352
KingsCollege,train,seq8,KingsCollege/seq8/frame00037.png,9.961074,-17.339302,1.351788,0.814703,0.551658,-0.139673,0.111461,10.266523361206055,-17.44350242614746,1.4307441711425781,0.8157207369804382,0.550722599029541,-0.1373465359210968,0.11153552681207657
KingsCollege,train,seq8,KingsCollege/seq8/frame00038.png,9.349213,-17.331651,1.432148,0.793846,0.5835140000000001,-0.109222,0.131873,9.636455535888672,-17.494958877563477,1.5190821886062622,0.7938725352287292,0.5840946435928345,-0.10407228767871857,0.13329960405826569
