scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
OldHospital,train,seq9,OldHospital/seq9/frame00003.png,-14.844808,0.197716,13.373710999999998,0.139977,0.839894,0.062822,0.520613,-15.268373489379885,-0.0110273640602827,13.426405906677246,0.1424881666898727,0.8390336632728577,0.0647453293204307,0.5210831761360168
OldHospital,train,seq9,OldHospital/seq9/frame00006.png,-13.864563,-0.259767,14.141141,0.16114,0.871849,0.077046,0.456044,-13.081570625305176,-0.0079132225364446,14.672511100769045,0.147891417145729,0.8653733730316162,0.0708107128739357,0.4735430479049682
OldHospital,train,seq9,OldHospital/seq9/frame00007.png,-13.494946,-0.069877,14.611868,0.173927,0.8826299999999999,0.091849,0.426941,-12.448509216308594,-0.2858811020851135,15.379964828491213,0.178426131606102,0.8814343810081482,0.0910200774669647,0.4277298748493194
OldHospital,train,seq9,OldHospital/seq9/frame00009.png,-13.134006,0.380947,16.132162,0.177196,0.884598,0.106723,0.417968,-13.05499267578125,-0.2830703556537628,15.291111946105955,0.1898746788501739,0.8761779069900513,0.1012446731328964,0.4312879741191864
OldHospital,train,seq9,OldHospital/seq9/frame00010.png,-13.001542,-0.643943,17.100811,0.186485,0.875934,0.079066,0.437848,-13.273053169250488,-0.4456385374069214,16.93161392211914,0.1749678403139114,0.8692870736122131,0.0745274275541305,0.4562584459781647
OldHospital,train,seq9,OldHospital/seq9/frame00014.png,-12.724161,-0.566894,18.950602,0.188797,0.850799,0.095696,0.480977,-12.96990203857422,-0.6074240207672119,19.48465347290039,0.1844043731689453,0.8516387939453125,0.0940951779484748,0.481510579586029
OldHospital,train,seq9,OldHospital/seq9/frame00018.png,-12.750779,-0.917825,21.812288,0.176369,0.888727,0.045446,0.420705,-13.270094871520996,-1.030911207199097,22.01530265808105,0.1744518131017685,0.8864603638648987,0.0411999970674514,0.4266816675662994
OldHospital,train,seq9,OldHospital/seq9/frame00022.png,-12.420576,-1.314559,24.363562,0.169545,0.8822969999999999,0.055879,0.435528,-12.99943733215332,-1.3566839694976809,25.056650161743164,0.161365732550621,0.8790341019630432,0.0612064152956008,0.4444253742694855
OldHospital,train,seq9,OldHospital/seq9/frame00029.png,-12.798735,-1.653903,29.619792,0.155585,0.8446309999999999,0.066057,0.507965,-11.587203979492188,-1.2916098833084106,30.160850524902344,0.142808511853218,0.8483468890190125,0.0706221759319305,0.5049017071723938
OldHospital,train,seq9,OldHospital/seq9/frame00030.png,-12.30118,-1.776405,30.015298,0.13939,0.8849229999999999,0.045581,0.442045,-12.604168891906738,-1.5976433753967283,30.06065368652344,0.1410669833421707,0.8773203492164612,0.0460899323225021,0.4563822746276855
OldHospital,train,seq9,OldHospital/seq9/frame00033.png,-12.074943,-1.40342,31.895694,0.125824,0.883491,0.032214,0.450083,-11.610453605651855,-1.6040807962417605,32.34868621826172,0.1319086402654647,0.8842618465423584,0.033912818878889,0.4466890394687652
