scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
ShopFacade,train,seq2,ShopFacade/seq2/frame00001.png,-11.664603,-8.199192,1.947634,0.6394890000000001,0.635026,-0.30913,0.303701,-12.337132453918457,-8.91987419128418,1.9835838079452515,0.6444494128227234,0.635493814945221,-0.2991209030151367,0.30225709080696106
ShopFacade,train,seq2,ShopFacade/seq2/frame00002.png,-11.571129,-8.124575,1.927274,0.6396310000000001,0.633421,-0.311817,0.304007,-12.097400665283203,-8.847453117370605,1.991300344467163,0.6452749371528625,0.6337023973464966,-0.3017731010913849,0.30161985754966736
ShopFacade,train,seq2,ShopFacade/seq2/frame00003.png,-11.538824,-8.112645,1.924713,0.6387189999999999,0.633004,-0.312232,0.306358,-12.206430435180664,-8.997632026672363,1.998766303062439,0.64383465051651,0.634818434715271,-0.3002486526966095,0.30386388301849365
ShopFacade,train,seq2,ShopFacade/seq2/frame00006.png,-10.167713,-8.257541999999999,1.991857,0.633102,0.658194,-0.33641,0.229763,-10.713024139404297,-8.843926429748535,1.9945073127746582,0.6367347836494446,0.6608912944793701,-0.33210447430610657,0.21794070303440094
ShopFacade,train,seq2,ShopFacade/seq2/frame00008.png,-9.019933,-8.666772,1.869336,0.643663,0.663484,-0.29008,0.247671,-9.225518226623535,-8.971993446350098,1.8983662128448486,0.646270215511322,0.6639517545700073,-0.28418979048728943,0.2464529275894165
ShopFacade,train,seq2,ShopFacade/seq2/frame00009.png,-8.325061,-8.790656,1.873442,0.6290680000000001,0.657017,-0.322297,0.262159,-8.412806510925293,-8.888175964355469,1.8963299989700317,0.6334753036499023,0.6585211753845215,-0.3168644905090332,0.2542753219604492
ShopFacade,train,seq2,ShopFacade/seq2/frame00011.png,-7.083651,-9.075439,1.867433,0.649007,0.6628,-0.301987,0.219751,-7.065184116363525,-9.337106704711914,1.8463040590286255,0.6522768139839172,0.6652509570121765,-0.2969261407852173,0.20931082963943481
ShopFacade,train,seq2,ShopFacade/seq2/frame00013.png,-5.627983,-9.337562,1.7817630000000002,0.655507,0.667736,-0.28171,0.212316,-5.405523777008057,-9.47886848449707,1.782539963722229,0.6585371494293213,0.6689214110374451,-0.2750784456729889,0.2078578919172287
ShopFacade,train,seq2,ShopFacade/seq2/frame00015.png,-3.988494,-9.349111,1.728554,0.651347,0.695494,-0.241986,0.182971,-4.1180100440979,-9.524096488952637,1.7772269248962402,0.6574786305427551,0.6942398548126221,-0.23522095382213593,0.17442476749420166
ShopFacade,train,seq2,ShopFacade/seq2/frame00017.png,-2.486688,-9.694231,1.7057790000000002,0.677922,0.689801,-0.205462,0.149603,-2.3822522163391113,-9.931703567504883,1.7151341438293457,0.6824699640274048,0.6891849040985107,-0.19757439196109772,0.14220866560935974
ShopFacade,train,seq2,ShopFacade/seq2/frame00018.png,-1.671369,-9.767439,1.698268,0.684833,0.677071,-0.227987,0.143529,-1.6060739755630493,-10.018009185791016,1.6929235458374023,0.6855928897857666,0.6785089373588562,-0.22464574873447418,0.13828274607658386
ShopFacade,train,seq2,ShopFacade/seq2/frame00019.png,-0.987356,-9.904027,1.699195,0.685363,0.6984899999999999,-0.174422,0.109385,-0.8963724374771118,-9.930167198181152,1.5579372644424438,0.6882043480873108,0.6948014497756958,-0.17579536139965057,0.11279082298278809
ShopFacade,train,seq2,ShopFacade/seq2/frame00020.png,-0.180835,-9.947739,1.707626,0.691153,0.686189,-0.192843,0.119431,-0.0644044280052185,-10.571647644042969,1.5112258195877075,0.6965048909187317,0.6862505078315735,-0.18080949783325195,0.10606198012828827
ShopFacade,train,seq2,ShopFacade/seq2/frame00021.png,0.5633100000000001,-10.04971,1.6834330000000002,0.689333,0.712383,-0.116854,0.060617,0.6749760508537292,-10.149109840393066,1.6241447925567627,0.6917076110839844,0.7094901204109192,-0.11927683651447296,0.06274863332509995
ShopFacade,train,seq2,ShopFacade/seq2/frame00022.png,1.312553,-10.068251,1.686563,0.6841619999999999,0.72288,-0.092714,0.02777,1.2922217845916748,-10.22667407989502,1.6894376277923584,0.6858683824539185,0.7197086811065674,-0.10150457918643951,0.036067020148038864
ShopFacade,train,seq2,ShopFacade/seq2/frame00023.png,2.04434,-10.190673,1.6647610000000002,0.693013,0.715073,-0.089597,0.019394,2.0198211669921875,-10.261285781860352,1.6016321182250977,0.6925434470176697,0.7143163681030273,-0.09605559706687927,0.030149120837450027
ShopFacade,train,seq2,ShopFacade/seq2/frame00024.png,2.773261,-10.186876,1.643419,0.6885100000000001,0.723839,-0.043662,-0.010204,2.58884596824646,-10.493264198303223,1.6397982835769653,0.6890498399734497,0.7220319509506226,-0.06148679554462433,0.00997954048216343
ShopFacade,train,seq2,ShopFacade/seq2/frame00025.png,3.53954,-10.379131,1.609592,0.6848920000000001,0.721707,0.02053,-0.098181,3.8351223468780518,-10.908355712890625,1.607134461402893,0.6852341890335083,0.7221429944038391,0.01678892970085144,-0.09317592531442642
ShopFacade,train,seq2,ShopFacade/seq2/frame00026.png,4.250851,-10.194807,1.563036,0.6637,0.739368,0.051512,-0.100917,4.20041036605835,-10.764019012451172,1.5905122756958008,0.6648470163345337,0.7412717938423157,0.0318450964987278,-0.08648983389139175
ShopFacade,train,seq2,ShopFacade/seq2/frame00027.png,4.933825,-10.159637,1.574662,0.6848069999999999,0.717003,0.050741,-0.119882,5.1505608558654785,-11.056017875671387,1.6074352264404297,0.6836960315704346,0.7208671569824219,0.03639641031622887,-0.10763683915138245
