scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
office,train,seq-01,office/seq-01/frame-000000.color.png,-0.9486166,-0.5674923000000001,0.7111717,0.9831149,0.0057992,0.1607557,0.08723,-0.962925672531128,-0.5387152433395386,0.719390332698822,0.9847891926765442,0.0167055837810039,0.1451862901449203,0.0939792767167091
office,train,seq-01,office/seq-01/frame-000001.color.png,-0.9479698,-0.5682691,0.7118095,0.9830289,0.0063733,0.1613144,0.0871281999999999,-0.9908278584480286,-0.5261635184288025,0.7190209031105042,0.9850991368293762,0.0197013858705759,0.1451739519834518,0.0900888368487358
office,train,seq-01,office/seq-01/frame-000002.color.png,-0.948219,-0.5667793000000001,0.7127809,0.9830216,0.0072018999999999,0.1610844,0.08757,-0.9947392344474792,-0.5147659182548523,0.7283216118812561,0.9855361580848694,0.0159419495612382,0.1432504504919052,0.089127130806446
office,train,seq-01,office/seq-01/frame-000003.color.png,-0.9475424,-0.56697,0.7136758000000001,0.982962,0.0065648,0.1609577,0.0885174,-0.9863337874412536,-0.531498908996582,0.7330155372619629,0.984127640724182,0.0164539646357297,0.150593876838684,0.0924310311675071
office,train,seq-01,office/seq-01/frame-000004.color.png,-0.9485783,-0.5667623,0.7156938,0.9828981,0.0058163999999999,0.1611066,0.089007,-0.9755796194076538,-0.5363066792488098,0.7289028167724609,0.982621729373932,0.0105119375512003,0.1578398048877716,0.0971118733286857
office,train,seq-01,office/seq-01/frame-000005.color.png,-0.9517088,-0.5682887,0.71711,0.9828496,0.0051384,0.1608802999999999,0.0899876999999999,-0.9826594591140748,-0.5383056998252869,0.7203388214111328,0.9835180044174194,0.0125653091818094,0.1530587524175644,0.0954325571656227
office,train,seq-01,office/seq-01/frame-000006.color.png,-0.9503028,-0.5658399000000001,0.7195734,0.983019,0.0046247,0.1598662,0.0899723,-0.9884392023086548,-0.5415246486663818,0.7331570982933044,0.9829515814781188,0.0067870384082198,0.1567392796278,0.0958798974752426
office,train,seq-01,office/seq-01/frame-000008.color.png,-0.9493157,-0.5692210999999999,0.7248564000000001,0.9829433,-9.58e-05,0.1587858999999999,0.0927878,-1.0100393295288086,-0.5388054847717285,0.7305795550346375,0.9826862215995787,0.0085241990163922,0.1560433059930801,0.0995273664593696
office,train,seq-01,office/seq-01/frame-000010.color.png,-0.952767,-0.5726051,0.731891,0.9821572,-0.0034478,0.1613757,0.0965049,-1.0030548572540283,-0.5114141702651978,0.7313233613967896,0.9849709272384644,-0.0041940212249755,0.1392752528190612,0.1020637974143028
office,train,seq-01,office/seq-01/frame-000011.color.png,-0.9531259,-0.5747853,0.7355716999999999,0.9819352,-0.0045405,0.1617427,0.0980919,-0.9870429635047911,-0.5206469893455505,0.7394621968269348,0.9832438230514526,0.0014188537606969,0.1507214605808258,0.1025305092334747
office,train,seq-01,office/seq-01/frame-000012.color.png,-0.9530294,-0.5779899000000001,0.7396731,0.9815483,-0.0054204,0.1628934,0.0999968,-1.0078474283218384,-0.5310848951339722,0.7443479895591736,0.9818245768547058,-0.0008739761542528,0.1579108089208603,0.1052799895405769
office,train,seq-01,office/seq-01/frame-000016.color.png,-0.9556449,-0.5888783000000001,0.7579899,0.9798519,-0.0095777,0.1664433,0.1099778,-1.008690595626831,-0.5588445067405701,0.7480717897415161,0.9803597927093506,-0.0018622145289555,0.1631192117929458,0.1108299642801284
office,train,seq-01,office/seq-01/frame-000017.color.png,-0.9572968,-0.5925784000000001,0.7625328,0.979687,-0.010585,0.1659408999999999,0.1120938999999999,-1.014049410820007,-0.5707903504371643,0.7652489542961121,0.9800017476081848,-0.0036904783919453,0.1634492427110672,0.1134343594312667
office,train,seq-01,office/seq-01/frame-000018.color.png,-0.9569321,-0.5977269000000001,0.7673694999999999,0.9794792,-0.011073,0.1660452,0.1136968,-1.0081499814987185,-0.5756137371063232,0.7760575413703918,0.980961799621582,-0.0017229922814294,0.1591842472553253,0.1112265214323997
office,train,seq-01,office/seq-01/frame-000019.color.png,-0.9566349,-0.5998799,0.7721922,0.9792412,-0.0110025,0.1665757999999999,0.1149701,-1.0272396802902222,-0.5793024897575378,0.7687593698501587,0.981279730796814,-0.0062204599380493,0.1575223803520202,0.1106257736682891
office,train,seq-01,office/seq-01/frame-000022.color.png,-0.9563332,-0.6123528,0.7871918000000001,0.9780603,-0.0146869,0.1680784,0.1221962,-1.0506539344787598,-0.583147406578064,0.7950294017791748,0.9797089099884032,-0.0109529811888933,0.1622965335845947,0.1170912161469459
office,train,seq-01,office/seq-01/frame-000023.color.png,-0.9564336,-0.6171776999999999,0.7931871,0.9773263,-0.0176429,0.1700138,0.1249695,-1.033726453781128,-0.6132858991622925,0.7883381247520447,0.9794043898582458,-0.0147794801741838,0.1613806784152984,0.1204364374279975
office,train,seq-01,office/seq-01/frame-000024.color.png,-0.9571216,-0.6217732,0.7994762,0.9766052,-0.0203038,0.1725455,0.1267208,-1.032693862915039,-0.621959388256073,0.7839981913566589,0.9772745966911316,-0.0148232793435454,0.1722819358110427,0.1226109117269516
office,train,seq-01,office/seq-01/frame-000026.color.png,-0.9577637,-0.629362,0.8119656,0.976083,-0.0240098,0.1727331,0.1298028,-1.00927472114563,-0.6583053469657898,0.7894793152809143,0.978491485118866,-0.0117247626185417,0.1609555333852768,0.1284918636083603
office,train,seq-01,office/seq-01/frame-000030.color.png,-0.9488676,-0.6513365,0.8377595999999999,0.974212,-0.0393838,0.1726092,0.1398787,-1.0183430910110474,-0.6419961452484131,0.8251754641532898,0.9775429964065552,-0.0273720566183328,0.1600183844566345,0.1343676149845123
office,train,seq-01,office/seq-01/frame-000031.color.png,-0.9473162,-0.6589857,0.8448633,0.9733709,-0.0416569,0.1750281,0.1420525,-1.0110445022583008,-0.6796481013298035,0.8437778949737549,0.972464919090271,-0.0366437882184982,0.1855810433626175,0.1361209601163864
office,train,seq-01,office/seq-01/frame-000032.color.png,-0.9454285,-0.665482,0.8516541999999999,0.9733017,-0.040227,0.1760474,0.1416791,-0.9973416924476624,-0.6842637062072754,0.840350866317749,0.9722794890403748,-0.0386983752250671,0.1812165379524231,0.1426026672124862
office,train,seq-01,office/seq-01/frame-000033.color.png,-0.9427277,-0.671523,0.8579462999999999,0.9735938,-0.0375167,0.1767767999999999,0.1394902,-0.994480848312378,-0.705470621585846,0.8425309658050537,0.9730632305145264,-0.0369779244065284,0.1848569810390472,0.1326969563961029
office,train,seq-01,office/seq-01/frame-000034.color.png,-0.9430588,-0.6750006,0.8634242,0.973772,-0.0350185,0.1773202,0.1382006,-1.0193556547164917,-0.6788023710250854,0.8260543942451477,0.9737147688865662,-0.0366181544959545,0.1810297071933746,0.1332927048206329
office,train,seq-01,office/seq-01/frame-000035.color.png,-0.9408203000000002,-0.6798896,0.8692436,0.9733767,-0.0347123,0.1796741,0.138022,-1.01709246635437,-0.6855342388153076,0.8396282196044922,0.9739010334014891,-0.0363890044391155,0.1771472841501236,0.1371547877788543
office,train,seq-01,office/seq-01/frame-000036.color.png,-0.9380803,-0.6854147,0.8753798,0.9724524,-0.0356381999999999,0.1835722,0.1391672,-0.9947876930236816,-0.6625699400901794,0.8357204794883728,0.9742178916931152,-0.0346179828047752,0.1770304292440414,0.1355039179325103
office,train,seq-01,office/seq-01/frame-000037.color.png,-0.9361547,-0.6893362,0.8810938,0.971306,-0.0362337,0.1876789,0.141522,-1.001881122589111,-0.6642256379127502,0.8550254702568054,0.9718762636184692,-0.0394674912095069,0.1860467940568924,0.138871818780899
