scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
pumpkin,train,seq-02,pumpkin/seq-02/frame-000004.color.png,-0.1763059,-0.4251224,-0.3044553,0.989643,-0.0575093,-0.1310196,0.0115426,-0.2019533365964889,-0.4307250082492828,-0.3281556665897369,0.9874492883682252,-0.0618750415742397,-0.1442954987287521,0.0171548649668693
pumpkin,train,seq-02,pumpkin/seq-02/frame-000005.color.png,-0.1732432,-0.4304124,-0.3089561,0.9896558,-0.0562401999999999,-0.1311113,0.0151064,-0.1991533786058426,-0.4362148642539978,-0.3065250515937805,0.9874960780143738,-0.0513670407235622,-0.1472315639257431,0.0231482703238725
pumpkin,train,seq-02,pumpkin/seq-02/frame-000006.color.png,-0.1768462,-0.431097,-0.3210818,0.9900593,-0.0486676,-0.1290354,0.0276372,-0.1699064224958419,-0.4428455829620361,-0.333891898393631,0.98647803068161,-0.0299288649111986,-0.1564293354749679,0.0386678539216518
pumpkin,train,seq-02,pumpkin/seq-02/frame-000007.color.png,-0.1741264,-0.4253405,-0.323491,0.9896276,-0.0420733,-0.1339208999999999,0.0305333,-0.1390983760356903,-0.43989959359169,-0.3669750988483429,0.988317847251892,-0.0312735550105571,-0.1434382796287536,0.0409282036125659
pumpkin,train,seq-02,pumpkin/seq-02/frame-000010.color.png,-0.1660997,-0.4358304,-0.3392707,0.9892282,-0.0391313,-0.1383211,0.0276313,-0.1805424243211746,-0.4273551702499389,-0.3839952647686004,0.9854773879051208,-0.058793194591999,-0.1550120413303375,0.03672955930233
pumpkin,train,seq-02,pumpkin/seq-02/frame-000011.color.png,-0.1642152,-0.4324102,-0.3423726,0.9892529,-0.0357701,-0.1391188,0.0272995,-0.1898860782384872,-0.4223293662071228,-0.3919000625610351,0.9866605997085572,-0.0569927990436553,-0.1491210311651229,0.0318688489496707
pumpkin,train,seq-02,pumpkin/seq-02/frame-000012.color.png,-0.1648998,-0.4529432,-0.350988,0.988591,-0.0391245,-0.1427412,0.0279643,-0.1801955848932266,-0.4497255086898803,-0.3901148736476898,0.9853218197822572,-0.0360759496688842,-0.1619583219289779,0.0401125699281692
pumpkin,train,seq-02,pumpkin/seq-02/frame-000015.color.png,-0.1518412,-0.4490319,-0.356666,0.9864569,-0.0230266,-0.1593581,0.0312645,-0.1013087704777717,-0.5008182525634766,-0.4545251429080963,0.9834023714065552,-0.0274575892835855,-0.1756132394075393,0.0364121943712234
pumpkin,train,seq-02,pumpkin/seq-02/frame-000017.color.png,-0.1578207999999999,-0.4747405,-0.3729277,0.9878296999999998,-0.0241312,-0.1517533999999999,0.0241037,-0.1503138542175293,-0.4863762855529785,-0.4155900478363037,0.9869195222854614,-0.02259979583323,-0.1573997139930725,0.026539996266365
pumpkin,train,seq-02,pumpkin/seq-02/frame-000018.color.png,-0.1572044,-0.4743777,-0.3724706,0.9873315,-0.0218884,-0.1544743999999999,0.0288968,-0.1925540715456009,-0.4878136813640594,-0.4348259270191192,0.98472261428833,-0.0283962860703468,-0.1676788330078125,0.0374002829194068
pumpkin,train,seq-02,pumpkin/seq-02/frame-000025.color.png,-0.1812694,-0.5346251999999999,-0.372873,0.9868369,-0.0544023,-0.1469785,0.0398818,-0.1650655418634414,-0.5320059657096863,-0.4687673151493072,0.9888837337493896,-0.0350284427404403,-0.1419082880020141,0.0272735822945833
pumpkin,train,seq-02,pumpkin/seq-02/frame-000028.color.png,-0.1554871,-0.5613371,-0.3276671,0.9648053,-0.0703922,-0.2264345,0.1136794,-0.1670078933238983,-0.5157642960548401,-0.3323642611503601,0.9632863998413086,-0.0607239305973053,-0.2325393855571746,0.1196547076106071
pumpkin,train,seq-02,pumpkin/seq-02/frame-000029.color.png,-0.170741,-0.5684587,-0.329796,0.9726208,-0.0667953,-0.2069768,0.0819013999999999,-0.1075762435793876,-0.533870279788971,-0.4222758710384369,0.9725672006607056,-0.0525334812700748,-0.2052257061004638,0.0961029008030891
pumpkin,train,seq-02,pumpkin/seq-02/frame-000030.color.png,-0.1864006,-0.5708757,-0.3307479,0.9753429,-0.067419,-0.1977076,0.0712217,-0.0865458324551582,-0.5656571984291077,-0.3922396600246429,0.974665105342865,-0.0655167028307914,-0.1985527426004409,0.0794500857591629
pumpkin,train,seq-02,pumpkin/seq-02/frame-000032.color.png,-0.1942869,-0.5988971,-0.3170771,0.9719461,-0.0787359,-0.2103769,0.0697352,-0.0905139222741127,-0.5883398056030273,-0.4033219516277313,0.970876395702362,-0.0672797635197639,-0.2159987539052963,0.0788474380970001
pumpkin,train,seq-02,pumpkin/seq-02/frame-000034.color.png,-0.1995268,-0.6126106,-0.3062697,0.9703999,-0.083075,-0.2168297,0.0663891,-0.0717958882451057,-0.6182419657707214,-0.3993808329105377,0.9712116718292236,-0.0854372605681419,-0.2129939347505569,0.0638898387551307
pumpkin,train,seq-02,pumpkin/seq-02/frame-000035.color.png,-0.2063252,-0.6251686,-0.3036857,0.9713626,-0.0848081,-0.2135709,0.0604129,-0.0825535953044891,-0.6074849963188171,-0.3622993528842926,0.9712539315223694,-0.0985327810049057,-0.2083556056022644,0.0595407262444496
pumpkin,train,seq-02,pumpkin/seq-02/frame-000037.color.png,-0.2173687,-0.641828,-0.2977856,0.9695593,-0.079122,-0.2237395,0.0602913,-0.1397431939840316,-0.5938236117362976,-0.3619941771030426,0.9732098579406738,-0.0825497731566429,-0.2056465744972229,0.0612996891140937
pumpkin,train,seq-02,pumpkin/seq-02/frame-000039.color.png,-0.2200939,-0.6623452,-0.2930073,0.9702632,-0.0793886999999999,-0.223723,0.0472743,-0.1866491287946701,-0.607720136642456,-0.3789525032043457,0.9724071025848388,-0.0897462517023086,-0.2116422951221466,0.0397184751927852
