scene,split,seq,img_path,t1,t2,t3,q1,q2,q3,q4,est_t1,est_t2,est_t3,est_q1,est_q2,est_q3,est_q4
stairs,train,seq-02,stairs/seq-02/frame-000005.color.png,-0.0614587,-0.8671803,-0.1507873,0.9302279,-0.24379,-0.2337537,-0.1435327,-0.0328461453318595,-0.8934082388877869,-0.1515601128339767,0.9301849603652954,-0.2424056082963943,-0.2384425997734069,-0.1383493542671203
stairs,train,seq-02,stairs/seq-02/frame-000009.color.png,-0.0618877,-0.8653405000000001,-0.1523072,0.9287521,-0.244031,-0.2388839,-0.1442322999999999,-0.0600402951240539,-0.8929104804992676,-0.1498325318098068,0.9308717250823976,-0.2397920489311218,-0.23857481777668,-0.1380562931299209
stairs,train,seq-02,stairs/seq-02/frame-000011.color.png,-0.0604072,-0.8636417,-0.1526422,0.9286644,-0.2432185,-0.2405512,-0.1433957,-0.057162620127201,-0.8956608772277832,-0.1568743884563446,0.9306358695030212,-0.2369169145822525,-0.2422149181365966,-0.1382724344730377
stairs,train,seq-02,stairs/seq-02/frame-000014.color.png,-0.057704,-0.8657674999999999,-0.150973,0.9290709,-0.2418988,-0.2404969,-0.1430852,-0.0598286092281341,-0.8954547047615051,-0.153464674949646,0.9298943281173706,-0.2357900291681289,-0.2463437914848327,-0.1378921717405319
stairs,train,seq-02,stairs/seq-02/frame-000015.color.png,-0.0593221,-0.8653772,-0.1525597,0.9295555,-0.2397928,-0.2409362,-0.1427435,-0.0592564865946769,-0.8946848511695862,-0.1528507471084594,0.9298059940338136,-0.2354762554168701,-0.2465255111455917,-0.1386972665786743
stairs,train,seq-02,stairs/seq-02/frame-000016.color.png,-0.0583009,-0.8654231,-0.1512355,0.9296014,-0.2394031,-0.2412486,-0.1425708999999999,-0.0592885166406631,-0.8937020897865295,-0.1576856672763824,0.9313584566116332,-0.2300062775611877,-0.2461968511343002,-0.1380419284105301
stairs,train,seq-02,stairs/seq-02/frame-000020.color.png,-0.0560871,-0.8650389999999999,-0.1442548,0.9302521,-0.2337232,-0.2453558,-0.1407306,-0.0868174880743026,-0.8844577670097351,-0.1534519642591476,0.9290264844894408,-0.2335127145051956,-0.2513357400894165,-0.1386072635650634
stairs,train,seq-02,stairs/seq-02/frame-000021.color.png,-0.0563237,-0.8664396000000001,-0.1426967999999999,0.9305297,-0.2336824,-0.2449034,-0.1397477,-0.0813387930393219,-0.8806717395782471,-0.150459811091423,0.9304405450820924,-0.2348573803901672,-0.2457777708768844,-0.1368051916360855
stairs,train,seq-02,stairs/seq-02/frame-000025.color.png,-0.0581429999999999,-0.8634023000000001,-0.1325843,0.9309715,-0.2349505,-0.2432679,-0.1375172999999999,-0.0590859353542327,-0.8848270773887634,-0.1494805067777633,0.9304401874542236,-0.2336408197879791,-0.2470395863056183,-0.1366180628538131
stairs,train,seq-02,stairs/seq-02/frame-000026.color.png,-0.060476,-0.8635215,-0.1304433,0.9309356,-0.2364663,-0.2425186,-0.1364817,-0.0544808804988861,-0.8889250755310059,-0.1415128707885742,0.9306268095970154,-0.2383392751216888,-0.2422925680875778,-0.1357291787862777
